type,cell,sweep,conclusion
wt,11,0,ok
wt,11,50,ok
wt,11,100,ok
wt,11,150,ok
wt,11,200,все rejected
wt,11,250,ok
wt,11,300,ok
wt,11,350,ok
wt,11,400,ok
wt,11,450,ok
wt,11,500,ok
wt,11,550,последний detected – rejected 
wt,11,600,ok
wt,12,0,ok
wt,12,50,ok
wt,12,100,ok
wt,12,150,ok
wt,12,200,все rejected
wt,12,250,все rejected
wt,12,300,все rejected
wt,12,350,все rejected
wt,12,400,ok
wt,12,450,ok
wt,12,500,ok
wt,12,550,ok
wt,12,600,ok
wt,13,0,ok
wt,13,50,ok
wt,13,100,все rejected
wt,13,150,ok
wt,13,200,все rejected
wt,13,250,все rejected
wt,13,300,все rejected
wt,13,350,все rejected
wt,13,400,ok
wt,13,450,ok
wt,13,500,ok
wt,13,550,все после 800 мс – rejected
wt,13,600,все после 800 мс – rejected
wt,14,0,ok
wt,14,50,ok
wt,14,100,ok
wt,14,150,все rejected
wt,14,200,все rejected
wt,14,250,все rejected
wt,14,300,последний detected – rejected 
wt,14,350,последний detected – rejected 
wt,14,400,последний detected – rejected 
wt,14,450,ok
wt,14,500,последний detected – rejected 
wt,14,550,последний detected – rejected 
wt,14,600,ok
wt,15,0,ok
wt,15,50,ok
wt,15,100,ok
wt,15,150,все rejected
wt,15,200,ok
wt,15,250,ok
wt,15,300,ok
wt,15,350,ok
wt,15,400,ok
wt,15,450,ok
wt,15,500,ok
wt,15,550,ok
wt,15,600,ok
wt,16,0,ok
wt,16,50,ok
wt,16,100,все rejected
wt,16,150,все rejected
wt,16,200,ok
wt,16,250,ok
wt,16,300,ok
wt,16,350,ok
wt,16,400,ok
wt,16,450,ok
wt,16,500,ok
wt,16,550,ok
wt,16,600,ok
