surrogate_type,n_surrogates,observed_raw_AUC_difference_SCA3_minus_WT,observed_expected_direction_AUC_difference_WT_minus_SCA3,exact_p_AUC_expected_direction,exact_p_AUC_two_sided
shuffle,50,-0.04634852453419299,0.04634852453419299,1.2899896800825593e-05,1.2899896800825593e-05
shuffle,100,-0.04614252576360483,0.04614252576360483,1.2899896800825593e-05,1.2899896800825593e-05
shuffle,250,-0.046275390335804176,0.046275390335804176,1.2899896800825593e-05,1.2899896800825593e-05
shuffle,500,-0.046173299308221435,0.046173299308221435,1.2899896800825593e-05,1.2899896800825593e-05
aaft,50,-0.03415199858526431,0.03415199858526431,0.00010319917440660474,0.00010319917440660474
aaft,100,-0.03410534830628105,0.03410534830628105,0.00010319917440660474,0.00010319917440660474
aaft,250,-0.03401289182070016,0.03401289182070016,9.029927760577915e-05,9.029927760577915e-05
aaft,500,-0.03401535801419282,0.03401535801419282,9.029927760577915e-05,9.029927760577915e-05
