threshold,precision,recall,f1
0.2,0.9579036348267117,0.9900401887122139,0.973706822478089
0.25,0.9581774906494389,0.9847981827712738,0.9713054717794054
0.3,0.9585970915312233,0.9790319762362397,0.9687067773167358
0.35,0.9595613433858807,0.9785077756421457,0.9689419499956744
0.4,0.9604810996563574,0.9767604403284991,0.9685523694013688
0.45,0.9612803304078472,0.9760615062030403,0.9686145309519681
0.5,0.9615848406546081,0.9753625720775817,0.9684247050659265
0.55,0.9623943419009833,0.9748383714834877,0.9685763888888889
0.6,0.9640200657325723,0.9737899702952997,0.9688803894297635
0.65,0.9659722222222222,0.9722173685130177,0.9690847339545415
0.7,0.9679218967921897,0.9701205661366417,0.969019984291823
0.75,0.9692850838481907,0.9594618207233968,0.9643484369511767
0.8,0.96917183509668,0.9283592521404858,0.948326639892905
