scenario_id,wt_cell_id,sca_cell_id,wt_animal_id,sca_animal_id,wt_solution_key,sca_solution_key,wt_source,sca_source,wt_b,wt_r,wt_s,wt_kappa_I,sca_b,sca_r,sca_s,sca_kappa_I,wt_rheobase_J_endpoint,sca_rheobase_J_endpoint,wt_J_q75,sca_J_q75,wt_active_support_ms,sca_active_support_ms,wt_within_cell_support_weight,sca_within_cell_support_weight,wt_group_support_weight,sca_group_support_weight,biological_pair_weight,within_pair_support_weight,scenario_weight,biological_pair_key,analysis_within_pair_weight,analysis_pair_weight,analysis_scenario_weight
0,WT_03,SCA3_01,NA_NOT_RECOVERABLE,SCA3_AN01,best,best,best,best,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,2.87957486763608,0.0367840866590933,0.666593864674466,0.144828946118288,0.8279058932815717,3.682092790624826,1.4474508552272303,4.234406709218552,993.6197265625,872.4000000000001,0.25,0.5,0.0208333333333333,0.0833333333333333,0.0138888888888888,0.125,0.0017361111111111,WT_03__TO__SCA3_01,0.125,0.03125,0.00390625
1,WT_03,SCA3_01,NA_NOT_RECOVERABLE,SCA3_AN01,best,r_HIGH,best,r_HIGH,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,4.180844445717766,0.098238929690672,1.4104174994872096,0.1857069883165186,0.8279058932815717,3.509494691064287,1.4474508552272303,4.234406709218552,993.6197265625,872.4000000000001,0.25,0.5,0.0208333333333333,0.0833333333333333,0.0138888888888888,0.125,0.0017361111111111,WT_03__TO__SCA3_01,0.125,0.03125,0.00390625
9,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,best,best,best,best,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,3.1841739616986,0.0685272827706698,1.64104809448976,0.453594510225478,0.8279058932815717,1.499317765801742,1.4474508552272303,3.069391167197093,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0208333333333333,0.0277777777777777,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04,0.0416666666666666,0.03125,0.0013020833333333
10,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,best,b_LOW,best,b_LOW,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,1.874040756842884,0.0913896204225457,12.973660656527498,1.436445397435119,0.8279058932815717,1.7238645762806304,1.4474508552272303,3.069391167197093,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0208333333333333,0.0277777777777777,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04,0.0416666666666666,0.03125,0.0013020833333333
11,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,best,b_HIGH,best,b_HIGH,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,4.030928926785516,0.0018911628599607,4.857666419592209,0.5419415853706036,0.8279058932815717,1.5811837904555035,1.4474508552272303,3.069391167197093,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0208333333333333,0.0277777777777777,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04,0.0416666666666666,0.03125,0.0013020833333333
12,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,best,r_LOW,best,r_LOW,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,4.587716029893826,0.0049504499800163,3.025643669356378,0.5239567619128062,0.8279058932815717,1.7963744838311049,1.4474508552272303,3.069391167197093,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0208333333333333,0.0277777777777777,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04,0.0416666666666666,0.03125,0.0013020833333333
13,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,best,s_HIGH,best,s_HIGH,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,3.463954750279856,0.0005984977503139,8.308396473112523,0.3973791380811426,0.8279058932815717,1.499317765801742,1.4474508552272303,3.069391167197093,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0208333333333333,0.0277777777777777,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04,0.0416666666666666,0.03125,0.0013020833333333
14,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,best,kappa_I_LOW,best,kappa_I_LOW,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,4.537119540928005,0.0633243055488632,0.8420821742217344,0.0823629287310146,0.8279058932815717,1.6887791371433043,1.4474508552272303,3.069391167197093,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0208333333333333,0.0277777777777777,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04,0.0416666666666666,0.03125,0.0013020833333333
22,WT_03,SCA3_06,NA_NOT_RECOVERABLE,SCA3_AN02,best,best,best,best,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,3.32112664756946,0.000172535267681,1.80693033257445,0.227320885419926,0.8279058932815717,2.6193641451069944,1.4474508552272303,3.418126288257755,993.6197265625,940.8140625,0.25,1.0,0.0208333333333333,0.1666666666666666,0.0138888888888888,0.25,0.0034722222222222,WT_03__TO__SCA3_06,0.25,0.03125,0.0078125
23,WT_03,SCA3_09,NA_NOT_RECOVERABLE,SCA3_AN02,best,best,best,best,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,3.56794792056019,0.0001570401851009,1.28766365576524,0.31540356265758,0.8279058932815717,1.1297503959031543,1.4474508552272303,2.110348351897745,993.6197265625,835.3968750000003,0.25,0.3333333333333333,0.0208333333333333,0.0555555555555555,0.0138888888888888,0.0833333333333333,0.0011574074074074,WT_03__TO__SCA3_09,0.0833333333333333,0.03125,0.0026041666666666
