scenario_id,path_family,biological_pair_key,wt_cell_id,sca_cell_id,wt_solution_key,sca_solution_key,within_pair_support_weight,scenario_weight,biological_pair_weight,wt_exit_p_rate,balance_p_rate,sca3_entry_p_rate,start_A_rate,end_A_rate,start_inside_wt_rate,end_inside_sca3_rate,spearman_p_A_rate,reversals_rate,max_orth_rate,fraction_in_corridor_rate,wt_exit_p_isi,balance_p_isi,sca3_entry_p_isi,start_A_isi,end_A_isi,start_inside_wt_isi,end_inside_sca3_isi,spearman_p_A_isi,reversals_isi,max_orth_isi,fraction_in_corridor_isi,silent_fraction,isi_missing_fraction,wt_exit_projection_gap,wt_exit_consensus_p,wt_exit_u_rate_linear,wt_exit_u_isi_linear,wt_exit_u_consensus_linear,wt_exit_u_rate_smoothstep,wt_exit_u_isi_smoothstep,wt_exit_u_consensus_smoothstep,wt_exit_u_rate_quadratic,wt_exit_u_isi_quadratic,wt_exit_u_consensus_quadratic,wt_exit_u_rate_sqrt,wt_exit_u_isi_sqrt,wt_exit_u_consensus_sqrt,balance_projection_gap,balance_consensus_p,balance_u_rate_linear,balance_u_isi_linear,balance_u_consensus_linear,balance_u_rate_smoothstep,balance_u_isi_smoothstep,balance_u_consensus_smoothstep,balance_u_rate_quadratic,balance_u_isi_quadratic,balance_u_consensus_quadratic,balance_u_rate_sqrt,balance_u_isi_sqrt,balance_u_consensus_sqrt,sca3_entry_projection_gap,sca3_entry_consensus_p,sca3_entry_u_rate_linear,sca3_entry_u_isi_linear,sca3_entry_u_consensus_linear,sca3_entry_u_rate_smoothstep,sca3_entry_u_isi_smoothstep,sca3_entry_u_consensus_smoothstep,sca3_entry_u_rate_quadratic,sca3_entry_u_isi_quadratic,sca3_entry_u_consensus_quadratic,sca3_entry_u_rate_sqrt,sca3_entry_u_isi_sqrt,sca3_entry_u_consensus_sqrt
0,coupled,WT_03__TO__SCA3_01,WT_03,SCA3_01,best,best,0.125,0.0017361111111111078,0.013888888888888888,0.0,0.5749180281453767,0.8223904170588383,0.15086948370660422,1.074081996189843,True,True,0.9998257839721255,2,1.7095300466777037,0.0975609756097561,0.005660930060695563,0.590846389571292,0.8450638555081469,0.13503823943179313,1.0575562911333145,True,True,1.0,0,1.7462313505481148,0.07317073170731707,0.0,0.0,0.005660930060695563,0.0028304650303477815,0.0,0.005660930060695563,0.0028304650303477815,4.336808689942018e-19,0.04409221976825539,0.031039075500656252,0.0,0.07523915244535628,0.05320211490483984,0.0,3.204612915208667e-05,8.011532288021667e-06,0.01592836142591525,0.5828822088583343,0.5749180281453767,0.590846389571292,0.5828822088583343,0.5501131528547776,0.5608648945891519,0.5554825292157772,0.7582334918383498,0.7686653300177471,0.763467228411498,0.3305307390865682,0.34909945606943094,0.3397516694035709,0.02267343844930858,0.8337271362834926,0.8223904170588383,0.8450638555081469,0.8337271362834926,0.7314606524006078,0.7511696986678746,0.741192991275011,0.9068574403172961,0.9192735477039176,0.9130865984579407,0.67632599807021,0.7141329198862941,0.6951009377754734
0,drive_early,WT_03__TO__SCA3_01,WT_03,SCA3_01,best,best,0.125,0.0017361111111111078,0.013888888888888888,0.0,0.32231814248603596,0.5321682930398184,0.15086948370660422,1.0741104096578442,True,True,0.9937282229965158,3,1.6856027630304766,0.36585365853658536,0.0018668143749742815,0.3329802222587417,0.5546808146852283,0.13503823943179313,1.0575840373427778,True,True,0.994076655052265,1,1.7238790798719887,0.34146341463414637,0.0,0.0,0.0018668143749742815,0.0009334071874871408,0.0,0.0018668143749742815,0.0009334071874871408,4.336808689942018e-19,0.02515722347328949,0.017744305613962834,0.0,0.043206647347072434,0.030551713331450674,0.0,3.4849959106106174e-06,8.712489776526544e-07,0.010662079772705724,0.3276491823723888,0.32231814248603596,0.3329802222587417,0.3276491823723888,0.37919473298960626,0.3867150268109054,0.38296188310626245,0.5677306953882588,0.5770443849988852,0.5724064835170797,0.10388898497564858,0.110875828415481,0.10735398670929491,0.022512521645409955,0.5434245538625233,0.5321682930398184,0.5546808146852283,0.5434245538625233,0.5214587036494964,0.5365188129292677,0.5289821612690975,0.7294986586963806,0.7447689673215636,0.7371733540101156,0.283203092116914,0.30767080617986864,0.2953102457406825
0,drive_late,WT_03__TO__SCA3_01,WT_03,SCA3_01,best,best,0.125,0.0017361111111111078,0.013888888888888888,0.30868065336756667,0.7741517955203506,0.9146429797885434,0.15086948370660422,1.074069124538307,True,True,0.9649825783972127,1,1.7254182614148847,0.04878048780487805,0.32680423631208855,0.7868430287102365,0.9260889703184854,0.13503823943179313,1.0575437217581285,True,True,0.9547038327526134,1,1.773823256637306,0.04878048780487805,0.0,0.0,0.018123582944521877,0.3177424448398276,0.30868065336756667,0.32680423631208855,0.3177424448398276,0.36948981129258307,0.3823657562927202,0.37594970318284027,0.5555903647180778,0.5716679423512294,0.5636864774321162,0.09528374576342785,0.10680100887152741,0.1009602612527909,0.012691233189885853,0.7804974121152936,0.7741517955203506,0.7868430287102365,0.7804974121152936,0.6922405648788545,0.7022612601525404,0.6972274554714064,0.8798589634255882,0.8870417288438219,0.8834576459091253,0.5993110025073828,0.619121951829898,0.6091762103186704,0.011445990529941996,0.9203659750535144,0.9146429797885434,0.9260889703184854,0.9203659750535144,0.8202021886801922,0.8335290785812899,0.826764277929189,0.9563696878239833,0.9623351652716872,0.9593570633781326,0.8365717804764657,0.8576407809455524,0.8470735280362062
1,coupled,WT_03__TO__SCA3_01,WT_03,SCA3_01,best,r_HIGH,0.125,0.0017361111111111078,0.013888888888888888,0.0,0.5354729141412625,0.7909436848829945,0.15086948370660422,1.0805359541049537,True,True,1.0,0,1.2692155772010048,0.9512195121951219,0.0013470862357796345,0.5432710786540945,0.8141421674650461,0.13503823943179313,1.070305105137046,True,True,1.0,0,1.3105696716215072,0.9512195121951219,0.0,0.0,0.0013470862357796345,0.0006735431178898172,0.0,0.0013470862357796345,0.0006735431178898172,4.336808689942018e-19,0.021342679001949943,0.015059591477534644,0.0,0.036702673414611565,0.025952709259147055,0.0,1.814641326626945e-06,4.5366033165673623e-07,0.007798164512831995,0.5393719963976785,0.5354729141412625,0.5432710786540945,0.5393719963976785,0.5236662831856382,0.5288795007586098,0.526272175960093,0.7317601479591948,0.7370692495648523,0.7344194961993306,0.2867312417789359,0.29514346490198334,0.29092215049801734,0.023198482582051594,0.8025429261740202,0.7909436848829945,0.8141421674650461,0.8025429261740202,0.7055403649088192,0.72451827003347,0.7149343080524764,0.8893501475138993,0.902298269678628,0.8958476020920189,0.6255919126562897,0.6628274688446831,0.6440751483519589
1,drive_early,WT_03__TO__SCA3_01,WT_03,SCA3_01,best,r_HIGH,0.125,0.0017361111111111078,0.013888888888888888,0.0,0.3696116522087899,0.6347231064131827,0.15086948370660422,1.0805601405515806,True,True,1.0,0,1.2692155772010048,0.926829268292683,0.0012961603398489849,0.3754125657432011,0.6569608351797743,0.13503823943179313,1.0703287235920071,True,True,1.0,0,1.3105696716215072,0.9024390243902439,0.0,0.0,0.0012961603398489849,0.0006480801699244924,0.0,0.0012961603398489849,0.0006480801699244924,4.336808689942018e-19,0.020932464539524437,0.014770752538392391,0.0,0.036002226873472494,0.025457418760048953,0.0,1.680031626597436e-06,4.20007906649359e-07,0.005800913534411201,0.3725121089759955,0.3696116522087899,0.3754125657432011,0.3725121089759955,0.41217109501408766,0.4161558284435829,0.4141648660366001,0.6079569493054503,0.6127092016146004,0.6103377007657281,0.13661277344851144,0.14093459451789328,0.13876527133374394,0.02223772876659158,0.6458419707964785,0.6347231064131827,0.6569608351797743,0.6458419707964785,0.5908140177134986,0.6062393602369951,0.5985022985716686,0.7966951150930842,0.8105312055558221,0.8036429373773396,0.4028734218148005,0.4315975389601066,0.41711185124227945
1,drive_late,WT_03__TO__SCA3_01,WT_03,SCA3_01,best,r_HIGH,0.125,0.0017361111111111078,0.013888888888888888,0.0,0.6748866115034827,0.8677014604331057,0.15086948370660422,1.080619297177128,True,True,0.9994773519163765,2,1.2692155772010048,0.975609756097561,0.00130018877368368,0.6805140999333559,0.8836820591902118,0.13503823943179313,1.0703864909903231,True,True,1.0,0,1.3105696716215072,0.9512195121951219,0.0,0.0,0.00130018877368368,0.00065009438684184,0.0,0.00130018877368368,0.00065009438684184,4.336808689942018e-19,0.020965200099634887,0.01479380309488687,0.0,0.03605813047959752,0.025496948579032747,0.0,1.6904908472130714e-06,4.2262271180326786e-07,0.005627488429873151,0.6777003557184194,0.6748866115034827,0.6805140999333559,0.6777003557184194,0.618828237737024,0.6228125636681985,0.620818363760911,0.821514827318097,0.824932785100311,0.8232255800923701,0.45547193838665284,0.46309944020810545,0.4592777721408721,0.015980598757106113,0.8756917598116587,0.8677014604331057,0.8836820591902118,0.8756917598116587,0.7719514819435052,0.7874595700065858,0.7796076324113754,0.9315049438586495,0.9400436474920788,0.9357840348134064,0.7529058244377445,0.780893981734653,0.7668360582020397
2,coupled,WT_03__TO__SCA3_02,WT_03,SCA3_02,best,best,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.20212323270704557,,,0.15086948370660422,0.2800631968018789,True,False,0.9853658536585368,21,1.2692155772010048,0.7804878048780488,0.20190112072994268,,,0.13503823943179313,0.2738491507424141,True,False,0.9912891986062718,1,1.3105696716215072,0.7560975609756098,0.0,0.0,0.00022211197710289565,0.20201217671849414,0.20212323270704557,0.20190112072994268,0.20201217671849414,0.2888664487384617,0.28868620800741396,0.2887763367255185,0.4495811747694131,0.44933408587591334,0.44945764730227267,0.0408538011999465,0.04076406255200689,0.040808919542544106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,drive_early,WT_03__TO__SCA3_02,WT_03,SCA3_02,best,best,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.13775387916083576,,,0.15086948370660422,0.2800190868662277,True,False,0.837282229965157,8,1.4330281201605455,0.6585365853658537,0.1435284173930836,,,0.13503823943179313,0.27380607667929996,True,False,0.8503484320557494,2,1.4694887180119174,0.6341463414634146,0.0,0.0,0.0057745382322478556,0.14064114827695967,0.13775387916083576,0.1435284173930836,0.14064114827695967,0.23317300298925525,0.2385133066704378,0.2358536049516119,0.3711520970718551,0.378851445019131,0.3750215304178677,0.01897613122385814,0.020600406599363227,0.019779932588661755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,drive_late,WT_03__TO__SCA3_02,WT_03,SCA3_02,best,best,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.0,,,0.15086948370660422,0.2798298374822895,True,False,0.08972125435540072,8,1.2692155772010048,0.9512195121951219,0.00290451075668066,,,0.13503823943179313,0.2736212716056188,True,False,0.15139372822299654,2,1.3105696716215072,0.926829268292683,0.0,0.0,0.00290451075668066,0.00145225537834033,0.0,0.00290451075668066,0.00145225537834033,4.336808689942018e-19,0.03144681436066618,0.022166326191655324,0.0,0.05389351312245899,0.03810846859085694,0.0,8.43618273567366e-06,2.109045683918415e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,coupled,WT_03__TO__SCA3_02,WT_03,SCA3_02,best,b_LOW,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.0,0.02674549169567122,0.04054922459338613,0.15086948370660422,0.46201221684228944,True,False,-0.6785714285714287,3,9.030394366220568,0.6829268292682927,6.31955060633839e-05,0.0274656440816648,0.041585951967600454,0.13503823943179313,0.46294101199601995,True,False,-0.6597168597168598,3,2.9752892388816945,0.7777777777777778,0.0,0.12195121951219512,6.31955060633839e-05,3.159775303169195e-05,0.0,6.31955060633839e-05,3.159775303169195e-05,4.336808689942018e-19,0.004596729385163954,0.0032489147175058923,0.0,0.007949560117602979,0.0056211878666071954,0.0,3.993671986607191e-09,9.984179966517978e-10,0.0007201523859935791,0.02710556788866801,0.02674549169567122,0.0274656440816648,0.02710556788866801,0.09765229195639241,0.0990060576041176,0.09833125047162727,0.16354048946872826,0.16572762015326473,0.1646376867204712,0.0007153213260432182,0.0007543616048206887,0.0007347118105671904,0.0010367273742143274,0.04106758828049329,0.04054922459338613,0.041585951967600454,0.04106758828049329,0.12126511907073667,0.12287740289472543,0.12207355267718714,0.20136838032170326,0.20392633956308942,0.2026513959500237,0.0016442396151248703,0.001729391401051572,0.00168654680717611
