projection,reference_subset,centroid_distance,wt_exit_A_threshold,sca3_entry_A_threshold,cloud_overlap,corridor_radius_q90,wt_centroid_0,wt_centroid_1,sca3_centroid_0,sca3_centroid_1
rate,core_secure_best_cells,3.740430531881585,0.15086948370660422,0.7823687680561137,False,1.1394454698864205,-0.28570440409328657,0.45739329606929413,2.238950718964968,-2.302486605927832
isi,core_secure_best_cells,3.785139460880844,0.13582932334700196,0.7978563373093712,False,1.1303662753172954,-0.28570440409328657,-0.42283230831264473,2.238950718964968,2.397344503153799
