path_family,path_progress,n_biological_pairs,A_rate_median,A_rate_q25,A_rate_q75,A_rate_n,A_isi_median,A_isi_q25,A_isi_q75,A_isi_n,rheobase_J_median,rheobase_J_q25,rheobase_J_q75,rheobase_J_n,support_rate_hz_median,support_rate_hz_q25,support_rate_hz_q75,support_rate_hz_n,mean_isi_ms_median,mean_isi_ms_q25,mean_isi_ms_q75,mean_isi_ms_n,J_over_rheobase_median,J_over_rheobase_q25,J_over_rheobase_q75,J_over_rheobase_n,orth_rate_median,orth_rate_q25,orth_rate_q75,orth_rate_n,orth_isi_median,orth_isi_q25,orth_isi_q75,orth_isi_n
coupled,0.0,72,0.0379380847956899,-0.13536104445565197,0.10787258697038103,72,0.03428345003793513,-0.1405654442504159,0.09548151834449355,72,0.6314551640116268,0.5034226712413061,0.9283563609557556,72,83.83551113555984,74.08466033243721,100.08494077765576,72,11.682136411998439,9.663919541267385,13.238030966635943,72,1.8946410010801564,1.6588469123628755,2.5701867982405338,72,0.4111509232983799,0.2816766335384453,0.9258172146354561,72,0.41534924175540155,0.2406752698896632,0.625658878700045,72
coupled,0.025,72,0.0156624572458694,-0.13671244974150715,0.12489549230852098,72,0.008916667189701195,-0.14520424317894573,0.11356177435073456,72,0.6332252637841815,0.512151284268531,0.959618011405989,72,85.4257483068275,73.10790257222831,99.32465928940256,72,11.518111623812208,9.764299296617034,13.338301699112822,72,2.0494391490061536,1.7038322759497895,2.647152907000352,72,0.3921419435135549,0.2638344730532768,0.7498235097238908,72,0.4093932320402072,0.2804975712134947,0.6682907652381483,72
coupled,0.05,72,-0.0072849655161872605,-0.13899133180240927,0.14581254178742356,72,-0.01521098101953073,-0.14974041690584206,0.1291550056909394,72,0.6524469970290578,0.4928984772472969,0.9820710567861632,72,88.55007363899892,71.81385093574954,99.19673622270295,72,10.927368746730846,9.95815426627945,12.868398137373543,72,2.216702245181258,1.7678626416083632,2.769698134871972,72,0.41964072109714157,0.2529331423516628,0.6520282528156385,72,0.4534591773777888,0.27533308539663376,0.5493461127857301,72
coupled,0.07500000000000001,72,-0.018083297145555836,-0.13361773452938575,0.1601530248875019,72,-0.027126222129153717,-0.142022457567357,0.14357396650062224,72,0.6764762787123317,0.5094268743238094,0.9768340866074302,72,88.88042618511554,71.66907054295207,98.4378491373649,72,10.89769942434252,9.859065265005556,12.753172358119434,72,2.332206488959924,1.8846082896746366,2.846860137341318,72,0.4665165360284829,0.29463276886459877,0.7221586302018953,72,0.4746613269286788,0.30508258708472213,0.6612022366311288,72
coupled,0.1,72,-0.02670620770018516,-0.14013881423089888,0.1775786804750309,72,-0.036601932512691844,-0.15115562009610864,0.15588859880234404,72,0.6874875086750298,0.526807937657285,0.9814542063141681,72,88.33990343229772,70.19758645516443,99.3828629880536,72,10.831469141518589,9.868281153893765,13.029663595322411,72,2.4298972329239046,1.973981317548901,2.9882589319975605,72,0.5348247179724115,0.3510152996354392,0.7614990573598361,72,0.48902402575693105,0.35861779595791693,0.6787923132479347,72
coupled,0.125,72,-0.021232584347295136,-0.13198053142266766,0.18818639941036847,72,-0.02926907342209914,-0.14560765751375812,0.1542632375237215,72,0.7042803786234202,0.5514427651256135,0.9791190468496506,72,88.14076522071875,70.1447610772477,98.30875300344437,72,10.91590255593374,9.997318336657223,12.9490041262234,72,2.530314111104242,2.108614101807668,3.039662496582949,72,0.557251524901228,0.34135755698408893,0.7879639418827564,72,0.546746377771725,0.3360036517339909,0.7273938044306425,72
coupled,0.15000000000000002,72,-0.01182625990747243,-0.11907232176625954,0.1979973682793818,72,-0.03346762356865317,-0.1306440416319571,0.15922563396073244,72,0.7290375494199648,0.5611028055460887,0.9712087246612685,72,87.29764270814037,69.4868121527391,97.58616161079811,72,10.906231121933793,10.024797679222175,13.064604914344578,72,2.6384562069526942,2.167645361036824,3.211677373528672,72,0.5863423983680806,0.3305730813528755,0.8447687440203403,72,0.5956359232573951,0.37531878992915,0.7799798561631108,72
coupled,0.17500000000000002,72,0.0025275006760705353,-0.09829456615434135,0.2073585271090724,72,-0.033331749744344705,-0.11968674363133955,0.16840839230707258,72,0.7611528952800211,0.5772250466127918,0.9491298332967268,72,85.35246026303895,67.59943399532008,96.04393500011133,72,10.976305269327668,10.051385782114462,13.299784896796556,72,2.6945879843492855,2.252179031071158,3.3604071872950545,72,0.6276556121953625,0.3447367056562093,0.8747829310822044,72,0.6330799893387786,0.37342087904151033,0.8037139615240879,72
coupled,0.2,72,0.02429258344647297,-0.08411045736861704,0.2204482204636795,72,-0.022416800698295675,-0.11185064666412811,0.17578691008788017,72,0.7814334010182745,0.6068180817050822,0.9688258702334769,72,83.71667025619763,67.39073577687122,94.88527005078386,72,10.953015018802219,10.030401099575892,13.589523332301392,72,2.7428730343378795,2.3395941260743722,3.4237817361916334,72,0.6581088727353923,0.40310031298685456,0.9793417991746461,72,0.6676975693631608,0.4015593302057412,0.8482144809135721,72
coupled,0.225,72,0.04359630740446432,-0.07465462940802622,0.22766885009163979,72,-0.0040070684370374626,-0.10056886657815861,0.2115318505531873,72,0.8087008191357381,0.6265824563593146,0.9974542292488067,72,81.10281641771903,66.60731958336854,93.19346126579232,72,11.290928910525203,10.284269305546122,13.573135558959262,72,2.8029990133683835,2.3743910389135823,3.5349704616418443,72,0.7171426999465225,0.3936350948221179,1.0118560273667585,72,0.6394856915565543,0.42550453279083367,0.8566854040422245,72
coupled,0.25,72,0.06162076495647045,-0.06730175619328539,0.2549981073798718,72,0.028090989223012005,-0.0867844133697203,0.22171662787983154,72,0.8074545547703859,0.6143108531831709,0.9907258216987416,72,79.38064267331792,66.06669605397039,92.21514887557761,72,11.335849558073292,10.404718874598938,13.768079135603635,72,2.852377378061374,2.42460219560736,3.627274692999263,72,0.7470419304184626,0.42030952177990305,0.9845275480650251,72,0.6382688721853981,0.43226187438479635,0.9053804548066081,72
coupled,0.275,72,0.07009041451403147,-0.05568157057151601,0.264730497246068,72,0.02963277033743085,-0.08203689320721157,0.2326039792445955,72,0.8209327579166579,0.61177461232005,1.0148964039791353,72,76.37470717761951,65.4717094619247,90.66796117084762,72,11.633350024288564,10.558126584636058,13.610482144849934,72,2.9517149506206657,2.48332014275609,3.669705384568945,72,0.7574972465183436,0.4413333724165155,1.0068478897246975,72,0.6875632552201443,0.408948278894515,0.9183134294628574,72
coupled,0.30000000000000004,72,0.09540674629897297,-0.03881863600838739,0.28899377883236005,72,0.04194296429480192,-0.05695748972313075,0.2498970505934486,72,0.8293709559700597,0.5767931213689603,1.0186343090469343,72,74.44070766317566,65.23653690700951,88.7986215545666,72,11.742954384891274,10.595178635698757,13.90744244472483,72,3.0421425006854967,2.4660168204388624,3.7833603353497565,72,0.7603484609839997,0.45305519707169767,1.0358846652612286,72,0.6687284959669051,0.417855532273217,0.8922015163237663,72
coupled,0.325,72,0.11095480007976002,-0.022847370606490953,0.29579667697942885,72,0.08534283780108941,-0.04212394487485847,0.25451769589635354,72,0.8236626178280895,0.559288998871731,1.0484555414064456,72,72.33476685690287,61.44124567011363,87.77501599980735,72,11.940213002705068,10.578972981013834,14.004057994682073,72,3.121786446998912,2.493783039400816,3.905783569286304,72,0.7823780539875453,0.5263808699081061,1.0711341474247584,72,0.6852171674198907,0.40825600762232134,0.9203562592874699,72
coupled,0.35000000000000003,72,0.13673374094554697,-0.008932437834779636,0.32930659332720835,72,0.11050918872231512,-0.031893419236449054,0.27167901832602137,72,0.8412277877006213,0.5112613310730038,1.0683585740158315,72,71.15220673300712,60.421516853172086,86.74897325942253,72,12.148116031658223,10.822462400398594,14.766794608062032,72,3.13521438968664,2.498119494371065,4.0063163838197635,72,0.775218664325722,0.5307123697021456,1.0598497941763099,72,0.6913998207207201,0.466676805912275,0.8960593474774372,72
coupled,0.375,72,0.1749863615029294,0.0177499608194679,0.3487430100025791,72,0.12564863031147822,-0.01946006969437971,0.29574794073394445,72,0.8691263332425623,0.5365740946182747,1.129127439813096,72,70.26055973039536,59.38896933503652,85.9964680408227,72,12.329156857641754,10.897545586902243,15.007134088889856,72,3.2087463413407464,2.4777044429686175,4.173661058483846,72,0.764525089654402,0.568482851973554,1.098149802833851,72,0.6699017791535476,0.4443082064616658,0.8549465319358015,72
coupled,0.4,72,0.1998020847998976,0.03689481759997607,0.3753864909694879,72,0.13733784862422865,-0.01117637504120649,0.2984902412750843,72,0.9000164378786597,0.568766096549513,1.1681255835394224,72,69.10517490158134,58.47066387742207,84.139367839596,72,12.84126715200722,11.114418252960927,14.94514147859899,72,3.178793004807967,2.4952745425698337,4.327035248960747,72,0.7691855826737142,0.5729254234043727,1.1187220642788254,72,0.664218154103849,0.49408119890051927,0.872243982122728,72
