group,animal_id,capacitance_pF,cell_loss,median_circle_f1,median_count_error_fraction,b,r,s,kappa_I,kappa_over_Cm,rheobase_pA,rheobase_J,max_exp_spikes,depol_block_index,median_exp_latency_ms,median_exp_train_duration_ms,median_abs_last_spike_error_ms,n_primary_cells
SCA3,SCA3_AN01,75.6988452932099,0.7081026538035604,0.8851770719240599,0.23252562907735302,3.2899880498195646,0.031753170417402304,1.210015480512165,0.16020135141359898,0.0020052112873964,300.0,3.1198531298095076,36.5,0.3815789473684211,7.874999999999993,475.59999999999997,12.3029660743627,4
SCA3,SCA3_AN02,102.25808361348524,0.7887606386447374,0.924948391050086,0.10297888386123674,3.444537284064825,0.00016478772639095,1.547296994169845,0.1356811120193765,0.0013385355709331,375.0,3.981892420595643,40.5,0.0,132.1,865.8499999999999,78.65809071082964,2
WT,WT_AN01,405.78574547246,0.5233215035989129,0.9564360845581935,0.04191017316017315,2.98495280444362,0.0047679776243863495,0.754220458394705,0.5076893420203005,0.0014997682644403,300.0,0.7400121777538062,73.0,0.32857142857142857,47.09999999999998,785.525,5.8005942283388165,4
WT,WT_AN02,383.11362471699897,0.525847396401745,0.988330285664784,0.02297008547008545,3.012594001388075,0.0202079262304894,0.521190331076556,0.626639487302264,0.00164599961930965,250.0,0.6503267334688971,71.0,0.040816326530612235,27.424999999999983,760.25,8.271509206530112,4
