cohort,n_sweeps,n_cells,poisson_dispersion,negative_binomial_alpha,group_joint_p
main,268,21,9.199703784030381,0.47339952910817346,5.169673790650099e-13
all_reviewed,294,23,10.173570411958703,0.5371499105986556,4.6321519882301485e-11
exclude_low_amplitude_cell,255,20,7.8763614829479405,0.3936848177260253,2.8339890797110785e-11
