p,n_pairs,entropy_delta_wt_median,entropy_delta_wt_q25,entropy_delta_wt_q75,kl_to_wt_median,kl_to_wt_q25,kl_to_wt_q75,kl_to_sca3_median,kl_to_sca3_q25,kl_to_sca3_q75,kl_balance_median,kl_balance_q25,kl_balance_q75,fisher_median,fisher_q25,fisher_q75,epr_median,epr_q25,epr_q75,epr_retained_mass_median,epr_retained_mass_q25,epr_retained_mass_q75,split_js_median,split_js_q25,split_js_q75,epr_cut_1e-05_median,epr_cut_1e-05_q25,epr_cut_1e-05_q75,epr_retained_cut_1e-05_median,epr_retained_cut_1e-05_q25,epr_retained_cut_1e-05_q75,epr_cut_0.0001_median,epr_cut_0.0001_q25,epr_cut_0.0001_q75,epr_retained_cut_0.0001_median,epr_retained_cut_0.0001_q25,epr_retained_cut_0.0001_q75,epr_cut_0.001_median,epr_cut_0.001_q25,epr_cut_0.001_q75,epr_retained_cut_0.001_median,epr_retained_cut_0.001_q25,epr_retained_cut_0.001_q75
0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,7.597731946390651,3.711316752929367,10.24320764370663,-11.770145807865845,-18.177087969206116,-7.395902943358249,292.06416789628884,147.38323587519943,490.2018313840584,6099.496687024493,4296.7586492140745,7740.433578270205,0.9996161904365748,0.999553989060434,0.9996640594418452,0.0012090570175808,0.0009336904515145,0.0016913929672187,6121.204268720992,4310.708905632112,7763.815722836853,0.9999658165419666,0.9999608403687013,0.9999703233588813,6099.496687024493,4296.7586492140745,7740.433578270205,0.9996161904365748,0.999553989060434,0.9996640594418452,5932.233959523472,4184.660728341717,7569.812898611919,0.995749694332789,0.9950127796808,0.9962291393904932
0.0333333333333333,32,-0.0264357320125321,-0.0804153301017202,-0.0072593436483481,0.1585706733957753,0.079170766743717,0.2906113834069141,5.812645356255231,3.6742457780827897,10.473717445933683,-10.583856053527567,-14.939940708904148,-6.721855142528293,160.83616061466665,93.60178680671312,444.6536719702804,6119.76492817993,4752.901037864835,9111.10444765781,0.9996050178855124,0.9995382641806844,0.9996402540505476,0.0012443241346783,0.0009021111690488,0.0015080073991063,6133.384633863521,4772.492685531609,9139.115292373108,0.9999644779878432,0.9999593629343356,0.999968034496759,6119.76492817993,4752.901037864835,9111.10444765781,0.9996050178855124,0.9995382641806844,0.9996402540505476,6003.23005609757,4623.941259077349,8906.477757059727,0.995535278352388,0.9950083970973588,0.995893793328164
0.0666666666666666,32,-0.0377555602293689,-0.0617172418842264,0.0170766965193776,0.4081676788565919,0.176913498936941,0.7236217170602111,5.245683791008721,3.2616713337955074,9.850466540546169,-9.001543046926844,-16.293908311299205,-7.081016874084887,163.32022332747994,68.86721608936422,285.11508475908045,6342.93919923023,4893.720335473867,9259.871380846873,0.9996104921975092,0.9995722847246952,0.999642437658944,0.0012258520498356,0.0010481006248168,0.0016832505002928,6359.417499074163,4912.689787887976,9287.945598210885,0.9999658910215804,0.9999612401097558,0.9999694104280624,6342.93919923023,4893.720335473867,9259.871380846873,0.9996104921975092,0.9995722847246952,0.999642437658944,6233.544719446599,4763.081062450806,9072.588963407412,0.99570315072943,0.9953027799713976,0.9959447305748445
0.1,32,-0.0311138333675398,-0.075298900235212,0.0378047407051762,0.5247854424641398,0.2777776790644217,0.8882267946729441,5.208922539053088,2.6637028426786813,10.060382213131872,-9.582359674246357,-16.86881481361,-6.037225737096385,102.75326677583196,62.81388644972261,201.92986644042452,6514.073470869,4952.478426782495,9046.420583178988,0.9996032634941874,0.9995594980970472,0.999634544996984,0.0012659946367997,0.0009413075628264,0.0016715754778436,6534.252438036607,4971.243198897782,9071.007018958577,0.9999640191599634,0.9999619065753116,0.9999677714105334,6514.073470869,4952.478426782495,9046.420583178988,0.9996032634941874,0.9995594980970472,0.999634544996984,6380.196865614248,4817.214950947554,8865.858397984603,0.9956198972997766,0.9952438807987608,0.9959724897519802
0.1333333333333333,32,-0.0245274908331134,-0.0986440434382404,0.0440541820249039,0.6815110617859617,0.448006901479399,1.0631596988491254,5.934435778021404,2.194118877324217,8.674253925400198,-8.912075638050716,-13.704013157812776,-4.470041891729043,85.78171669071152,44.60384290607258,319.61303626204386,6591.157693771773,4888.799890544873,8215.24324794755,0.999609287293774,0.9995630727269093,0.9996335042251016,0.0013188417945719,0.001005005090627,0.0016052334640221,6610.8148180927765,4903.27240350387,8230.906884341912,0.9999657384714532,0.99996044278449,0.9999682737933956,6591.157693771773,4888.799890544873,8215.24324794755,0.999609287293774,0.9995630727269093,0.9996335042251016,6363.155286571784,4778.536157361813,8070.879505353743,0.9958151751101184,0.9953985921693368,0.996017836359436
0.1666666666666666,32,-0.0287213688384939,-0.1313835711186854,0.0295576329943497,0.8877847919999622,0.3956688329564932,1.7598770125154783,5.653060413808739,2.383218687466032,8.941039172988319,-7.436480878524954,-12.705710530496898,-4.051314974448671,75.87765309656905,44.42459146251156,142.99587305171465,6564.562406325005,4933.604968635315,7941.877330105135,0.999605226827172,0.9995543850356196,0.9996311193841484,0.0012342640588895,0.0010370374724003,0.0019254958874276,6584.020497575131,4951.646928821637,7958.046073057163,0.9999644441226716,0.9999610928227016,0.9999666404550543,6564.562406325005,4933.604968635315,7941.877330105135,0.999605226827172,0.9995543850356196,0.9996311193841484,6421.387868113512,4804.862967064952,7794.7220891423185,0.9956276197956068,0.9952511310816916,0.9960062779772288
0.2,32,-0.0558125312178909,-0.1951633484042355,0.0354527672495124,1.3288710187864416,0.5771239703183599,2.034985382345314,4.32352995158863,2.639726644866009,8.297442926838231,-6.005187885775787,-11.789654754894158,-3.039565653738088,83.81053461897031,40.755130458497966,115.0799725758023,6561.113191182079,4818.8151775189335,8524.661408848087,0.9995925846508008,0.9995503758216788,0.9996336259277336,0.0012215336241038,0.0009800726988922,0.0014879594366719,6622.970472437063,4834.587018338532,8541.544929352796,0.9999651984203176,0.9999599222074118,0.9999673029370276,6561.113191182079,4818.8151775189335,8524.661408848087,0.9995925846508008,0.9995503758216788,0.9996336259277336,6334.736336588123,4698.408153676567,8380.177877616596,0.9955766070695486,0.9950943396718516,0.9960638438297597
0.2333333333333333,32,-0.0126390258852246,-0.1665868770602008,0.0904996850139123,1.6780502588180428,0.9555045201901198,2.4358496654419524,4.294904467012574,2.3296998660058463,7.207740572907279,-5.89824325280627,-11.311718701031996,-2.605258747596829,67.14370288737538,40.5851275672846,118.0709812374778,6269.53288910809,4993.9099819541225,7917.5653706701105,0.9996075046825704,0.9995726625397224,0.9996407242646206,0.0011522623516659,0.000790853251234,0.0016017871795372,6287.905600929971,5012.645072481279,7941.7988197960785,0.9999655545437518,0.9999625597413038,0.9999682473554068,6269.53288910809,4993.9099819541225,7917.5653706701105,0.9996075046825704,0.9995726625397224,0.9996407242646206,6139.602859052009,4867.318829309881,7759.018069699113,0.99576122270609,0.995351457971925,0.9960142072656328
0.2666666666666666,32,-0.0284289192288555,-0.170678727957058,0.0774273040681852,2.06562836813092,0.9729591058330774,3.018565708272205,4.710054391366337,1.9757712581949896,7.370893197905399,-5.81903553193812,-11.453766804692409,-2.441733007580209,81.87506441007093,43.28388910517841,119.25433625855476,6664.600202665357,5098.256158281947,7883.541857193209,0.99961917793822,0.9995740711088728,0.9996413191988904,0.00122181803695,0.0009146871730975,0.0016717755151861,6683.150275353592,5113.060383311783,7905.798188579689,0.9999644985971394,0.9999617883776264,0.9999674962395816,6664.600202665357,5098.256158281947,7883.541857193209,0.99961917793822,0.9995740711088728,0.9996413191988904,6513.123900839544,4966.888505262357,7717.012659620686,0.995799620660662,0.995330906609926,0.9961535332520158
0.3,32,-0.0643555296072138,-0.1926526627202303,0.0808587834002867,1.9885794364067864,1.2069027136921224,3.1282379124433124,3.500476398319941,1.8835960162069976,6.923734731200239,-5.270015135648667,-9.179575654625348,-1.510752503450188,59.49963706569189,39.71843242022703,91.80210046943328,6801.2933935949,5089.531645214669,8386.750074028065,0.999603978111794,0.9995794348991788,0.9996482621796056,0.0011793845639137,0.000933876099925,0.0016422277529259,6821.522286223922,5107.603454410277,8404.360688216982,0.9999660267737612,0.9999622062186077,0.9999681824608178,6801.2933935949,5089.531645214669,8386.750074028065,0.999603978111794,0.9995794348991788,0.9996482621796056,6652.113103579733,4947.306227318342,8242.77533753324,0.995646162259297,0.995396138505288,0.9961626253868076
0.3333333333333333,32,-0.0895961998539084,-0.2339296627206905,0.0599955597470523,2.292827764772516,1.3177240897526905,3.519170397149578,3.5325055405921577,1.8433297297816127,6.166470090195685,-4.399725129009122,-8.044180030651482,-0.7896007287098377,63.556577931772566,42.20080440209347,97.60273813593406,6478.895322535724,5123.5267797009565,7920.496572928099,0.9996131236736976,0.999557274123682,0.9996427172955468,0.0011784714039866,0.0009627667110049,0.0016547555671101,6499.085705016021,5141.268383368272,7939.934703347107,0.9999657359201266,0.9999609658897592,0.9999681896330248,6478.895322535724,5123.5267797009565,7920.496572928099,0.9996131236736976,0.999557274123682,0.9996427172955468,6354.612153905204,4974.87687408782,7753.622349636987,0.9957640336602552,0.9951984633723934,0.9961978893870896
0.3666666666666666,32,-0.0529520787497723,-0.2565982242516589,0.0971655995981946,2.3535566128533283,1.5149576040584871,4.306714794303041,3.3829168754927217,2.139935701545178,5.967223646908485,-2.9656239795726345,-7.034723644405918,-0.4017952016440552,62.03772678208793,46.36304523195456,92.15006225027486,6885.58533149671,5256.805028728692,8541.956598949775,0.9996158982535936,0.9995790251060594,0.999655224173206,0.0014019104713886,0.0009868943503712,0.0016596445569582,6905.398056196733,5272.949033088293,8568.533507605682,0.9999652792940684,0.9999624060107152,0.999968456911493,6885.58533149671,5256.805028728692,8541.956598949775,0.9996158982535936,0.9995790251060594,0.999655224173206,6754.108960167494,5139.42030048413,8345.884759304794,0.995862601474468,0.9955389902242152,0.9962755978250142
0.4,32,-0.060920620077236,-0.2583944243173764,0.0487878610778856,2.375368788275277,1.772213939107428,5.130616205265527,3.065288758705123,2.010565953059792,5.493414156339245,-1.6568611893814014,-4.791350955965621,-0.4557511408874173,63.786324654548366,44.65079946757257,100.2353541343744,6646.952809082657,5423.014948517808,7978.061280263387,0.9996288625793628,0.9995876287681728,0.9996521847400908,0.0014029682665298,0.0008478868015511,0.0018206612485336,6661.534473458788,5444.901404855445,8003.791429499133,0.9999664789904932,0.9999625083568112,0.9999684103976,6646.952809082657,5423.014948517808,7978.061280263387,0.9996288625793628,0.9995876287681728,0.9996521847400908,6531.930704599918,5263.832848931051,7787.749265993874,0.9959499700509103,0.9955403157113604,0.9961567858951824
0.4333333333333333,32,-0.0811975782300082,-0.3160680475245029,0.0507775370228953,3.391421565209733,1.952455788164172,5.828750016755255,3.1238290506085336,1.4126777218705182,4.478943199921713,-1.0421331298881351,-3.9237026978919607,0.3357259133279089,57.69717614851629,40.01721371853837,90.42513630185816,6686.437880392516,5560.158366780183,8609.171054933904,0.9996265957741512,0.999593825600275,0.9996476877636776,0.0012480179377642,0.0008276539456939,0.0014617579515686,6703.930174775749,5581.236913817565,8635.56025933678,0.9999668863665364,0.999963234684386,0.9999689293511408,6686.437880392516,5560.158366780183,8609.171054933904,0.9996265957741512,0.999593825600275,0.9996476877636776,6574.269513869587,5399.215187825634,8399.59753289188,0.9960277278013204,0.995599694837738,0.9962071699134694
0.4666666666666667,32,-0.152861679754845,-0.2863145456256523,0.0405113970705235,4.4988306294687685,2.364638521108648,6.77866676048398,3.035510289154854,1.618866085462952,4.991843530332926,-0.4823146359037309,-4.259957187629148,1.929527294825008,67.95248561305286,52.86569881680127,116.62331033672226,7394.448695428056,5653.866242587962,8652.26219532745,0.9996057869027756,0.9995770000386168,0.9996415633756984,0.0012817036151247,0.0009384419855468,0.0016837627093524,7410.795323039718,5670.465946355053,8678.188925734088,0.9999646949016328,0.9999625078011338,0.999966633559231,7394.448695428056,5653.866242587962,8652.26219532745,0.9996057869027756,0.9995770000386168,0.9996415633756984,7258.8245838148,5524.905061639638,8468.33332813132,0.9958229670223792,0.995484490304775,0.9962110569729192
0.5,32,-0.1395988685727864,-0.3843752709193501,0.039141206609426,4.391086996858327,2.45312134222068,7.644836372787455,2.944173857785037,1.5772626760280586,4.279400345859043,0.1194114145567509,-2.626323233490218,2.9290330010801053,63.48202340105287,40.1612070766868,86.03522482326846,7051.793534480744,5373.823107828329,8866.45199579126,0.9996010567037644,0.9995636253798724,0.9996365051105732,0.0011195913338672,0.0008331425753338,0.0014392731145766,7071.193909334091,5391.229861109009,8894.194988619201,0.9999643616241988,0.9999613037535328,0.9999669822544474,7051.793534480744,5373.823107828329,8866.45199579126,0.9996010567037644,0.9995636253798724,0.9996365051105732,6933.3008500036885,5239.499399939987,8677.922978164917,0.995685734441114,0.9952817197291696,0.9961557460186063
