subset,projection,p_intrinsic,n_biological_pairs,dA_dcombined_median,dA_dcombined_q25,dA_dcombined_q75,dA_dkappa_median,dA_dkappa_q25,dA_dkappa_q75,dA_dJ_median,dA_dJ_q25,dA_dJ_q75,interaction_gradient_residual_median,interaction_gradient_residual_q25,interaction_gradient_residual_q75
core_secure_pairs,isi,0.0,32,,,,1.041173013274078,0.4858839811439184,2.085304038051627,-2.5787957029685504,-3.3972845176600712,-1.8420920795801592,,,
core_secure_pairs,isi,0.0333333333333333,32,,,,1.1924442942229967,0.5372479807568326,2.0044263078814,-2.478727732628109,-3.454407842231023,-1.9013756942189253,,,
core_secure_pairs,isi,0.0666666666666666,32,,,,1.2186746285983627,0.5979340902861892,1.987497828193196,-2.334676230640908,-2.9321653293035257,-1.8086744454578316,,,
core_secure_pairs,isi,0.1,32,,,,1.2636539249882068,0.597092529617357,2.045053834502789,-2.040611630732491,-2.584380293056454,-1.7259886402086606,,,
core_secure_pairs,isi,0.1333333333333333,32,,,,1.287660278689277,0.6502876191957262,2.040470430545471,-1.8475057844478084,-2.281922928497914,-1.569582732701753,,,
core_secure_pairs,isi,0.1666666666666666,32,,,,1.2797824009768115,0.6177661688504241,2.013829174951315,-1.747910630688796,-2.078994830313605,-1.4838261074851922,,,
core_secure_pairs,isi,0.2,32,,,,1.312082981182834,0.5301980398023363,1.985168540004236,-1.67223798020476,-1.9010962994703924,-1.3843960170398584,,,
core_secure_pairs,isi,0.2333333333333333,32,,,,1.336918776076783,0.7141561263353666,1.9508734278669704,-1.554553717025354,-1.7586634088982496,-1.313211556636766,,,
core_secure_pairs,isi,0.2666666666666666,32,,,,1.3805312660732276,0.7189023884941943,1.945041102080253,-1.5001122546646917,-1.6927522146843177,-1.2472385374010355,,,
core_secure_pairs,isi,0.3,32,,,,1.4274715285766928,0.719962594802923,1.924460375638476,-1.3941568530368804,-1.5538110335800015,-1.193453589863939,,,
core_secure_pairs,isi,0.3333333333333333,32,,,,1.456719471356957,0.749053255119173,1.949505488480482,-1.3288422863025753,-1.5336712604632217,-1.1475424022111658,,,
core_secure_pairs,isi,0.3666666666666666,32,,,,1.4849622150108153,0.7558825301388398,2.015695477085666,-1.2581249421071936,-1.5176628699491077,-1.074618013125595,,,
core_secure_pairs,isi,0.4,32,,,,1.4655823224866582,0.7914073377748878,2.0349038794512104,-1.2481320784833736,-1.432339194848523,-0.9905303808045745,,,
core_secure_pairs,isi,0.4333333333333333,32,,,,1.4989302599322043,0.7755412594714881,2.066217288511337,-1.197574259157399,-1.394196892888708,-0.9849077638524162,,,
core_secure_pairs,isi,0.4666666666666667,32,,,,1.5559060624416767,0.8128817198676184,2.022141971473105,-1.1634791426744604,-1.3400764414963435,-1.0273871234389969,,,
core_secure_pairs,isi,0.5,32,0.4758453338870004,-0.5311064675711007,0.9479217038829862,1.5387336495268409,0.8294943604586036,2.028324419146375,-1.150897046571521,-1.3214332229598869,-0.9714098379482828,-0.000910678550502,-0.00973254646339,0.0003077272178602
