marker,n_scenarios,median_shift_p,median_abs_shift_p,max_abs_shift_p
fisher_interior_peak_p,8,-0.0166666666666667,0.0333333333333333,0.1999999999999999
entropy_peak_p,12,0.0,0.0166666666666666,0.0999999999999999
kl_balance_p,12,0.015742777392405,0.0212154302989232,0.2959902341974306
epr_onset_p,3,0.0,0.0333333333333333,0.0333333333333334
epr_peak_p,12,0.0,0.0166666666666666,0.1
