subset,p_intrinsic,p_drive,n_biological_pairs,A_isi_median,dA_dintrinsic_median,dA_ddrive_median,drive_dominance_fraction_median,gradient_magnitude_median,A_isi_q25,dA_dintrinsic_q25,dA_ddrive_q25,drive_dominance_fraction_q25,gradient_magnitude_q25,A_isi_q75,dA_dintrinsic_q75,dA_ddrive_q75,drive_dominance_fraction_q75,gradient_magnitude_q75
core_secure_pairs,0.0,0.0,32,0.0374782643091542,0.2568567279637651,-1.444904775429522,0.6374258182132697,1.6549984716516168,-0.0838806796353532,0.0119760520421015,-1.745361582334,0.4483157620665498,1.3317511804795068,0.0940928870397159,1.167894830530396,-1.0809532245051647,0.7631384681933923,2.360655404216731
core_secure_pairs,0.0,0.0333333333333333,32,-0.0107011019203611,0.2502745917771719,-1.2524460118743264,0.6306389863935393,1.4870739397507564,-0.1498814499547195,-0.0699345588507863,-1.536110045133594,0.4481521037022229,1.1849539713050568,0.0259281336737264,1.0078064769142094,-1.0033365057278794,0.7190993182044365,2.041874280629464
core_secure_pairs,0.0,0.0666666666666666,32,-0.047948112021256,0.2158955867489926,-0.93444567995563,0.5174681079041116,1.2261362723459608,-0.1965820796959503,-0.0464811330995542,-1.1643310349710596,0.3965352663824003,0.8280732659772871,0.0073048701595021,0.9282515176379184,-0.6413918329800429,0.6744180574978162,1.6820033588411076
core_secure_pairs,0.0,0.1,32,-0.0718445138190679,0.1885758544790293,-0.6597957450075349,0.4625757150303799,1.096911109664338,-0.2366963421006782,-0.0642011762616079,-0.9406712154686216,0.3753032953956627,0.5697772137710784,-0.0185072993997385,0.8277720373599502,-0.3657815173703089,0.619469998333289,1.567613054101369
core_secure_pairs,0.0,0.1333333333333333,32,-0.0936156829271355,0.1915485371442767,-0.4105140210878939,0.3788288404508024,1.0125967690475928,-0.2588352565287538,-0.0830027508805388,-0.785312369948612,0.2897313897338153,0.5027630234023588,-0.0267460466391513,0.7699365310378987,-0.1484609059235805,0.5128282003011659,1.488236388685568
core_secure_pairs,0.0,0.1666666666666666,32,-0.1112672768448126,0.1878609995491369,-0.2301897301632804,0.3870866993015366,0.9575827434223086,-0.270553280384126,-0.0610279494997684,-0.6238109432530405,0.2904036772993927,0.5234274896709138,-0.0281845264004494,0.726072784489679,0.0754418408164164,0.574839244513405,1.414685376947355
core_secure_pairs,0.0,0.2,32,-0.1249805318570829,0.1788747121337011,-0.1177019971279988,0.3801689872127571,0.9175292983534684,-0.2763794104426723,-0.0639245064122731,-0.5090207924589101,0.2300388323353113,0.6072755650504711,-0.0125910874077226,0.6937076887176838,0.2764410578309152,0.6253544562161598,1.3433347808358764
core_secure_pairs,0.0,0.2333333333333333,32,-0.1413715921303578,0.1662072036000435,-0.0105399695079394,0.3439131479542791,0.9458752378015252,-0.3024239690040504,-0.1067615172311189,-0.423110048217155,0.2452984353446967,0.6727001125888667,0.0071553840416901,0.6707224480786799,0.4326512033839148,0.6658657250333925,1.2938015429485366
core_secure_pairs,0.0,0.2666666666666666,32,-0.1617139279249553,0.1657456459773403,0.0736853946550485,0.4381740046091203,0.95456335330139,-0.3096932774904037,-0.0639278079682564,-0.3452882316628004,0.2444763803309425,0.8228919453684617,0.0308241746347898,0.650485292001704,0.5586728236109906,0.7016354591446134,1.2560480093588031
core_secure_pairs,0.0,0.3,32,-0.1694377046994102,0.151687978071459,0.1396004699024418,0.4590633039169357,0.978797162359403,-0.3171392116474387,-0.1118874065330233,-0.3017187746507153,0.2569678796086326,0.8915580964221267,0.0469638383416029,0.6372020313136425,0.6770101661483192,0.7265152996668307,1.207788936675255
