path_family,path_progress,n_pairs,A_isi_median,A_isi_q25,A_isi_q75,rheobase_J_median,active_rate_median,mean_isi_median,occupancy_median
coupled,0.0,32,0.0342834500379349,-0.0838806796353532,0.0592153909067684,0.3157275820058134,83.83551113555984,11.68213641199844,0.9913454832681764
coupled,0.025,32,0.0047044690946526,-0.1225314345946822,0.0545964500322851,0.3202662322399459,85.61591369823276,11.518111623812208,0.9916137215154758
coupled,0.05,32,-0.0152109810195309,-0.1465195307757748,0.0614704749065302,0.32352155898750357,88.51941557131877,10.842306866444382,0.9909002010970492
coupled,0.075,32,-0.0315508391926043,-0.1553282471325855,0.0681156145610741,0.3275042478052187,90.54368988697276,10.641521579676272,0.9891646341724676
coupled,0.1,32,-0.0425311801859916,-0.1598283502227389,0.0708769016988723,0.331580280892099,91.48092388712897,10.518912692881443,0.9893531216896796
coupled,0.125,32,-0.0405553063275651,-0.1755937810681944,0.0838733456615632,0.3350250337101313,89.97007953540442,10.46201831780386,0.9887133014786568
coupled,0.15,32,-0.0419772223380531,-0.1823879057234872,0.0667814955297098,0.33316181957201796,88.80240149607249,10.381043560865413,0.9892099373097478
coupled,0.175,32,-0.0514813840673879,-0.1728627288101682,0.0976330846291433,0.3401202556744359,87.29417757045101,10.361470955471097,0.9873933892344426
coupled,0.2,32,-0.0684447082107449,-0.1676888561456454,0.1068367368147273,0.34753095817543833,84.74806027852291,10.50601022020687,0.9879623026945156
coupled,0.225,32,-0.0415687949227935,-0.134582585487637,0.115859179417727,0.3505627502957712,82.48491603038144,10.717416128873412,0.9871241550899488
coupled,0.25,32,-0.0086136231841122,-0.1270487636218137,0.2002895499467739,0.36034435706785295,81.3606482900484,10.873140835588991,0.9872322673823046
coupled,0.275,32,-0.0018710295620526,-0.1160931229347632,0.1950255400572363,0.36994476747839944,78.93360047579765,11.025491133730933,0.985344305185117
coupled,0.3,32,0.0065874452562304,-0.1129769845329859,0.2122720595432511,0.3732804860543798,77.66487554941537,11.206584833949467,0.9839387849669864
coupled,0.325,32,0.0159988464239402,-0.0949361151354102,0.1833165538130037,0.38175050026873814,76.32579823330622,11.38218056075292,0.9855747226119188
coupled,0.35,32,0.0376150256193496,-0.0759340380844463,0.2071378331372365,0.3874477456423071,73.99192255176024,11.53269760464579,0.9849841131950764
coupled,0.375,32,0.0594490517642262,-0.0561095817282548,0.2129095901669081,0.3927282872230613,71.52803635412607,11.684363584177271,0.9837443992253974
