group,cell_id,animal_id,solution_key,source,b,r,s,kappa_I,rheobase_J,q75_firing_rate_hz,q75_mean_isi_ms,q50_firing_rate_hz,q50_mean_isi_ms,cell_weight_within_group,within_cell_support_weight,group_support_weight,z_log10_rheobase_J,z_log10_firing_rate_q75
SCA3,SCA3_01,SCA3_AN01,best,best,2.87957486763608,0.0367840866590933,0.666593864674466,0.072414473059144,7.364185581249652,38.46565240305796,22.95967975502382,29.55665024630542,25.719126515305625,0.16666666666666666,0.5,0.08333333333333333,2.190593862700164,-1.2111389258238343
SCA3,SCA3_01,SCA3_AN01,r_HIGH,r_HIGH,4.180844445717766,0.098238929690672,1.4104174994872096,0.0928534941582593,7.018989382128574,36.98606959562348,24.072984717310423,28.571428571428573,26.43946628455401,0.16666666666666666,0.5,0.08333333333333333,2.1402986737175214,-1.3138325362557728
SCA3,SCA3_02,SCA3_AN01,best,best,3.39580213794053,0.011865463263355,1.06199021527079,0.134917346653611,0.9278531747632068,67.31850798908881,14.937216242447343,43.05344108673368,23.75333417998796,0.16666666666666666,0.14285714285714285,0.023809523809523808,0.02044819580246793,0.2541365346034527
SCA3,SCA3_02,SCA3_AN01,b_LOW,b_LOW,1.7012055089318403,0.0830977770474897,13.865757715128549,1.1494434320736062,1.3608513229860368,57.7661170297224,17.279031476502315,53.14524472120743,18.90635715347052,0.16666666666666666,0.14285714285714285,0.023809523809523808,0.4216767105036877,-0.14651996354459365
SCA3,SCA3_02,SCA3_AN01,b_HIGH,b_HIGH,5.32081129056834,0.0001379675781911,2.726334423918427,0.1138050673652359,1.5739139038575878,73.88365494489051,13.524081145940546,59.10182307134178,17.053469624385627,0.16666666666666666,0.14285714285714285,0.023809523809523808,0.5740575546920962,0.49776833103148405
SCA3,SCA3_02,SCA3_AN01,r_LOW,r_LOW,5.058325048081602,0.000134353582935,2.5718417626155823,0.1190763663927034,1.3264863905873994,73.88365494489051,13.42646256546206,59.10182307134178,16.940328953938522,0.16666666666666666,0.14285714285714285,0.023809523809523808,0.394882021625368,0.49776833103148405
SCA3,SCA3_02,SCA3_AN01,r_HIGH,r_HIGH,1.7153229597754271,0.0912955123819697,12.4124105689581,1.203258733619204,1.5807868903373152,60.579751439351696,16.245979687545663,53.70081125091666,18.848834175895306,0.16666666666666666,0.14285714285714285,0.023809523809523808,0.5786223341386441,-0.0220071527213917
SCA3,SCA3_02,SCA3_AN01,kappa_I_LOW,kappa_I_LOW,4.208008871756549,0.0154138562600507,0.8770914021572215,0.0437782759191279,1.2440105528306695,46.40741363484396,21.79695492313213,39.58640422413093,25.56944179003713,0.16666666666666666,0.14285714285714285,0.023809523809523808,0.3276322923115795,-0.7197369239793105
SCA3,SCA3_02,SCA3_AN01,kappa_I_HIGH,kappa_I_HIGH,1.6938770214244712,0.0801551802327286,14.38556558178567,1.0929624914074123,1.278375485229307,56.79351697439222,17.6333359059596,52.58967819149819,19.19944481391917,0.16666666666666666,0.14285714285714285,0.023809523809523808,0.35617943262811186,-0.1909759992592999
SCA3,SCA3_04,SCA3_AN01,best,best,3.1841739616986,0.0685272827706698,1.64104809448976,0.226797255112739,2.998635531603484,46.69813086308048,21.144482766787423,29.263775017193318,34.48258730304293,0.16666666666666666,0.16666666666666666,0.027777777777777776,1.2493418568136376,-0.7033870555585346
SCA3,SCA3_04,SCA3_AN01,b_LOW,b_LOW,1.874040756842884,0.0913896204225457,12.973660656527498,0.7182226987175595,3.447729152561261,48.97574362219249,21.123863897608132,44.607977248617566,22.3200883514771,0.16666666666666666,0.16666666666666666,0.027777777777777776,1.3955453984441089,-0.5787100931270448
SCA3,SCA3_04,SCA3_AN01,b_HIGH,b_HIGH,4.030928926785516,0.0018911628599607,4.857666419592209,0.2709707926853018,3.162367580911007,53.70725770669962,17.91405849789699,4.962931825815014,23.100366992644037,0.16666666666666666,0.16666666666666666,0.027777777777777776,1.305036873647335,-0.3372602847821745
SCA3,SCA3_04,SCA3_AN01,r_LOW,r_LOW,4.587716029893826,0.0049504499800163,3.025643669356378,0.2619783809564031,3.5927489676622097,53.70725770669962,17.96343517103672,4.471019332012329,22.5654909666741,0.16666666666666666,0.16666666666666666,0.027777777777777776,1.4387090743495274,-0.3372602847821745
SCA3,SCA3_04,SCA3_AN01,s_HIGH,s_HIGH,3.463954750279856,0.0005984977503139,8.308396473112523,0.1986895690405713,2.998635531603484,53.70725770669962,18.009809837171396,5.954057961385077,30.568889578114693,0.16666666666666666,0.16666666666666666,0.027777777777777776,1.2493418568136376,-0.3372602847821745
SCA3,SCA3_04,SCA3_AN01,kappa_I_LOW,kappa_I_LOW,4.537119540928005,0.0633243055488632,0.8420821742217344,0.0411814643655073,3.3775582742866086,48.97574362219249,20.808444864998357,46.09101587799031,21.71789143995962,0.16666666666666666,0.16666666666666666,0.027777777777777776,1.374003545013065,-0.5787100931270448
SCA3,SCA3_05,SCA3_AN01,best,best,4.57048885142292,0.0267222541757113,1.35804074575354,0.185485356173587,2.302301394566596,55.68202762634273,18.194461714537585,45.66558572816778,21.72511477500794,0.16666666666666666,0.14285714285714285,0.023809523809523808,0.972511488950377,-0.24272225891321011
SCA3,SCA3_05,SCA3_AN01,b_LOW,b_LOW,3.904773796769174,0.0030137674775441,5.020370133081688,0.354246301933337,2.4884155791573086,10.09534538552474,24.403545568980828,6.378831328564693,29.494435333614227,0.16666666666666666,0.14285714285714285,0.023809523809523808,1.0539499174394826,-4.713359625688867
