group,cell_id,animal_id,solution_key,source,b,r,s,kappa_I,alt_loss,rheobase_J,rheobase_pA,n_solution_members_cell,within_cell_support_weight,q75_firing_rate_hz,q75_mean_isi_ms,q75_median_isi_ms,q75_spike_count,q75_train_duration_ms,q50_firing_rate_hz,q50_mean_isi_ms,q50_median_isi_ms,q50_spike_count,q50_train_duration_ms,cell_weight_within_group,group_support_weight,log10_rheobase_J,z_log10_rheobase_J,log10_firing_rate_q75,z_log10_firing_rate_q75
SCA3,SCA3_01,SCA3_AN01,best,best,2.87957486763608,0.0367840866590933,0.666593864674466,0.072414473059144,,7.364185581249652,500.0,2,0.5,38.46565240305796,22.95967975502382,23.98280582796553,39.0,847.6328098483689,29.55665024630542,25.719126515305625,27.071113592432997,30.0,745.8546689438631,0.16666666666666666,0.08333333333333333,0.8671247244133349,2.190593862700164,1.5850731027596041,-1.2111389258238343
SCA3,SCA3_01,SCA3_AN01,r_HIGH,r_HIGH,4.180844445717766,0.098238929690672,1.4104174994872096,0.0928534941582593,0.8162435645311663,7.018989382128574,476.5625,2,0.5,36.98606959562348,24.072984717310423,24.203899466825646,37.5,858.5488488602599,28.571428571428573,26.43946628455401,26.67591296983801,29.0,740.3050559675123,0.16666666666666666,0.08333333333333333,0.8462745854402146,2.1402986737175214,1.5680381825285417,-1.3138325362557728
SCA3,SCA3_02,SCA3_AN01,best,best,3.39580213794053,0.011865463263355,1.06199021527079,0.134917346653611,,0.9278531747632068,52.73437500000001,7,0.14285714285714285,67.31850798908881,14.937216242447343,15.81408882409574,42.35351562499963,635.8768756730914,43.05344108673368,23.75333417998796,25.79569082472941,35.96484375000013,812.3926674450415,0.16666666666666666,0.023809523809523808,-0.03252074192236113,0.02044819580246793,1.8281344819430276,0.2541365346034527
SCA3,SCA3_02,SCA3_AN01,b_LOW,b_LOW,1.7012055089318403,0.0830977770474897,13.865757715128549,1.1494434320736062,0.7362883476087133,1.3608513229860368,77.34375000000001,7,0.14285714285714285,57.7661170297224,17.279031476502315,17.006133231552475,37.35351562499963,631.5402126213448,53.14524472120743,18.90635715347052,19.11277286753681,43.910156250000114,810.6885046636655,0.16666666666666666,0.023809523809523808,0.13381067984416392,0.4216767105036877,1.7616731757595017,-0.14651996354459365
SCA3,SCA3_02,SCA3_AN01,b_HIGH,b_HIGH,5.32081129056834,0.0001379675781911,2.726334423918427,0.1138050673652359,0.6559585050527506,1.5739139038575878,89.453125,7,0.14285714285714285,73.88365494489051,13.524081145940546,13.509419205116632,47.50781249999954,637.5488682726645,59.10182307134178,17.053469624385627,16.973613334991253,49.01953125000014,812.7807901328662,0.16666666666666666,0.023809523809523808,0.1969809719225207,0.5740575546920962,1.8685483713802151,0.49776833103148405
SCA3,SCA3_02,SCA3_AN01,r_LOW,r_LOW,5.058325048081602,0.000134353582935,2.5718417626155823,0.1190763663927034,0.6629104962264583,1.3264863905873994,75.390625,7,0.14285714285714285,73.88365494489051,13.42646256546206,13.416970913333124,47.50781249999954,632.7578139628502,59.10182307134178,16.940328953938522,16.89242898180929,49.01953125000014,807.0427770657437,0.16666666666666666,0.023809523809523808,0.1227027985904065,0.394882021625368,1.8685483713802151,0.49776833103148405
SCA3,SCA3_02,SCA3_AN01,r_HIGH,r_HIGH,1.7153229597754271,0.0912955123819697,12.4124105689581,1.203258733619204,0.7032005999160474,1.5807868903373152,89.84375,7,0.14285714285714285,60.579751439351696,16.245979687545663,15.88290343644628,39.56249999999959,627.8913932309221,53.70081125091666,18.848834175895306,18.782524221290647,44.43750000000012,815.1629104749676,0.16666666666666666,0.023809523809523808,0.19887332560022558,0.5786223341386441,1.7823274870764105,-0.0220071527213917
SCA3,SCA3_02,SCA3_AN01,kappa_I_LOW,kappa_I_LOW,4.208008871756549,0.0154138562600507,0.8770914021572215,0.0437782759191279,0.7029053524658972,1.2440105528306695,70.703125,7,0.14285714285714285,46.40741363484396,21.79695492313213,21.512689167042105,29.935546874999705,633.5103999936163,39.58640422413093,25.56944179003713,25.174626830390277,32.8554687500001,808.2708563326883,0.16666666666666666,0.023809523809523808,0.09482406445181712,0.3276322923115795,1.6665873651133838,-0.7197369239793105
SCA3,SCA3_02,SCA3_AN01,kappa_I_HIGH,kappa_I_HIGH,1.6938770214244712,0.0801551802327286,14.38556558178567,1.0929624914074123,0.6961611184391442,1.278375485229307,72.65625,7,0.14285714285714285,56.79351697439222,17.6333359059596,17.651766845903456,37.089843749999616,635.7948630584702,52.58967819149819,19.19944481391917,19.41016145582705,43.38281250000011,813.4438026962933,0.16666666666666666,0.023809523809523808,0.10665843380054899,0.35617943262811186,1.7542987634761669,-0.1909759992592999
SCA3,SCA3_04,SCA3_AN01,best,best,3.1841739616986,0.0685272827706698,1.64104809448976,0.226797255112739,,2.998635531603484,250.39062499999991,6,0.16666666666666666,46.69813086308048,21.144482766787423,23.618006224886813,6.748046874999995,122.4235799343056,29.263775017193318,34.48258730304293,34.9874763607291,29.527343749999947,969.3475801100626,0.16666666666666666,0.027777777777777776,0.47692368275435926,1.2493418568136376,1.6692994978659943,-0.7033870555585346
