scenario_id,seed,dt_ms,x_min,x_max,y_min,y_max,z_min,z_max,sample_count
0,20260818,0.05,-1.708618436809093,2.000022832671811,-13.206273398626168,0.8566017325930317,-0.13122953243633512,1.161801045138339,372000
0,21260821,0.05,-1.713047827124563,2.0218313192461346,-13.510603457286688,0.8153957098005172,-0.10339424619835252,1.1430302907601482,372000
0,22260823,0.05,-1.7050635268832066,2.0008930676772927,-13.226450597214551,0.8652977222587445,-0.11454556562519687,1.1274503397951612,372000
0,23260837,0.05,-1.7078801819783251,2.0675834985343164,-13.422158835472521,0.8857906995464434,-0.10461824306729553,1.147463510360434,372000
0,24260855,0.05,-1.7249966640009338,2.0179696385365595,-13.441087768407694,0.9771613061170475,-0.06483666060226222,1.1298797861134244,372000
0,20260818,0.025,-1.7154469518167337,1.9328261899835195,-13.351173880592288,0.8759798286971197,-0.07232236848341225,1.2073763596025175,372000
0,21260821,0.025,-1.7342471273506557,1.9502123609459412,-13.731818178909993,0.864704954543974,-0.10887177224226674,1.19820014221586,372000
0,22260823,0.025,-1.757249535655024,1.937932039986039,-14.2289641137344,0.8627525680326731,-0.08718929634297402,1.2167927956720164,372000
0,23260837,0.025,-1.7403328594094807,1.9726408846274568,-14.009020074107887,0.8924039877420601,-0.09440436043355893,1.1796913335819401,372000
0,24260855,0.025,-1.713672320278673,1.9296498739828662,-13.483474583340138,0.905358633371998,-0.06476488571920046,1.2326794417065274,372000
0,20260818,0.0125,-1.7296415025685241,1.8755556124574626,-13.64735486171451,0.9123133205665545,-0.07808201592272358,1.22432592612403,372000
0,21260821,0.0125,-1.7285537446520287,1.915265276830969,-13.865177686290618,0.893933265872632,-0.09643640554886182,1.2779078716285412,372000
0,22260823,0.0125,-1.725897316490241,1.8830612948447705,-13.707479122083685,0.8944193629565946,-0.08819771690385189,1.1992762605375527,372000
0,23260837,0.0125,-1.7102082130636866,1.9151266902722264,-13.471413294990644,0.9223907270074987,-0.10126629120490407,1.2508339241513025,372000
0,24260855,0.0125,-1.7676385565125587,1.905358822636183,-14.31183820889016,0.885703976771515,-0.07970805816509619,1.222616879007505,372000
1,20260818,0.05,-1.6798826643993476,3.293767026758166,-17.82821838526494,1.2611330650364867,0.5067183065172238,2.360475224242334,372000
1,21260821,0.05,-1.6809817325245895,3.3078822694420937,-17.87224423256898,1.2254814615094245,0.5000901043614608,2.269442921894377,372000
1,22260823,0.05,-1.6730266415665853,3.3044663967990875,-18.01402718190261,1.379521313680274,0.5223541618976262,2.3442689037675155,372000
1,23260837,0.05,-1.68998987251387,3.344348410998496,-17.98642099530358,1.2073187093310307,0.5219938311097923,2.3087896077614687,372000
1,24260855,0.05,-1.679271835335852,3.2950766689370465,-17.78372996740915,1.2787810400073412,0.5213696834039199,2.308245888708604,372000
1,20260818,0.025,-1.6039304914978565,3.1495031541450422,-16.60460466567615,1.2591610236175688,0.5825142586128044,2.3470789008075066,372000
1,21260821,0.025,-1.6212452098520613,3.198665484965006,-16.7216605569049,1.219914275386316,0.5688705167628155,2.2875684871938127,372000
1,22260823,0.025,-1.6205831334801406,3.197675447995361,-16.733291279599275,1.3764449534687386,0.554139223455687,2.280584837502445,372000
1,23260837,0.025,-1.6037282210039072,3.1829305284315206,-16.549582730072014,1.227974579564995,0.5640802709441298,2.3099438530316405,372000
1,24260855,0.025,-1.6130513635418255,3.154066158886795,-16.694506747765317,1.2781799645533167,0.5686072484802173,2.271197007269593,372000
1,20260818,0.0125,-1.5730137229224281,3.095360868370354,-16.024675966672323,1.2579080914446106,0.5964536456345523,2.329289059885867,372000
1,21260821,0.0125,-1.588906768607205,3.159147907717025,-15.934221130537077,1.2669577412513462,0.6258471885033839,2.269242240234541,372000
1,22260823,0.0125,-1.5869979857994467,3.1346903711675145,-16.019531933344926,1.3738502179670233,0.592278486922159,2.289199057095967,372000
1,23260837,0.0125,-1.5685108284835043,3.1314480518606778,-16.094111878406288,1.2992021077924911,0.612621271628542,2.255327530903824,372000
1,24260855,0.0125,-1.593741454864463,3.1141919501327604,-16.496084276312896,1.3526069031744699,0.5785401630148418,2.3177530624790044,372000
