biological_pair_key,dt_ms,view,marker_variant,aggregation_order,n_support_scenarios,kl_balance_p,kl_balance_p_q25,kl_balance_p_q75,firing_balance_p,kl_minus_firing_p
WT_03__TO__SCA3_01,0.025,xyz,seed_median_curve_persistent,marker_first,8,0.5563644480449881,0.5120506142191346,0.5911284400280415,0.4187767512737397,0.13758769677124838
WT_03__TO__SCA3_01,0.025,z,median_seed_isotonic,marker_first,8,0.5814916739529954,0.45795248511255837,0.6482047672956059,0.4187767512737397,0.1627149226792557
WT_03__TO__SCA3_01,0.025,z,q25_seed_isotonic,marker_first,8,0.5590280326318047,0.44107900615579543,0.6464722700225018,0.4187767512737397,0.14025128135806497
WT_03__TO__SCA3_01,0.025,z,q75_seed_isotonic,marker_first,8,0.6515815003309998,0.5346070302825411,0.7031804218256925,0.4187767512737397,0.23280474905726012
WT_03__TO__SCA3_01,0.025,z,seed_median_curve_first,marker_first,8,0.533187515842655,0.24588243182558642,0.6155939388280108,0.4187767512737397,0.1144107645689153
WT_03__TO__SCA3_01,0.025,z,seed_median_curve_isotonic,marker_first,8,0.5813592330417324,0.4795012107868074,0.6482168150526326,0.4187767512737397,0.16258248176799273
WT_03__TO__SCA3_01,0.025,z,seed_median_curve_persistent,marker_first,8,0.5813592330417324,0.5252626927205558,0.6482168150526326,0.4187767512737397,0.16258248176799273
WT_03__TO__SCA3_01,0.05,xy,median_seed_isotonic,marker_first,8,0.5645158764614624,0.5056554327856984,0.6695442689975944,0.4187767512737397,0.1457391251877227
WT_03__TO__SCA3_01,0.05,xy,q25_seed_isotonic,marker_first,8,0.5349943825212604,0.43760213552211447,0.6182112568421776,0.4187767512737397,0.11621763124752071
WT_03__TO__SCA3_01,0.05,xy,q75_seed_isotonic,marker_first,8,0.6330968482335302,0.5177358069661199,0.7911611784353425,0.4187767512737397,0.21432009695979048
WT_03__TO__SCA3_01,0.05,xy,seed_median_curve_first,marker_first,8,0.5644346216430125,0.4693930165652539,0.6696782533130285,0.4187767512737397,0.1456578703692728
WT_03__TO__SCA3_01,0.05,xy,seed_median_curve_isotonic,marker_first,8,0.5644346216430125,0.5024302385110802,0.6696782533130285,0.4187767512737397,0.1456578703692728
WT_03__TO__SCA3_01,0.05,xy,seed_median_curve_persistent,marker_first,8,0.5644346216430125,0.5057787917198284,0.6696782533130285,0.4187767512737397,0.1456578703692728
WT_03__TO__SCA3_01,0.05,xyz,median_seed_isotonic,marker_first,8,0.5505711349734277,0.5260055491220598,0.6045170942291587,0.4187767512737397,0.131794383699688
WT_03__TO__SCA3_01,0.05,xyz,q25_seed_isotonic,marker_first,8,0.5411520982024403,0.4453107488314165,0.5910545599246768,0.4187767512737397,0.12237534692870056
WT_03__TO__SCA3_01,0.05,xyz,q75_seed_isotonic,marker_first,8,0.6150219570779333,0.5562874634323164,0.7277246981394097,0.4187767512737397,0.19624520580419358
WT_03__TO__SCA3_01,0.05,xyz,seed_median_curve_first,marker_first,8,0.5272885951481732,0.4146745537970763,0.5678415278996647,0.4187767512737397,0.10851184387443347
WT_03__TO__SCA3_01,0.05,xyz,seed_median_curve_isotonic,marker_first,8,0.5492704637398496,0.5272885951481732,0.607378594360182,0.4187767512737397,0.13049371246610986
