dt_ms,view,marker_variant,aggregation_order,endpoint_genotype,endpoint_cell,n_partner_pairs,kl_minus_firing_p
0.0125,xy,q75_seed_isotonic,marker_first,SCA3,SCA3_04,8,-0.17333574377449873
0.0125,xy,q75_seed_isotonic,marker_first,SCA3,SCA3_06,8,-0.06456007645455089
0.0125,xy,q75_seed_isotonic,marker_first,SCA3,SCA3_09,8,0.005509156450719838
0.0125,xy,q75_seed_isotonic,marker_first,WT,WT_03,4,0.03376947524303356
0.0125,xy,q75_seed_isotonic,marker_first,WT,WT_04,4,-0.07518623576035155
0.0125,xy,q75_seed_isotonic,marker_first,WT,WT_08,4,-0.07660290569325673
0.0125,xy,q75_seed_isotonic,marker_first,WT,WT_09,4,0.04370647284688822
0.0125,xy,q75_seed_isotonic,marker_first,WT,WT_10,4,0.007323026792514842
0.0125,xy,q75_seed_isotonic,marker_first,WT,WT_13,4,0.19555733042120887
0.0125,xy,q75_seed_isotonic,marker_first,WT,WT_14,4,-0.16460843708467615
0.0125,xy,q75_seed_isotonic,marker_first,WT,WT_16,4,-0.20264584112212944
0.0125,xy,seed_median_curve_first,curve_first,SCA3,SCA3_01,8,0.10907012191355853
0.0125,xy,seed_median_curve_first,curve_first,SCA3,SCA3_04,8,-0.4076195045687726
0.0125,xy,seed_median_curve_first,curve_first,SCA3,SCA3_06,8,-0.20996986347851532
0.0125,xy,seed_median_curve_first,curve_first,SCA3,SCA3_09,8,-0.1782119945371962
0.0125,xy,seed_median_curve_first,curve_first,WT,WT_03,4,-0.20643293053309644
0.0125,xy,seed_median_curve_first,curve_first,WT,WT_04,4,-0.29564932549726003
0.0125,xy,seed_median_curve_first,curve_first,WT,WT_08,4,-0.15177859756196055
0.0125,xy,seed_median_curve_first,curve_first,WT,WT_09,4,-0.0722345079280236
0.0125,xy,seed_median_curve_first,curve_first,WT,WT_10,4,-0.15753386775096828
0.0125,xy,seed_median_curve_first,curve_first,WT,WT_13,4,0.08863587145198801
0.0125,xy,seed_median_curve_first,curve_first,WT,WT_14,4,-0.4717626325847077
0.0125,xy,seed_median_curve_first,curve_first,WT,WT_16,4,-0.31270885882057103
0.0125,xy,seed_median_curve_first,marker_first,SCA3,SCA3_01,8,0.11556993977599045
0.0125,xy,seed_median_curve_first,marker_first,SCA3,SCA3_04,8,-0.27910897917504596
0.0125,xy,seed_median_curve_first,marker_first,SCA3,SCA3_06,8,-0.20234165649821914
0.0125,xy,seed_median_curve_first,marker_first,SCA3,SCA3_09,8,-0.12562911136759503
0.0125,xy,seed_median_curve_first,marker_first,WT,WT_03,4,-0.0968090055019763
0.0125,xy,seed_median_curve_first,marker_first,WT,WT_04,4,-0.11931303444648461
0.0125,xy,seed_median_curve_first,marker_first,WT,WT_08,4,-0.0792313504779778
0.0125,xy,seed_median_curve_first,marker_first,WT,WT_09,4,-0.11968281527303279
0.0125,xy,seed_median_curve_first,marker_first,WT,WT_10,4,-0.01772420325819188
0.0125,xy,seed_median_curve_first,marker_first,WT,WT_13,4,0.10387832170411415
0.0125,xy,seed_median_curve_first,marker_first,WT,WT_14,4,-0.2862660927782914
0.0125,xy,seed_median_curve_first,marker_first,WT,WT_16,4,-0.4150973532243626
0.0125,xy,seed_median_curve_isotonic,curve_first,SCA3,SCA3_01,8,0.10907012191355853
0.0125,xy,seed_median_curve_isotonic,curve_first,SCA3,SCA3_04,8,-0.4076195045687726
0.0125,xy,seed_median_curve_isotonic,curve_first,SCA3,SCA3_06,8,-0.170918558686973
0.0125,xy,seed_median_curve_isotonic,curve_first,SCA3,SCA3_09,8,-0.17615836807356425
0.0125,xy,seed_median_curve_isotonic,curve_first,WT,WT_03,4,-0.13277152261811215
0.0125,xy,seed_median_curve_isotonic,curve_first,WT,WT_04,4,-0.29564932549726003
0.0125,xy,seed_median_curve_isotonic,curve_first,WT,WT_08,4,-0.151247436999177
0.0125,xy,seed_median_curve_isotonic,curve_first,WT,WT_09,4,0.019931786841347998
0.0125,xy,seed_median_curve_isotonic,curve_first,WT,WT_10,4,-0.15753386775096828
0.0125,xy,seed_median_curve_isotonic,curve_first,WT,WT_13,4,0.10119973187619266
0.0125,xy,seed_median_curve_isotonic,curve_first,WT,WT_14,4,-0.46070366392811635
0.0125,xy,seed_median_curve_isotonic,curve_first,WT,WT_16,4,-0.1873281017908203
0.0125,xy,seed_median_curve_isotonic,marker_first,SCA3,SCA3_01,8,0.11556993977599045
0.0125,xy,seed_median_curve_isotonic,marker_first,SCA3,SCA3_04,8,-0.2503191091703034
0.0125,xy,seed_median_curve_isotonic,marker_first,SCA3,SCA3_06,8,-0.170918558686973
0.0125,xy,seed_median_curve_isotonic,marker_first,SCA3,SCA3_09,8,-0.10261729409031087
0.0125,xy,seed_median_curve_isotonic,marker_first,WT,WT_03,4,-0.06991428256329829
0.0125,xy,seed_median_curve_isotonic,marker_first,WT,WT_04,4,-0.11825411256722598
0.0125,xy,seed_median_curve_isotonic,marker_first,WT,WT_08,4,-0.0792313504779778
0.0125,xy,seed_median_curve_isotonic,marker_first,WT,WT_09,4,-0.032443498284830785
0.0125,xy,seed_median_curve_isotonic,marker_first,WT,WT_10,4,-0.01772420325819188
0.0125,xy,seed_median_curve_isotonic,marker_first,WT,WT_13,4,0.17324599503291055
0.0125,xy,seed_median_curve_isotonic,marker_first,WT,WT_14,4,-0.23355342167385157
0.0125,xy,seed_median_curve_isotonic,marker_first,WT,WT_16,4,-0.17028672598406472
0.0125,xy,seed_median_curve_persistent,curve_first,SCA3,SCA3_01,8,0.10907012191355853
0.0125,xy,seed_median_curve_persistent,curve_first,SCA3,SCA3_04,8,-0.4076195045687726
0.0125,xy,seed_median_curve_persistent,curve_first,SCA3,SCA3_06,8,-0.12526402737479791
0.0125,xy,seed_median_curve_persistent,curve_first,SCA3,SCA3_09,8,-0.17110008437829702
0.0125,xy,seed_median_curve_persistent,curve_first,WT,WT_03,4,-0.12991028664378823
0.0125,xy,seed_median_curve_persistent,curve_first,WT,WT_04,4,-0.29564932549726003
0.0125,xy,seed_median_curve_persistent,curve_first,WT,WT_08,4,-0.11280221939763005
