dt_ms,view,marker_variant,aggregation_order,omitted_animal_id,n_animal_pairs,median_kl_minus_firing_p
0.0125,xy,seed_median_curve_persistent,curve_first,WT_150305,6,-0.15169609437427378
0.0125,xy,seed_median_curve_persistent,curve_first,WT_DD09,6,-0.17837181421302242
0.0125,xy,seed_median_curve_persistent,curve_first,WT_DD10,6,-0.15228707902268007
0.0125,xy,seed_median_curve_persistent,marker_first,SCA3_DD20,4,-0.13194320389802572
0.0125,xy,seed_median_curve_persistent,marker_first,SCA3_DD24,4,-0.03646302526082125
0.0125,xy,seed_median_curve_persistent,marker_first,WT_150130,6,-0.0806011104856389
0.0125,xy,seed_median_curve_persistent,marker_first,WT_150305,6,-0.06541933428737237
0.0125,xy,seed_median_curve_persistent,marker_first,WT_DD09,6,-0.06541933428737237
0.0125,xy,seed_median_curve_persistent,marker_first,WT_DD10,6,-0.05850784369967392
0.0125,xyz,median_seed_isotonic,curve_first,SCA3_DD20,4,-0.10272655746151045
0.0125,xyz,median_seed_isotonic,curve_first,SCA3_DD24,4,-0.1584059155554261
0.0125,xyz,median_seed_isotonic,curve_first,WT_150130,6,-0.18110443840933482
0.0125,xyz,median_seed_isotonic,curve_first,WT_150305,6,-0.08777853015430698
0.0125,xyz,median_seed_isotonic,curve_first,WT_DD09,6,-0.17348762661161715
0.0125,xyz,median_seed_isotonic,curve_first,WT_DD10,6,-0.0801617183565893
0.0125,xyz,median_seed_isotonic,marker_first,SCA3_DD20,4,-0.10933545219729777
0.0125,xyz,median_seed_isotonic,marker_first,SCA3_DD24,4,-0.13896648201567718
0.0125,xyz,median_seed_isotonic,marker_first,WT_150130,6,-0.1841817390445328
0.0125,xyz,median_seed_isotonic,marker_first,WT_150305,6,-0.11031481802226135
0.0125,xyz,median_seed_isotonic,marker_first,WT_DD09,6,-0.1510563063969424
0.0125,xyz,median_seed_isotonic,marker_first,WT_DD10,6,-0.07718938537467093
0.0125,xyz,q25_seed_isotonic,curve_first,SCA3_DD20,4,-0.14957208799097005
0.0125,xyz,q25_seed_isotonic,curve_first,SCA3_DD24,4,-0.16657386355586784
0.0125,xyz,q25_seed_isotonic,curve_first,WT_150130,6,-0.18423165179622464
0.0125,xyz,q25_seed_isotonic,curve_first,WT_150305,6,-0.13489090359208247
0.0125,xyz,q25_seed_isotonic,curve_first,WT_DD09,6,-0.18125504795475542
0.0125,xyz,q25_seed_isotonic,curve_first,WT_DD10,6,-0.13191429975061325
0.0125,xyz,q25_seed_isotonic,marker_first,SCA3_DD20,4,-0.22203289209419858
0.0125,xyz,q25_seed_isotonic,marker_first,SCA3_DD24,4,-0.16578359874460896
0.0125,xyz,q25_seed_isotonic,marker_first,WT_150130,6,-0.22639097390538465
0.0125,xyz,q25_seed_isotonic,marker_first,WT_150305,6,-0.18104203849051942
0.0125,xyz,q25_seed_isotonic,marker_first,WT_DD09,6,-0.22203289209419858
0.0125,xyz,q25_seed_isotonic,marker_first,WT_DD10,6,-0.16142551693342289
0.0125,xyz,q75_seed_isotonic,curve_first,SCA3_DD20,4,-0.05528234533048569
0.0125,xyz,q75_seed_isotonic,curve_first,SCA3_DD24,4,-0.15633662303504786
0.0125,xyz,q75_seed_isotonic,curve_first,WT_150130,6,-0.16719982664762506
0.0125,xyz,q75_seed_isotonic,curve_first,WT_150305,6,-0.08263181028621569
0.0125,xyz,q75_seed_isotonic,curve_first,WT_DD09,6,-0.16098964767270463
0.0125,xyz,q75_seed_isotonic,curve_first,WT_DD10,6,-0.07642163131129526
0.0125,xyz,q75_seed_isotonic,marker_first,SCA3_DD20,4,-0.012325976214375284
0.0125,xyz,q75_seed_isotonic,marker_first,SCA3_DD24,4,-0.11864935620382189
0.0125,xyz,q75_seed_isotonic,marker_first,WT_150130,6,-0.12327103866416797
0.0125,xyz,q75_seed_isotonic,marker_first,WT_150305,6,-0.03887284410862735
0.0125,xyz,q75_seed_isotonic,marker_first,WT_DD09,6,-0.07623760318243553
0.0125,xyz,q75_seed_isotonic,marker_first,WT_DD10,6,-0.034251161648281264
0.0125,xyz,seed_median_curve_first,curve_first,SCA3_DD20,4,-0.11429791142613926
0.0125,xyz,seed_median_curve_first,curve_first,SCA3_DD24,4,-0.1593133399322071
0.0125,xyz,seed_median_curve_first,curve_first,WT_150130,6,-0.19278213068482186
0.0125,xyz,seed_median_curve_first,curve_first,WT_150305,6,-0.08918564328264306
0.0125,xyz,seed_median_curve_first,curve_first,WT_DD09,6,-0.1844256080757033
0.0125,xyz,seed_median_curve_first,curve_first,WT_DD10,6,-0.0808291206735245
0.0125,xyz,seed_median_curve_first,marker_first,SCA3_DD20,4,-0.1115310573703755
0.0125,xyz,seed_median_curve_first,marker_first,SCA3_DD24,4,-0.14015501767591632
0.0125,xyz,seed_median_curve_first,marker_first,WT_150130,6,-0.18677085655412362
0.0125,xyz,seed_median_curve_first,marker_first,WT_150305,6,-0.12091581721666131
0.0125,xyz,seed_median_curve_first,marker_first,WT_DD09,6,-0.15409069491018923
0.0125,xyz,seed_median_curve_first,marker_first,WT_DD10,6,-0.08823565557272693
0.0125,xyz,seed_median_curve_isotonic,curve_first,SCA3_DD20,4,-0.10475597171954176
0.0125,xyz,seed_median_curve_isotonic,curve_first,SCA3_DD24,4,-0.1593133399322071
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT_150130,6,-0.18275117167948102
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT_150305,6,-0.0896746625813864
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT_DD09,6,-0.17439464907036245
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT_DD10,6,-0.08131813997226785
0.0125,xyz,seed_median_curve_isotonic,marker_first,SCA3_DD20,4,-0.09843617752031497
0.0125,xyz,seed_median_curve_isotonic,marker_first,SCA3_DD24,4,-0.14015501767591632
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT_150130,6,-0.17309829675157518
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT_150305,6,-0.11086833358361936
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT_DD09,6,-0.1404181351076408
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT_DD10,6,-0.07818817193968498
0.0125,xyz,seed_median_curve_persistent,curve_first,SCA3_DD20,4,-0.10232281853889122
0.0125,xyz,seed_median_curve_persistent,curve_first,SCA3_DD24,4,-0.1593133399322071
0.0125,xyz,seed_median_curve_persistent,curve_first,WT_150130,6,-0.18080703779757382
0.0125,xyz,seed_median_curve_persistent,curve_first,WT_150305,6,-0.08918564328264306
0.0125,xyz,seed_median_curve_persistent,curve_first,WT_DD09,6,-0.17245051518845528
0.0125,xyz,seed_median_curve_persistent,curve_first,WT_DD10,6,-0.0808291206735245
0.0125,xyz,seed_median_curve_persistent,marker_first,SCA3_DD20,4,-0.07746461703694876
0.0125,xyz,seed_median_curve_persistent,marker_first,SCA3_DD24,4,-0.14015501767591632
0.0125,xyz,seed_median_curve_persistent,marker_first,WT_150130,6,-0.1512063264258053
0.0125,xyz,seed_median_curve_persistent,marker_first,WT_150305,6,-0.08590954857623395
0.0125,xyz,seed_median_curve_persistent,marker_first,WT_DD09,6,-0.1200242545767625
0.0125,xyz,seed_median_curve_persistent,marker_first,WT_DD10,6,-0.07336015003145338
0.0125,z,median_seed_isotonic,curve_first,SCA3_DD20,4,-0.09352954166003982
0.0125,z,median_seed_isotonic,curve_first,SCA3_DD24,4,-0.17489064411166597
0.0125,z,median_seed_isotonic,curve_first,WT_150130,6,-0.18626745731044797
0.0125,z,median_seed_isotonic,curve_first,WT_150305,6,-0.08215272846125782
0.0125,z,median_seed_isotonic,curve_first,WT_DD09,6,-0.18626745731044797
