projection,stage,A_threshold,n_biological_pairs,median_abs_delta_combined,median_abs_delta_kappa,median_abs_delta_J,median_abs_interaction,median_signed_interaction
active,SCA3_entry,0.6832817402871161,32,0.21888150255934763,0.357561910610561,0.22320520898542967,0.0580567958706105,-0.08887931275403607
active,WT_exit,0.1483293470542087,32,0.21483009901807604,0.39054734723020457,0.28251489161234045,0.05578701335291598,-0.07182834990726703
active,balance,0.5,32,0.22279758309078385,0.4086212247792912,0.24524666394814032,0.057469245820137294,-0.059815922550253274
isi,SCA3_entry,0.7978563373093712,32,0.17546043288368623,0.2780706202769859,0.15134206672774367,0.03283279497401673,-0.022195520974657827
isi,WT_exit,0.1358293233470019,32,0.14851483242627522,0.308700776331425,0.21489853968836453,0.03223840092201327,-0.039551661209634124
isi,balance,0.5,32,0.19807352042514853,0.29523775487560056,0.15238746128642455,0.031375319610812136,-0.025105712196101082
