path_family,stage,n_pairs,surface_recovered_median,frozen_v1_1_median,absolute_difference
coupled,wt_exit,32,0.45629041900155864,0.3982858972674093,0.05800452173414933
coupled,balance,32,0.7031771803179818,0.6763803430395323,0.026796837278449503
coupled,sca3_entry,24,0.8657169320132975,0.837016803115893,0.028700128897404475
drive_early,wt_exit,32,0.26947537162389507,0.2335437861278234,0.03593158549607167
drive_early,balance,32,0.5713969299917796,0.5225688807708302,0.04882804922094941
drive_early,sca3_entry,24,0.762706476648108,0.7168672705161009,0.04583920613200709
drive_late,wt_exit,32,0.545752787322929,0.4009454981294332,0.14480728919349578
drive_late,balance,32,0.8124569982652452,0.7932635818327602,0.019193416432484955
drive_late,sca3_entry,24,0.927044424027966,0.8782712431917612,0.048773180836204855
