subset,scan,fixed_coordinate,fixed_value,projection,stage,A_threshold,crossing_coordinate,n_biological_pairs_total,n_pairs_with_crossing,support_fraction,median,q25,q75
all_pairs,drive,p_intrinsic,0.0,active,SCA3_entry,0.6832817402871161,p_drive,72,20,0.2777777777777778,0.6626762363188841,0.0,0.7534886174057547
all_pairs,drive,p_intrinsic,0.0,active,WT_exit,0.1483293470542087,p_drive,72,34,0.4722222222222222,0.4405388626222322,0.0,0.6938208809360843
all_pairs,drive,p_intrinsic,0.0,active,balance,0.5,p_drive,72,20,0.2777777777777778,0.5967833227275137,0.0,0.6625439416707797
all_pairs,drive,p_intrinsic,0.0,isi,SCA3_entry,0.7978563373093712,p_drive,72,13,0.18055555555555555,0.775349133903451,0.723206014010448,0.8874673109044141
all_pairs,drive,p_intrinsic,0.0,isi,WT_exit,0.1358293233470019,p_drive,72,37,0.5138888888888888,0.361176769958992,0.0,0.5959138769754874
all_pairs,drive,p_intrinsic,0.0,isi,balance,0.5,p_drive,72,21,0.2916666666666667,0.5600003391956493,0.045810449505484914,0.625313186432585
all_pairs,drive,p_intrinsic,0.0333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,20,0.2777777777777778,0.6681647595558957,0.0,0.7651303976580173
all_pairs,drive,p_intrinsic,0.0333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,36,0.5,0.44513679645822635,0.0,0.7055947354950862
all_pairs,drive,p_intrinsic,0.0333333333333333,active,balance,0.5,p_drive,72,20,0.2777777777777778,0.5997389445274072,0.0,0.6542732535739448
all_pairs,drive,p_intrinsic,0.0333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,13,0.18055555555555555,0.7845157963603527,0.726516380721805,0.9169610344028944
all_pairs,drive,p_intrinsic,0.0333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,40,0.5555555555555556,0.35577748989217073,0.0,0.5882016306453215
all_pairs,drive,p_intrinsic,0.0333333333333333,isi,balance,0.5,p_drive,72,23,0.3194444444444444,0.5623209177399126,0.17127796196840353,0.6706813647709018
all_pairs,drive,p_intrinsic,0.0666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,72,20,0.2777777777777778,0.6708263580893408,0.0,0.7633213666930556
all_pairs,drive,p_intrinsic,0.0666666666666666,active,WT_exit,0.1483293470542087,p_drive,72,40,0.5555555555555556,0.4175663263015673,0.0,0.640320252167641
all_pairs,drive,p_intrinsic,0.0666666666666666,active,balance,0.5,p_drive,72,22,0.3055555555555556,0.6120433775776939,0.1044333060098328,0.6965726805635006
