p_intrinsic,p_drive,A_isi_median,dA_dintrinsic,dA_ddrive,drive_dominance_fraction,gradient_magnitude
0.0,0.0,0.034283450037934905,0.37477860567532995,-1.3495365587488806,0.7826507512038976,1.4006098409877445
0.0,0.0333333333333333,-0.010701101920361104,0.11395829935881477,-1.2334734308878657,0.9154255486191111,1.2387264422377668
0.0,0.0666666666666666,-0.04794811202125611,0.8076375415856638,-1.0089150874399166,0.5554009673703262,1.2923575558808906
0.0,0.1,-0.07796210774968887,1.3127990659498958,-0.7130925922252963,0.3519895002023995,1.4939686852961516
0.0,0.1333333333333333,-0.09548761816960918,1.340162794819768,-0.6621442782489144,0.33069067534887625,1.4948148252666307
0.0,0.1666666666666666,-0.12210505963294982,1.8056292729985766,-0.6809557954053816,0.27385179942484755,1.9297662725847253
0.0,0.2,-0.14088467119663461,2.3124947380955314,-0.3879724817111156,0.14366865069330276,2.344814397832929
0.0,0.2333333333333333,-0.14796989174702418,2.044744812731015,-0.34020288210529664,0.14264584621368231,2.0728529494836687
0.0,0.2666666666666666,-0.16356486333698772,1.6869833515234178,-0.32201719428579056,0.1602872607264946,1.71744225572008
0.0,0.3,-0.16943770469941022,1.9113576883158518,-0.09468071876557851,0.04719785943845848,1.9137012962293993
0.0,0.3333333333333333,-0.16987691125469295,2.1758051985491718,-0.021837595144029585,0.009936826497326657,2.1759147829350476
0.0,0.3666666666666666,-0.17089354437567886,1.6752986244007424,-0.002429964365061183,0.0014483655946095253,1.6753003866906482
0.0,0.4,-0.17003890887903036,2.0164469832841942,0.05102088445435403,0.024677957636247107,2.0170923546150363
0.0,0.4333333333333333,-0.16749215207872192,2.303840074532383,0.09920911920281539,0.0412846809218287,2.305975181643197
0.0,0.4666666666666667,-0.16342496759884267,2.3909988975591343,0.11367251959400973,0.04538420441720536,2.3936994735847366
0.0,0.5,-0.15991398410578794,2.568819890377416,0.2811736113505369,0.0986576324402358,2.584162190908021
0.0,0.5333333333333333,-0.14468006017547355,2.430977679525906,0.1157923429763354,0.04546635226315708,2.4337338278959573
0.0,0.5666666666666667,-0.15219449457403225,2.909482012233845,-0.00866936797285098,0.0029708424421206405,2.9094949282398406
0.0,0.6,-0.14525801804033028,2.8941787123355818,0.21932209484694618,0.07044227974535691,2.9024769766915464
0.0,0.6333333333333333,-0.13757302158423584,2.0953677235257286,0.36732227052047767,0.14915489623481443,2.1273202737748997
0.0,0.6666666666666666,-0.12076986667229844,0.8092016963328965,0.5585437482511149,0.40836820218472114,0.9832489532455359
0.0,0.7,-0.10033677170082819,0.38742418475366563,0.6279524655210764,0.6184428855549949,0.7378494412046681
0.0,0.7333333333333333,-0.07890636897089336,0.06082336972725909,0.6533048924333084,0.9148285077764037,0.6561301431745652
0.0,0.7666666666666666,-0.05678311220527431,0.06503276191815623,0.6684793184762793,0.9113405714011066,0.6716352130086796
0.0,0.8,-0.03434108107247475,0.08933047825149311,0.680751882465721,0.8839987995981424,0.686587984037926
0.0,0.8333333333333334,-0.01139965337422625,0.10267918512181949,0.7006175612918897,0.8721777654643478,0.7081016750777219
0.0,0.8666666666666667,0.01236675634698455,0.10609364410096508,0.7139612323704227,0.8706261652177776,0.7218008746506996
0.0,0.9,0.036197762117135254,0.12829103594595592,0.7208375825987087,0.8489144834550082,0.7321648792388479
0.0,0.9333333333333332,0.06042259518689845,0.1341809986841175,0.6511353372908691,0.8291376448733503,0.6648170935503698
