subset,intrinsic_index,drive_index,p_intrinsic,p_drive,n_biological_pairs,A_isi_median,A_isi_q25,A_isi_q75,A_isi_n,orth_isi_median,orth_isi_q25,orth_isi_q75,orth_isi_n,A_active_median,A_active_q25,A_active_q75,A_active_n,orth_active_median,orth_active_q25,orth_active_q75,orth_active_n,rheobase_J_median,rheobase_J_q25,rheobase_J_q75,rheobase_J_n,active_support_rate_hz_median,active_support_rate_hz_q25,active_support_rate_hz_q75,active_support_rate_hz_n,mean_isi_ms_median,mean_isi_ms_q25,mean_isi_ms_q75,mean_isi_ms_n,occupancy_fraction_median,occupancy_fraction_q25,occupancy_fraction_q75,occupancy_fraction_n,J_over_rheobase_median,J_over_rheobase_q25,J_over_rheobase_q75,J_over_rheobase_n,p_WT_like_isi_mean,p_WT_like_active_mean,p_TRANSITION_isi_mean,p_TRANSITION_active_mean,p_SCA3_like_isi_mean,p_SCA3_like_active_mean,valid_isi_weight_mean,valid_active_weight_mean,isi_corridor_weight_mean,active_corridor_weight_mean
all_pairs,0,0,0.0,0.0,72,0.03428345003793492,-0.14056544425041598,0.09548151834449335,72,0.41534924175540144,0.24067526988966328,0.6256588787000452,72,-0.012753087492362378,-0.18473452651181158,0.0974640007193747,72,0.5788476710213722,0.32421770674283057,0.9551423868813347,72,0.6314551640116268,0.5034226712413061,0.9283563609557556,72,83.83551113555984,74.0846603324372,100.08494077765577,72,11.682136411998439,9.663919541267386,13.238030966635941,72,0.9915448099658508,0.980531671466793,0.994149059631611,72,1.8946410010801564,1.6588469123628755,2.5701867982405338,72,0.8125,0.8472222222222222,0.16666666666666666,0.06944444444444445,0.020833333333333332,0.08333333333333333,1.0,1.0,0.8819444444444445,0.8333333333333334
all_pairs,0,1,0.0,0.0333333333333333,72,-0.011022082601257307,-0.17554256677884997,0.0814474913361653,72,0.5695048079167786,0.32771896572268,0.6877461479003562,72,-0.041849344376104505,-0.24343324349082762,0.019485082734207453,72,0.680313690313582,0.4656585019510373,0.8950848912874642,72,0.654581506811114,0.5438703439027905,0.9689569100433503,72,88.74258265805054,81.05968607913331,107.93421541904854,72,11.006316304635149,9.255661795498781,12.347573137721453,72,0.9920599600822858,0.9876415639723006,0.993683232897225,72,2.0615012526027505,1.706541571337132,2.74906672892374,72,0.8010085978835979,0.8543320105820106,0.17865410052910052,0.06233465608465608,0.020337301587301584,0.08333333333333333,1.0,1.0,0.8771494708994709,0.8098544973544973
all_pairs,0,2,0.0,0.0666666666666666,72,-0.05158678185338532,-0.18674000591219872,0.05317381743599678,72,0.5725525583658875,0.41898229889931443,0.7274543860976456,72,-0.09505824384780227,-0.25313334489245665,-0.01864866006945095,72,0.7441728662155285,0.48577499029513294,1.0458817099432376,72,0.6831759535537396,0.581314642259827,1.0118387694034452,72,95.25545122363187,86.57100605864203,110.23954516448623,72,10.405286088538352,9.038159067658844,11.448148919680765,72,0.9925799903651569,0.982685574531203,0.9944934658883039,72,2.1922187281037795,1.810959159494932,2.906213616841594,72,0.7974537037037037,0.8530919312169312,0.18559854497354497,0.0650628306878307,0.016947751322751323,0.08184523809523808,1.0,1.0,0.8686011904761906,0.793501984126984
all_pairs,0,3,0.0,0.1,72,-0.08451288975400842,-0.21921839431662427,0.0296235505557089,72,0.650379629398338,0.4234187146718021,0.8671973829475943,72,-0.13841186679601314,-0.27916210370789296,-0.03406290761846795,72,0.9012283379133115,0.5948512780757317,1.2689499128801527,72,0.7262842197532605,0.5839009393974549,1.06012998930199,72,100.32716057955588,90.58394520434663,110.8246749822377,72,9.795803796412237,8.741948594404032,10.965544366408594,72,0.9924136223515703,0.9842291100872235,0.994271974944943,72,2.3084872331791466,1.9088760072221111,3.0869599461809285,72,0.7862654320987654,0.8382109788359788,0.20480599647266312,0.07735339506172839,0.00892857142857143,0.08443562610229277,1.0,1.0,0.837014991181658,0.7159667107583775
all_pairs,0,4,0.0,0.1333333333333333,72,-0.09388970876947672,-0.24096145165351432,0.02467967475745805,72,0.7561261673774058,0.400573774138338,1.029342971400183,72,-0.16302224732949785,-0.3069636804095235,-0.04975674672008279,72,0.979509639513121,0.687437133670034,1.4465708376309028,72,0.7653822118061695,0.5894689384465043,1.088271271118349,72,102.0728196146133,94.14623518429285,111.32548439588965,72,9.634261678312626,8.504057457679076,10.557171629954304,72,0.9927329216092133,0.98565895263732,0.9947148509865653,72,2.3895550359273905,1.9968930752567233,3.1923012505475326,72,0.7755456349206349,0.830164241622575,0.21726190476190477,0.08694334215167548,0.006696428571428572,0.08289241622574955,0.9995039682539684,1.0,0.7690696649029982,0.653422619047619
all_pairs,0,5,0.0,0.1666666666666666,72,-0.10130050041882771,-0.24054032430761868,0.0232324697290838,72,0.8436957644866505,0.5179587039134301,1.105437376718255,72,-0.183905494071154,-0.3193439696669726,-0.05622853066346187,72,1.1061933720816541,0.7711984453171267,1.6075681512132325,72,0.7960694378508215,0.6153541228731094,1.112720360994726,72,105.06499389735345,96.79725332007172,113.141132206245,72,9.438270911336136,8.28785330958059,10.25068213772459,72,0.9924807586424569,0.9887043833784235,0.994828215428555,72,2.474560736551337,2.1381877048759685,3.2665955113536573,72,0.7676256613756612,0.8233575837742504,0.22066247795414462,0.09482473544973545,0.010141093474426809,0.08181768077601412,0.9984292328042328,1.0,0.7025297619047619,0.5948192239858907
all_pairs,0,6,0.0,0.2,72,-0.09602543586578016,-0.2574138222781811,0.030447824745572526,72,0.9176885997901849,0.5745401282799074,1.1924704837507294,72,-0.18075852710565915,-0.3505461549837878,-0.06151443203606335,72,1.227339611173059,0.8724100383858928,1.7183020639864262,72,0.8500529497246252,0.6403316376680321,1.1671055870549831,72,104.91889305499191,98.03151059687896,116.5452746095027,72,9.245058940720357,7.949395790116242,10.138248964475192,72,0.9939672048792666,0.9874496284349331,0.995257919753225,72,2.5441697932608283,2.2494864343170193,3.317297576863199,72,0.7690310846560846,0.8117614638447973,0.22057980599647264,0.10179122574955908,0.008818342151675485,0.085951278659612,0.9984292328042328,0.9995039682539684,0.6554177689594357,0.5043485449735451
all_pairs,0,7,0.0,0.2333333333333333,72,-0.08014939619183434,-0.2560196758703997,0.04167289668425545,72,1.0038394738982146,0.6500477651674144,1.287395149593732,72,-0.17187659605988934,-0.3519152601574471,-0.056822491455232445,72,1.3464315715496462,0.933218733170292,1.8254329996465077,72,0.8950740110721789,0.6700794466998007,1.2304757672468227,72,105.75681036713831,97.73461040858874,118.90754444873455,72,9.252456130350021,7.820626326445563,10.147423458318515,72,0.9938099437130151,0.9862143212593539,0.9949625972736968,72,2.6083143629646983,2.2734818776225203,3.3911962565342115,72,0.7568562610229277,0.8029045414462082,0.2310185185185185,0.1072310405643739,0.008322310405643739,0.08878968253968254,0.99619708994709,0.9989252645502646,0.5650793650793651,0.4522927689594356
all_pairs,0,8,0.0,0.2666666666666666,72,-0.08787287579175108,-0.2651971632131518,0.046739918673694786,72,1.054196846463002,0.6982948351654781,1.3726809145377925,72,-0.17150981391116632,-0.3621161726961455,-0.04781338254162938,72,1.4004255622430988,0.9694334941789126,1.9233728574437217,72,0.935256133208136,0.6839811548934608,1.284600385675232,72,106.11326261554316,97.84642613096273,120.61835400236782,72,9.25688203383828,7.706880100858058,10.188078325601039,72,0.9930063226353125,0.9879752991027668,0.9948934950213851,72,2.61667798629683,2.284174440810339,3.402568580679689,72,0.7429563492063492,0.7885030864197531,0.2398478835978836,0.11441247795414464,0.01107804232804233,0.09419091710758377,0.9938822751322751,0.9971064814814814,0.5280809082892417,0.4200892857142857
all_pairs,0,9,0.0,0.3,72,-0.09339043035854927,-0.2730007755392909,0.0837738619899207,72,1.0887799992912917,0.7321538379210569,1.4598366187965648,72,-0.16567229566654068,-0.37383777878839886,-0.02532345296557226,72,1.490886926693614,1.0203926057997443,1.9970984574781594,72,0.9668598197599354,0.720091438691549,1.3786666848565474,72,106.292995874724,96.37000812886669,121.87066911035043,72,9.095776601026483,7.473810465738158,10.303108374445985,72,0.9933777870617136,0.9896611085962236,0.9948049825696451,72,2.6740387210268906,2.2662544328945646,3.525285644525034,72,0.7268959435626103,0.7725363756613758,0.24631834215167547,0.12134038800705468,0.013640873015873016,0.101576278659612,0.9868551587301587,0.9954530423280423,0.48819444444444443,0.3805500440917108
