stage,A_threshold,A_band,n_grid_points,median_drive_dominance_fraction,median_abs_dA_ddrive,median_abs_dA_dintrinsic,median_gradient_magnitude
WT_exit,0.1358293233470019,0.05,155,0.5812021172833434,0.560543099295383,0.45365763420637545,0.8772986549979215
balance,0.5,0.05,53,0.5803346733598092,0.8791242816569382,0.6366803492023364,1.1674933764645274
SCA3_entry,0.7978563373093712,0.05,22,0.580384567492771,0.986508120379189,0.6165019783631447,1.3982856383284856
