group,cell_id,core_q75_secure,rheobase_J_best,exp_firing_rate_q75_hz,exp_active_rate_q75_hz,exp_mean_isi_q75_ms,exp_train_duration_q75_ms,exp_spike_count_q75,model_active_rate_q75_hz,model_mean_isi_q75_ms,model_firing_rate_q75_hz
SCA3,SCA3_01,True,7.364185581249652,37.47955558062151,42.661643296601966,23.721350931677016,854.45,38.0,44.19297439719659,22.95967975502382,38.46565240305796
SCA3,SCA3_02,False,0.9278531747632068,49.25576996326034,50.49547628293364,19.857618811720343,619.7060546874934,31.67187499999969,67.62949912820208,14.937216242447343,67.31850798908881
SCA3,SCA3_04,True,2.998635531603484,51.34150066444606,54.05645278919022,18.557606026785702,121.42753906249976,7.496093749999989,47.79180335016275,21.144482766787423,46.69813086308048
SCA3,SCA3_05,False,2.302301394566596,30.954476047137284,31.343644050591788,32.057164171006946,552.584375,18.3046875,55.41309714308251,18.194461714537585,55.68202762634273
SCA3,SCA3_06,True,5.238728290213989,30.73429802955661,32.63410282217745,30.86969147005448,924.7515625,31.19531249999996,31.609133783233617,31.86810380047486,29.749076354679765
SCA3,SCA3_09,True,2.2595007918063086,29.895320197044374,35.7043875538767,28.14086174242421,820.1796875000003,30.34375000000004,35.94322112969503,27.98144502491703,30.280172413793142
WT,WT_03,True,1.6558117865631434,96.09752719102654,97.6491747388552,10.254144340581988,983.296875,97.01562499999991,97.88613930579908,10.231883977551352,95.35732644394558
WT,WT_04,True,0.3807969954705221,63.02042877095175,65.0607836609911,15.41826681619173,964.311914062499,63.76757812499953,65.48730795358982,15.301092657440917,63.51434927075274
WT,WT_06,False,0.6344904113823149,106.84802103425562,108.20388629568062,9.241839663362422,988.7830078125,107.99023437500004,106.33158921368336,9.404592503205745,103.87975063958572
WT,WT_07,False,1.2731089460957787,2.174798473115336,64.53268483635522,15.49648437499997,15.49648437499997,2.0,47.53305151260771,21.04568239656965,6.367832293092159
WT,WT_08,True,0.4738492234861163,78.93373624400914,126.41316385488024,7.926688326322122,84.50996093750028,11.548828125000028,112.54708908994245,8.890497594066147,71.81561471722117
WT,WT_09,True,0.674460655746496,79.15236101761882,83.01436841673429,12.145059760089834,884.4409179687509,73.08593750000004,84.05818954325693,11.947495223109131,80.21640808908398
WT,WT_10,True,0.6489912667881883,74.10398877729645,77.00654626148032,13.048469328703726,960.02890625,74.93164062499986,75.61863130562878,13.319891588999186,73.19122834019936
WT,WT_11,False,1.79414297517395,54.78198438807571,64.48454189279258,15.561905126634027,834.7007812500016,54.69531249999996,65.4118575580993,15.350570576289734,62.88981302539635
WT,WT_13,True,0.6139190612350652,59.22086657761133,80.05098766747369,12.492074364437649,487.9343749999997,40.05859374999997,102.6292188301199,9.743956204579296,75.56991407982252
WT,WT_14,True,0.8923298902068751,74.08298775671386,78.51358157636817,12.768315060399193,203.4613281250015,16.863281250000078,79.56589884766097,12.60286829241946,78.53125822801451
WT,WT_15,False,0.4820998968182255,95.94316953527932,97.24098206584942,10.301093152104617,985.5886718749998,96.85156249999976,96.53248960578836,10.373826431791205,95.94316953527932
WT,WT_16,True,0.3414059790542729,76.56545684707852,78.87651167006612,12.757339754971651,969.9179687499995,77.52734374999964,76.45354779604736,13.115508254224276,74.82488881844208
