group,cell_id,abf_path,sweep_index,current_pA,onset_ms,offset_ms,main_cell_include,phenotype,forced_valid_zero,excluded_above_valid_range,primary_current_range,total_spike_count,sustained_spike_count,total_rate_hz,sustained_rate_hz,first_spike_latency_ms,early_spike_count,late_spike_count,depolarization_block_candidate
WT,WT_03,/root/neurothermo/WT/cc_03.abf,8,400.0,131.20000000000002,1131.2,1,regular,0,0,1,19,19,19.191919191919194,19.191919191919194,216.4,3,8,0
WT,WT_03,/root/neurothermo/WT/cc_03.abf,9,450.0,131.20000000000002,1131.2,1,regular,0,0,1,48,48,48.484848484848484,48.484848484848484,32.5,15,16,0
WT,WT_03,/root/neurothermo/WT/cc_03.abf,10,500.0,131.20000000000002,1131.2,1,regular,0,0,1,81,81,81.81818181818181,81.81818181818181,10.5,27,27,0
WT,WT_03,/root/neurothermo/WT/cc_03.abf,11,550.0,131.20000000000002,1131.2,1,regular,0,0,1,87,87,87.87878787878788,87.87878787878788,17.900000000000006,29,30,0
WT,WT_03,/root/neurothermo/WT/cc_03.abf,12,600.0,131.20000000000002,1131.2,1,regular,0,0,1,94,94,94.94949494949495,94.94949494949495,16.30000000000001,30,32,0
WT,WT_03,/root/neurothermo/WT/cc_03.abf,13,650.0,131.20000000000002,1131.2,1,regular,0,1,0,102,102,103.03030303030303,103.03030303030303,15.099999999999994,33,34,0
WT,WT_03,/root/neurothermo/WT/cc_03.abf,14,700.0,131.20000000000002,1131.2,1,regular,0,1,0,76,76,76.76767676767678,76.76767676767678,7.5,39,0,1
WT,WT_04,/root/neurothermo/WT/cc_04.abf,0,0.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_04,/root/neurothermo/WT/cc_04.abf,1,50.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_04,/root/neurothermo/WT/cc_04.abf,2,100.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,1,0,1.0101010101010102,0.0,348.0,0,0,0
WT,WT_04,/root/neurothermo/WT/cc_04.abf,3,150.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,2,2,2.0202020202020203,2.0202020202020203,241.1,2,0,0
