biological_pair_key,both_core_secure,stage,A_threshold,median_drive_dominance_fraction_weighted_median,median_abs_dA_ddrive_weighted_median,median_abs_dA_dintrinsic_weighted_median,median_gradient_magnitude_weighted_median,scenario_support_with_boundary_band
WT_11__TO__SCA3_01,False,WT_exit,0.1358293233470019,0.23401331929393873,0.6170768667021663,1.1098488207284702,1.233395635148747,0.6666666666666666
WT_11__TO__SCA3_01,False,balance,0.5,0.37568097261095224,0.6005368038932392,0.858034568187312,1.2663429325801332,1.0
WT_11__TO__SCA3_01,False,SCA3_entry,0.7978563373093712,0.4394289324411393,1.0101642834664952,1.3570931400562034,1.8346310937710217,1.0
WT_11__TO__SCA3_02,False,WT_exit,0.1358293233470019,0.4798957234579008,0.8572914241764411,1.0293850814664105,1.9277727578403494,1.0
WT_11__TO__SCA3_02,False,balance,0.5,0.44432094217296586,0.7587551422171818,0.9273842676023976,1.5638772378010941,1.0
WT_11__TO__SCA3_02,False,SCA3_entry,0.7978563373093712,0.46263918954280625,0.8081506672537078,1.119491363562891,1.5954824781233434,0.9047619047619049
WT_11__TO__SCA3_04,False,WT_exit,0.1358293233470019,0.317086902784925,0.5455394189358409,0.9336774759769131,1.195687058972726,0.7222222222222221
WT_11__TO__SCA3_04,False,balance,0.5,0.2213900144096025,0.32092783263815666,1.1348574495769774,1.563814960392698,1.0
WT_11__TO__SCA3_04,False,SCA3_entry,0.7978563373093712,0.38251934252544795,0.44627772028142293,1.008066704914913,1.5672374898990917,0.9444444444444444
WT_11__TO__SCA3_05,False,WT_exit,0.1358293233470019,0.3350473338743242,0.1567064990197351,0.43965453810772326,0.4791535771459184,0.8095238095238096
WT_11__TO__SCA3_05,False,balance,0.5,0.23156842893814802,0.382979080928411,1.1592316294645,1.1999019820633277,1.0
WT_11__TO__SCA3_05,False,SCA3_entry,0.7978563373093712,0.3998227680494782,0.967323964367287,1.0861939390203053,1.6916821115128315,0.9047619047619049
WT_11__TO__SCA3_06,False,WT_exit,0.1358293233470019,,,,,0.0
WT_11__TO__SCA3_06,False,balance,0.5,0.8408397889926532,0.6472261794702555,0.04820806357923203,0.6610945415690389,1.0
WT_11__TO__SCA3_06,False,SCA3_entry,0.7978563373093712,0.8498306670710329,1.2231162501105988,0.08988369264947493,1.2468497832504073,1.0
WT_11__TO__SCA3_09,False,WT_exit,0.1358293233470019,0.3898413667284776,1.1712419832190413,1.8873698120579736,2.295175765542026,0.8888888888888888
WT_11__TO__SCA3_09,False,balance,0.5,0.34761656918438266,1.1813801760261047,2.148280747148338,2.622174780894741,1.0
WT_11__TO__SCA3_09,False,SCA3_entry,0.7978563373093712,0.39830882570100445,1.0917441401568966,2.1277089123444233,2.3748730660690494,1.0
WT_13__TO__SCA3_01,True,WT_exit,0.1358293233470019,0.22271601257252446,0.7061907210285285,0.5601615275958194,0.9749187133992581,1.0
WT_13__TO__SCA3_01,True,balance,0.5,0.33257438772580594,0.7061796175862389,0.7670750591845359,1.455663953107097,1.0
WT_13__TO__SCA3_01,True,SCA3_entry,0.7978563373093712,0.4358950025905278,1.0060071891871099,1.146030187580679,1.6507451032197997,1.0
WT_13__TO__SCA3_02,False,WT_exit,0.1358293233470019,0.4634217128071304,0.7757536727886029,0.971296846380685,1.3727271772348213,1.0
WT_13__TO__SCA3_02,False,balance,0.5,0.5480385393216368,1.1985187317306432,1.137742763259936,2.5794852531479533,0.8571428571428571
WT_13__TO__SCA3_02,False,SCA3_entry,0.7978563373093712,0.5893903300952039,0.4482548728853118,0.39513483116455483,0.7746595275710453,0.42857142857142855
WT_13__TO__SCA3_04,True,WT_exit,0.1358293233470019,0.16813798862240034,0.3847911626465378,1.6772202073907627,1.693800188043672,1.0
WT_13__TO__SCA3_04,True,balance,0.5,0.23471272707685123,0.3839622811546603,1.465997836790703,1.5399333856777044,1.0
WT_13__TO__SCA3_04,True,SCA3_entry,0.7978563373093712,0.40774022331966897,1.0229264655698609,1.5974046744237067,1.9123227866131034,1.0
WT_13__TO__SCA3_05,False,WT_exit,0.1358293233470019,0.17942015410651815,0.4791057759452072,1.9825713571788457,2.0354337075279836,1.0
WT_13__TO__SCA3_05,False,balance,0.5,0.25050955873667735,0.49434338284860696,1.534889092748219,1.6129622819503535,1.0
WT_13__TO__SCA3_05,False,SCA3_entry,0.7978563373093712,0.42293123713898595,0.7815398615668196,1.4994541416018712,1.694379640766047,0.8571428571428571
WT_13__TO__SCA3_06,True,WT_exit,0.1358293233470019,0.39254336645044463,0.6946375943536419,1.1206542727702982,1.2259179330610739,1.0
WT_13__TO__SCA3_06,True,balance,0.5,0.4237681198769164,0.7318933573786591,0.88590801297131,1.1839902578033494,1.0
WT_13__TO__SCA3_06,True,SCA3_entry,0.7978563373093712,0.6479133627876286,1.307867976973972,0.7802864333585243,1.580915998985708,1.0
WT_13__TO__SCA3_09,True,WT_exit,0.1358293233470019,0.3086137190695031,0.8802065714562481,1.7301953322441879,1.928955488328309,1.0
WT_13__TO__SCA3_09,True,balance,0.5,0.3605076720907797,0.8724609255235001,1.6996420021147975,1.9721187501169144,1.0
WT_13__TO__SCA3_09,True,SCA3_entry,0.7978563373093712,0.5030494478615852,1.2989901685184984,1.632228365705795,2.5984939944275602,1.0
WT_14__TO__SCA3_01,True,WT_exit,0.1358293233470019,0.5524865283107954,0.5015936745404056,0.3113674074399654,0.8235274870617731,1.0
WT_14__TO__SCA3_01,True,balance,0.5,0.6122107718560275,0.9355412230710662,0.690435074963664,1.0519598268283787,1.0
WT_14__TO__SCA3_01,True,SCA3_entry,0.7978563373093712,0.6919142579005509,1.367835786883505,0.6754247311157336,1.4314665504026043,1.0
WT_14__TO__SCA3_02,False,WT_exit,0.1358293233470019,0.47128091639152125,0.9250290445871507,1.2272884496370153,1.3855169376530503,1.0
WT_14__TO__SCA3_02,False,balance,0.5,0.5384573346156021,1.262898680481051,1.0376911415040562,1.8252648682676842,1.0
WT_14__TO__SCA3_02,False,SCA3_entry,0.7978563373093712,0.47595100464700335,0.5542475275726312,0.9229245537479369,1.5533366949742742,0.7142857142857143
WT_14__TO__SCA3_04,True,WT_exit,0.1358293233470019,0.23156099870917074,0.5162351515922318,1.30708388367513,1.643249121854153,1.0
WT_14__TO__SCA3_04,True,balance,0.5,0.3202227974704367,0.7847726386253355,1.280578200009063,1.6766478719235969,1.0
WT_14__TO__SCA3_04,True,SCA3_entry,0.7978563373093712,0.4079190501012548,0.7932541521839656,1.270428104464098,1.7615609740076439,0.7500000000000001
WT_14__TO__SCA3_05,False,WT_exit,0.1358293233470019,0.20282554785791324,0.607556150214219,1.2904948688856657,1.5762350490332708,1.0
WT_14__TO__SCA3_05,False,balance,0.5,0.2672605393877149,0.7429672718847087,1.2521103286591369,1.8270723634641366,1.0
WT_14__TO__SCA3_05,False,SCA3_entry,0.7978563373093712,0.4146188995444736,1.4897954385734082,1.7972367374970832,2.136207891445483,0.7142857142857143
WT_14__TO__SCA3_06,True,WT_exit,0.1358293233470019,0.3205382605910929,0.2597205848730855,0.025184954168708952,0.6471672686813968,1.0
WT_14__TO__SCA3_06,True,balance,0.5,0.30044460386839333,0.5606122156534712,0.029110156799243288,1.3268413006985114,1.0
WT_14__TO__SCA3_06,True,SCA3_entry,0.7978563373093712,0.37450871768916894,0.5965394888917068,0.02392136339014029,1.1282447556148498,1.0
WT_14__TO__SCA3_09,True,WT_exit,0.1358293233470019,0.2587708450756783,0.8002924248996306,3.2411358657516702,3.4755447620952404,1.0
WT_14__TO__SCA3_09,True,balance,0.5,0.26734960484506515,1.1933839776596187,2.8550335555858757,3.0176755323778632,1.0
WT_14__TO__SCA3_09,True,SCA3_entry,0.7978563373093712,0.4199300145761622,1.2155839728855418,2.0073055493344936,2.978657319305825,1.0
WT_15__TO__SCA3_01,False,WT_exit,0.1358293233470019,0.6993047942694628,1.51373850711179,0.37742774865476575,1.547568582633494,1.0
WT_15__TO__SCA3_01,False,balance,0.5,0.7154868753192447,1.9640694624879071,0.5292177409784902,2.00926682613856,1.0
WT_15__TO__SCA3_01,False,SCA3_entry,0.7978563373093712,0.71186775083716,2.4918159045757458,0.7009884271822188,2.591497846306359,1.0
WT_15__TO__SCA3_02,False,WT_exit,0.1358293233470019,0.46110241031543764,1.339586664758227,0.945633753818999,1.9922856514240064,1.0
WT_15__TO__SCA3_02,False,balance,0.5,0.5119572113414791,1.1294358773679547,0.9997926360756155,1.612427891791492,0.9642857142857143
WT_15__TO__SCA3_02,False,SCA3_entry,0.7978563373093712,0.6571064833682653,1.7478702240550408,1.1977852069865145,2.2316617863352324,0.9285714285714286
WT_15__TO__SCA3_04,False,WT_exit,0.1358293233470019,0.43251566161978333,0.8093249732167127,0.8396973692196805,1.5268329208643174,1.0
WT_15__TO__SCA3_04,False,balance,0.5,0.5780407948484464,1.2292176775554864,0.911682625055893,1.6933364615769797,1.0
WT_15__TO__SCA3_04,False,SCA3_entry,0.7978563373093712,0.6143586425689597,1.211117756862286,0.8718016399010902,1.9155124800040257,1.0
WT_15__TO__SCA3_05,False,WT_exit,0.1358293233470019,0.45860690863438747,0.6536523941840005,0.778714001584474,1.1579174281301237,1.0
WT_15__TO__SCA3_05,False,balance,0.5,0.5641822181529894,0.949551084689385,0.7144536407778366,1.6375965815292048,1.0
WT_15__TO__SCA3_05,False,SCA3_entry,0.7978563373093712,0.5994377349891487,1.1335456122209622,0.822281671066454,1.5372608267178427,0.7142857142857143
WT_15__TO__SCA3_06,False,WT_exit,0.1358293233470019,0.6913694189812472,1.472775714561971,0.6067475149292829,1.6611459187468054,1.0
