subset,p_intrinsic,p_drive,n_biological_pairs,A_isi_median,dA_dintrinsic_median,dA_ddrive_median,drive_dominance_fraction_median,gradient_magnitude_median,A_isi_q25,dA_dintrinsic_q25,dA_ddrive_q25,drive_dominance_fraction_q25,gradient_magnitude_q25,A_isi_q75,dA_dintrinsic_q75,dA_ddrive_q75,drive_dominance_fraction_q75,gradient_magnitude_q75
all_pairs,0.0,0.0,72,0.037478264309154255,0.21397965511705208,-1.1747292750942755,0.5304216489558817,1.5643216125979695,-0.1358834059694852,-0.06940474258897666,-1.704349233691495,0.396839983327282,1.0694831386334207,0.0996474122588257,0.881814177698883,-0.3452181079016786,0.6944855445204582,2.2583886483418247
all_pairs,0.0,0.0333333333333333,72,-0.0110220826012573,0.14365943164294517,-1.0304916555623191,0.509038362365853,1.4582096228261028,-0.17247613945651596,-0.09781473368636032,-1.443073901055397,0.3500069425900823,1.0018808830449963,0.0814474913361653,0.6804744182621584,-0.38785291798896543,0.6891172965719645,1.9227775875360649
all_pairs,0.0,0.0666666666666666,72,-0.0515867818533853,0.14262600623995214,-0.7655677082560028,0.5060851626749914,1.2261362723459608,-0.18664396324647708,-0.10847432715780564,-1.118794780601792,0.35896094452032196,0.9028472181135864,0.05317381743599678,0.6455380710135397,-0.3778315219640648,0.6483318647881238,1.6338420480732638
all_pairs,0.0,0.1,72,-0.07796210774968884,0.12471323630288564,-0.4924081462232328,0.4625757150303799,1.131048598750522,-0.20329616842099013,-0.1238575738562055,-0.8231909731434277,0.3370163453393056,0.7169575961202135,0.0296235505557089,0.5574031326603924,-0.04721343513518999,0.6213266205098469,1.5979305628845686
all_pairs,0.0,0.1333333333333333,72,-0.09361568292713555,0.1417919126341649,-0.3939038644776277,0.4230418724869073,1.0539454017471295,-0.2232543842391338,-0.10845375127002548,-0.6950136361057228,0.31042126189817076,0.7074461545594916,0.02467967475745805,0.5452117560964727,0.01431890875046326,0.5976307094053087,1.6275393596656125
all_pairs,0.0,0.1666666666666666,72,-0.098144305805262,0.11425018552365283,-0.21309648583469765,0.4084522180521006,1.0501297794817241,-0.22747241940627885,-0.15138607503097834,-0.551906809031196,0.3002263697526839,0.7403015810810621,0.0232324697290838,0.5282213783946093,0.1721902947297465,0.6065050264749585,1.5792789904749178
all_pairs,0.0,0.2,72,-0.0873094293407857,0.12457551382856337,-0.11770199712799886,0.43741920419575075,1.0525168969997805,-0.2366853605195262,-0.11775189246595683,-0.4793596758990267,0.28149586370503293,0.7416383726582292,0.03589806315166647,0.5273614597506984,0.2764410578309152,0.6549995350810471,1.5980503353246467
all_pairs,0.0,0.2333333333333333,72,-0.0735591297623507,0.12693846052558655,-0.01053996950793947,0.4164060426398004,1.0270726794161495,-0.24734951633792684,-0.10676151723111894,-0.41440461524668315,0.315787564475758,0.8037082462398688,0.0453935823465171,0.6123681311870229,0.40708708641815633,0.6772018147485568,1.5467148532447725
all_pairs,0.0,0.2666666666666666,72,-0.07660299188344655,0.1392752484447931,0.056808712179432175,0.4541302624799,1.0573593574372846,-0.25422680304592415,-0.11356211894628476,-0.33512998900046265,0.2604187334375163,0.8546404108462973,0.0467399186736948,0.6064431633792711,0.43787011311461627,0.6967358588418365,1.6311687193513236
all_pairs,0.0,0.3,72,-0.079504223807212,0.11376403691201689,0.08542719663363998,0.46891387046763155,1.1078806213090586,-0.2541185125260019,-0.11188740653302334,-0.283865516467225,0.26306408261108527,0.8988416353079474,0.08398999145878341,0.5965415462913278,0.4844855011445457,0.7138678719433169,1.5834941295177019
