path_family,stage,n_core_pairs_total,n_pairs_with_marker,median_pair_crossing_support_weight,scenario_first_surface_median,frozen_v1_1_median,absolute_difference
coupled,WT_exit,32,32,1.0,0.3919086764941086,0.3982858972674093,0.006377220773300718
coupled,balance,32,32,1.0,0.6626347453733362,0.6763803430395323,0.013745597666196097
coupled,SCA3_entry,32,32,1.0,0.8375457313964405,0.837016803115893,0.0005289282805475137
drive_early,WT_exit,32,32,1.0,0.23345644992748277,0.2335437861278234,8.733620034062639e-05
drive_early,balance,32,32,1.0,0.5222128443361705,0.5225688807708302,0.00035603643465964563
drive_early,SCA3_entry,32,32,1.0,0.7163319097368022,0.7168672705161009,0.0005353607792987214
drive_late,WT_exit,32,32,1.0,0.2892617439222095,0.4009454981294332,0.1116837542072237
drive_late,balance,32,32,1.0,0.7654907142564247,0.7932635818327602,0.02777286757633557
drive_late,SCA3_entry,32,32,1.0,0.8734965694162093,0.8782712431917612,0.004774673775551852
