biological_pair_key,wt_cell_id,sca_cell_id,both_core_secure,scan,fixed_coordinate,fixed_value,projection,stage,A_threshold,crossing_coordinate,n_support_scenarios,crossing_support_weight,q25_weighted,median_weighted,q75_weighted
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.1333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.75,0.6222310624000221,0.7048129019292039,0.7986988806319
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.1333333333333333,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.14225047806038132,0.25182728995502496,0.2920140407380579
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.1333333333333333,active,balance,0.5,p_drive,8,1.0,0.2915047787209993,0.5620130986473983,0.6211212477450134
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.1333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.3019820243736462,0.6611729257588411,0.7287355968578654
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.1666666666666666,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.06332187287736787,0.08621817445748955,0.12049085643459367
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.1666666666666666,isi,balance,0.5,p_drive,8,1.0,0.28266602743985136,0.5088456476528385,0.5335295847215017
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.1666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.75,0.6494153335543891,0.7057210891122139,0.8182883406559323
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.1666666666666666,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.15716798882500121,0.2513579072001312,0.29738653555758787
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.1666666666666666,active,balance,0.5,p_drive,8,1.0,0.30076523989013704,0.5497229846083522,0.6243561329220889
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.1666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.3038366732070036,0.6566491112524026,0.7315973004327542
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.07264073087973338,0.10413918656814235,0.12490476048116476
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2,isi,balance,0.5,p_drive,8,1.0,0.2989230073378605,0.505415759889079,0.547415733121034
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.75,0.6670412295658066,0.7300922276310033,0.8300371003462486
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.17368859920581511,0.225442388934132,0.3038605739768589
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2,active,balance,0.5,p_drive,8,1.0,0.32514229905466463,0.5378035712349717,0.6276211038217855
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.33550366856112446,0.6512631242018935,0.7344186973832719
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2333333333333333,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.08187770309741224,0.10705494175541772,0.13130823062112718
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2333333333333333,isi,balance,0.5,p_drive,8,1.0,0.3132440614234844,0.5035988348300384,0.5760285148690266
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.75,0.6982106202426582,0.7529581413060445,0.8361964663731307
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2333333333333333,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.1871406552647813,0.20544583876018296,0.3078830147246832
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2333333333333333,active,balance,0.5,p_drive,8,1.0,0.34105201313416195,0.5233804526259557,0.6391162295025097
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.36753814079969915,0.6369757257163603,0.7434224471342663
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2666666666666666,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.09096077278266457,0.11292980727909878,0.14176969230679848
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2666666666666666,isi,balance,0.5,p_drive,8,1.0,0.3289204627388431,0.4989260038738291,0.6055246055262747
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.75,0.7233182816771174,0.7614885039576385,0.8517998483137554
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2666666666666666,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.1577694713137914,0.20731745167975,0.3132319718463117
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2666666666666666,active,balance,0.5,p_drive,8,1.0,0.361686363721993,0.49578662836425785,0.660137027739979
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.2666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.40005263723007745,0.6178196772829564,0.7552657218617723
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.06647859470754369,0.12724394639089937,0.15822323067760724
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3,isi,balance,0.5,p_drive,8,1.0,0.3441095070399494,0.48959248062517957,0.6172262419192086
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.625,0.7170357303238345,0.7706915984096097,0.7933353075184614
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.10494144802596893,0.2245238983737599,0.3187599297853522
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3,active,balance,0.5,p_drive,8,1.0,0.3758133835029882,0.4763759592195244,0.6547006855444161
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.42204222540529546,0.5964124189459067,0.7775151982544862
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3333333333333333,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.005890866577050339,0.14126061567869186,0.17700408185558236
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3333333333333333,isi,balance,0.5,p_drive,8,1.0,0.3626402445365282,0.5549729108652469,0.6158810476151945
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.75,0.5646232669636448,0.7703406376100627,0.8451972185631824
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3333333333333333,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.24193486467300257,0.3243802594372184
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3333333333333333,active,balance,0.5,p_drive,8,1.0,0.3958037361631452,0.44318650016058436,0.653497148707273
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.44536116994248837,0.561338433718984,0.793237548655915
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3666666666666666,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.0,0.15538420311313977,0.19639046388858677
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3666666666666666,isi,balance,0.5,p_drive,8,1.0,0.38101617589458364,0.5595729319817616,0.6115208655763569
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.75,0.5660565223806343,0.7747921468458029,0.9114199876145243
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3666666666666666,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.24453037993772486,0.32975361858265734
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3666666666666666,active,balance,0.5,p_drive,8,1.0,0.40789194253967315,0.4135051911187473,0.6528594106430309
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.3666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.466375322234114,0.5321318559750482,0.8028143584795098
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.0,0.1594840356456235,0.21590484664133391
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4,isi,balance,0.5,p_drive,8,1.0,0.40028491755824946,0.5395852045883199,0.6042797182652966
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.75,0.5371430231003798,0.6251247406245938,0.8626726846159567
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.26222422354500335,0.3353004374882086
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4,active,balance,0.5,p_drive,8,1.0,0.39513400565142204,0.42972474723527976,0.6562108434840827
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.48233242205687615,0.5006993906701837,0.8036330736951145
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4333333333333333,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.0,0.1660431934044794,0.23660273296486525
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4333333333333333,isi,balance,0.5,p_drive,8,1.0,0.3963701983462299,0.4192221256148779,0.59366883886241
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.75,0.563437829992282,0.6129109225462166,0.8640925651936009
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4333333333333333,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.2737307306475994,0.34078957724866127
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4333333333333333,active,balance,0.5,p_drive,8,1.0,0.39678332518139225,0.4476005314314831,0.659554874647373
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.46991404393976804,0.5393967466154528,0.804317004393355
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4666666666666667,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.0,0.15585370789230493,0.25779685483417425
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4666666666666667,isi,balance,0.5,p_drive,8,1.0,0.41872778051777904,0.4391367432825307,0.5804783003188874
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4666666666666667,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.75,0.5614728221688287,0.650503961083551,0.8642185709156986
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4666666666666667,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.2916619302324473,0.34632089176751546
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4666666666666667,active,balance,0.5,p_drive,8,1.0,0.4417243330460494,0.46545173742604523,0.6628273170879702
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.4666666666666667,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.5008656024705902,0.5700475099039919,0.8039284441952931
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.0,0.15264737896646535,0.27996287574854944
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5,isi,balance,0.5,p_drive,8,1.0,0.4342926246026775,0.4635108188980685,0.5777952749316744
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.875,0.5528376397817798,0.6346153295190124,0.8156467761027111
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.30354292673819827,0.3517894582929199
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5,active,balance,0.5,p_drive,8,1.0,0.4676298769622522,0.48312602466420407,0.6661972302750868
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.5301589724208309,0.5705361866603899,0.803989982130243
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5333333333333333,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.0,0.15714550564552962,0.30303792792736106
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5333333333333333,isi,balance,0.5,p_drive,8,1.0,0.44943470432754506,0.4835333417480124,0.582466926766227
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,8,0.875,0.5543756641877027,0.6590906136095158,0.8093143160056122
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5333333333333333,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.3216176399574199,0.35743896582878576
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5333333333333333,active,balance,0.5,p_drive,8,1.0,0.46827286233022997,0.502022277565261,0.6695816834098288
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.5491541258378025,0.5688366824960036,0.8033195220074208
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5666666666666667,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.0,0.16200939461713104,0.3272452457225578
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5666666666666667,isi,balance,0.5,p_drive,8,1.0,0.46544911882748913,0.5043182780819973,0.5872452700812506
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5666666666666667,isi,SCA3_entry,0.7978563373093712,p_drive,8,1.0,0.5865012730763282,0.7431900089269259,0.8589488640072624
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5666666666666667,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.32973173273534606,0.36300256555889376
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5666666666666667,active,balance,0.5,p_drive,8,1.0,0.44949558105541043,0.5242008181754025,0.6751637037963031
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.5666666666666667,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.530994756601272,0.5903627845941091,0.8025755413570306
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.0,0.1696496763100332,0.32156848864504395
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6,isi,balance,0.5,p_drive,8,1.0,0.4811038928197892,0.5115675503187641,0.5921523156716846
