group,cell_id,abf_path,sweep_index,current_pA,onset_ms,offset_ms
WT,WT_05,/root/neurothermo/WT/cc_05.abf,11,550.0,131.20000000000002,1131.2
WT,WT_05,/root/neurothermo/WT/cc_05.abf,12,600.0,131.20000000000002,1131.2
WT,WT_05,/root/neurothermo/WT/cc_05.abf,13,650.0,131.20000000000002,1131.2
WT,WT_05,/root/neurothermo/WT/cc_05.abf,14,700.0,131.20000000000002,1131.2
WT,WT_05,/root/neurothermo/WT/cc_05.abf,15,750.0,131.20000000000002,1131.2
WT,WT_05,/root/neurothermo/WT/cc_05.abf,16,800.0,131.20000000000002,1131.2
WT,WT_05,/root/neurothermo/WT/cc_05.abf,17,850.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,0,0.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,1,50.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,2,100.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,3,150.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,4,200.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,5,250.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,6,300.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,7,350.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,8,400.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,9,450.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,10,500.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,11,550.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,12,600.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,13,650.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,14,700.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,15,750.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,16,800.0,131.20000000000002,1131.2
WT,WT_06,/root/neurothermo/WT/cc_06.abf,17,850.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,0,0.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,1,50.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,2,100.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,3,150.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,4,200.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,5,250.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,6,300.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,7,350.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,8,400.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,9,450.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,10,500.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,11,550.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,12,600.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,13,650.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,14,700.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,15,750.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,16,800.0,131.20000000000002,1131.2
WT,WT_07,/root/neurothermo/WT/cc_07.abf,17,850.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,0,0.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,1,50.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,2,100.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,3,150.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,4,200.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,5,250.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,6,300.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,7,350.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,8,400.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,9,450.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,10,500.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,11,550.0,131.20000000000002,1131.2
WT,WT_08,/root/neurothermo/WT/cc_08.abf,12,600.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,0,0.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,1,50.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,2,100.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,3,150.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,4,200.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,5,250.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,6,300.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,7,350.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,8,400.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,9,450.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,10,500.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,11,550.0,131.20000000000002,1131.2
WT,WT_09,/root/neurothermo/WT/cc_09.abf,12,600.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,0,0.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,1,50.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,2,100.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,3,150.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,4,200.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,5,250.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,6,300.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,7,350.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,8,400.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,9,450.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,10,500.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,11,550.0,131.20000000000002,1131.2
WT,WT_10,/root/neurothermo/WT/cc_10.abf,12,600.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,0,0.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,1,50.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,2,100.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,3,150.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,4,200.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,5,250.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,6,300.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,7,350.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,8,400.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,9,450.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,10,500.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,11,550.0,131.20000000000002,1131.2
WT,WT_11,/root/neurothermo/WT/cc_11.abf,12,600.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,0,0.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,1,50.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,2,100.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,3,150.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,4,200.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,5,250.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,6,300.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,7,350.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,8,400.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,9,450.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,10,500.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,11,550.0,131.20000000000002,1131.2
WT,WT_12,/root/neurothermo/WT/cc_12.abf,12,600.0,131.20000000000002,1131.2
WT,WT_13,/root/neurothermo/WT/cc_13.abf,0,0.0,131.20000000000002,1131.2
