path_family,path_progress,n_biological_pairs,A_isi_v1_1_median,A_isi_v1_1_q25,A_isi_v1_1_q75,A_active_median,A_active_q25,A_active_q75,rheobase_J_median,rheobase_J_q25,rheobase_J_q75,active_support_rate_hz_median,active_support_rate_hz_q25,active_support_rate_hz_q75,mean_isi_ms_median,mean_isi_ms_q25,mean_isi_ms_q75,occupancy_fraction_median,occupancy_fraction_q25,occupancy_fraction_q75
coupled,0.0,72,0.03428345003793494,-0.14056544425041603,0.09548151834449342,-0.012753087492362357,-0.18473452651181158,0.09746400071937478,0.6314551640116268,0.5034226712413061,0.9283563609557556,83.83551113555984,74.0846603324372,100.08494077765576,11.682136411998439,9.663919541267385,13.238030966635941,0.9915448099658508,0.980531671466793,0.994149059631611
coupled,0.025,72,0.008916667189701102,-0.14520424317894592,0.11356177435073439,-0.024307444135018022,-0.17363254250494017,0.06517540797739686,0.6332252637841815,0.5121512842685308,0.959618011405989,85.4257483068275,73.10790257222831,99.32465928940256,11.518111623812208,9.764299296617034,13.338301699112822,0.9921194902422507,0.9840157947615009,0.9939954956571004
coupled,0.05,72,-0.015210981019531028,-0.14974041690584225,0.12915500569093918,-0.03932304851781657,-0.1976372815281902,0.07848208481629407,0.6524469970290578,0.4928984772472969,0.9820710567861632,88.55007363899892,71.81385093574953,99.19673622270295,10.927368746730846,9.958154266279452,12.868398137373543,0.9909002010970493,0.9819809062352115,0.993990842486248
coupled,0.075,72,-0.02712622212915415,-0.14202245756735712,0.143573966500622,-0.05055343357115853,-0.1790634359885317,0.08860565326871024,0.6764762787123317,0.5094268743238094,0.9768340866074302,88.88042618511554,71.66907054295204,98.4378491373649,10.89769942434252,9.859065265005555,12.753172358119436,0.9897774337264726,0.9712754261229567,0.9930759099320993
coupled,0.1,72,-0.036601932512691976,-0.15115562009610883,0.15588859880234388,-0.0611012108066933,-0.17878032019759044,0.09147859526827497,0.6874875086750298,0.526807937657285,0.9814542063141681,88.33990343229772,70.19758645516443,99.38286298805359,10.831469141518586,9.868281153893765,13.029663595322411,0.9902513842964513,0.9782086507978187,0.9932536927970549
coupled,0.125,72,-0.02926907342209928,-0.14560765751375837,0.15426323752372134,-0.05398579154950919,-0.18412061092837628,0.11459633421724283,0.7042803786234202,0.5514427651256135,0.9791190468496506,88.14076522071875,70.1447610772477,98.30875300344437,10.91590255593374,9.997318336657223,12.9490041262234,0.9893607897473413,0.9767153581909256,0.9936565509175496
coupled,0.15,72,-0.0334676235686532,-0.13064404163195742,0.1592256339607323,-0.04817487377403608,-0.19154751937615624,0.1319406676628418,0.7290375494199647,0.5611028055460887,0.9712087246612685,87.29764270814036,69.4868121527391,97.58616161079811,10.906231121933793,10.024797679222175,13.064604914344578,0.989795906867737,0.9791031457042012,0.9930379114661498
coupled,0.175,72,-0.03333174974434487,-0.11968674363133983,0.1684083923070721,-0.04269749217590982,-0.1812095731176367,0.1450159241955698,0.7611528952800211,0.5772250466127917,0.9491298332967268,85.35246026303894,67.59943399532008,96.04393500011133,10.976305269327666,10.05138578211446,13.299784896796556,0.9890170309321134,0.97263164825122,0.992618926584056
coupled,0.2,72,-0.022416800698295537,-0.11185064666412833,0.17578691008787983,-0.030867717821055574,-0.17785202873941122,0.17627270037372778,0.7814334010182744,0.6068180817050822,0.9688258702334769,83.71667025619763,67.39073577687122,94.88527005078384,10.953015018802219,10.030401099575894,13.58952333230139,0.9882052973453961,0.9813763847906478,0.9931463346349418
coupled,0.225,72,-0.004007068437037614,-0.1005688665781587,0.21153185055318724,0.010058468198271352,-0.14650932226228136,0.2016102382782068,0.8087008191357381,0.6265824563593146,0.9974542292488067,81.10281641771901,66.60731958336854,93.19346126579232,11.290928910525205,10.28426930554612,13.57313555895926,0.9889215369201976,0.9775648944048984,0.9923625016457667
coupled,0.25,72,0.028090989223011884,-0.08678441336972059,0.22171662787983115,0.031200000589875418,-0.12254347077881228,0.21756731994549008,0.8074545547703859,0.6143108531831709,0.9907258216987416,79.38064267331792,66.06669605397039,92.21514887557763,11.335849558073289,10.404718874598938,13.768079135603635,0.9881954628753715,0.9769277957811204,0.9909943429184922
coupled,0.275,72,0.029632770337430597,-0.08203689320721178,0.23260397924459547,0.059212371983594005,-0.11801563689691758,0.2455832462780312,0.8209327579166578,0.61177461232005,1.0148964039791353,76.37470717761951,65.4717094619247,90.66796117084763,11.633350024288564,10.558126584636057,13.610482144849934,0.9856853260806808,0.9763962112392994,0.9914114263606748
coupled,0.3,72,0.04194296429480143,-0.05695748972313107,0.24989705059344858,0.08540123298427532,-0.10531958127899123,0.2675741092735595,0.8293709559700593,0.5767931213689603,1.018634309046934,74.44070766317566,65.23653690700951,88.7986215545666,11.74295438489127,10.595178635698757,13.907442444724833,0.9868201129072409,0.9731229216150159,0.9905750489982794
coupled,0.325,72,0.08534283780108923,-0.04212394487485856,0.25451769589635376,0.07701068474790866,-0.09604641637274475,0.2808788130463514,0.8236626178280888,0.559288998871731,1.0484555414064456,72.33476685690287,61.44124567011361,87.77501599980735,11.940213002705061,10.578972981013832,14.004057994682073,0.9852493166236971,0.9723327990766091,0.9903322275905191
coupled,0.35,72,0.11050918872231497,-0.03189341923644916,0.27167901832602137,0.09488246765635061,-0.08210622344783423,0.3230694865639707,0.8412277877006211,0.5112613310730039,1.0683585740158315,71.15220673300712,60.42151685317208,86.74897325942253,12.148116031658217,10.822462400398592,14.766794608062028,0.9863862419758749,0.972901079964125,0.9910425945112389
coupled,0.375,72,0.12564863031147766,-0.019460069694379994,0.29574794073394417,0.13633299031965934,-0.060735158943619236,0.36304792141001296,0.8691263332425623,0.5365740946182747,1.129127439813096,70.26055973039536,59.388969335036535,85.9964680408227,12.329156857641754,10.897545586902243,15.007134088889854,0.9833135808664516,0.9699204045088585,0.9905973214630797
coupled,0.4,72,0.13733784862422854,-0.01117637504120667,0.298490241275084,0.17256193058641073,-0.03878606527050507,0.3972271875688033,0.9000164378786596,0.568766096549513,1.1681255835394222,69.10517490158134,58.47066387742208,84.13936783959598,12.841267152007221,11.11441825296093,14.945141478598988,0.9845132945382975,0.9740112815465424,0.9903762890412099
coupled,0.425,72,0.1547547206872901,0.012131881648870167,0.3372255554116295,0.20680943907327037,-0.01951778614038866,0.4180516122162896,0.927086689637085,0.5940607641306467,1.195865356544485,67.22199531722717,56.35662047736062,82.10492630518192,12.998003748156565,11.244007379221557,15.158129326214382,0.9852603984064239,0.9733464808105844,0.9892118161052295
coupled,0.45,72,0.18376555635272623,0.05037942810087759,0.35192309421482904,0.23573881226271998,0.010353346534033615,0.4721069981297906,0.9396722295623097,0.6281807955316927,1.2393277141378733,65.20152787993418,52.76934725003107,80.53845552972636,13.17555903777108,11.494512345061837,15.663277672408784,0.9832743420687502,0.964827201455914,0.9885729176658671
coupled,0.475,72,0.19945577463971342,0.06900894685383496,0.34959379739048413,0.2664555472838783,0.039734303538955955,0.4948251337127577,0.9758933001063714,0.6503173966663263,1.3043918624823476,62.90692808835934,52.90103700440299,78.73497426929566,13.506525833839554,11.738755410183751,16.017070873798573,0.9819776968136211,0.9659381307524177,0.9883382153967999
coupled,0.5,72,0.24270062170697948,0.07817765381244461,0.401110319451391,0.30298414718677147,0.07577588191220766,0.516497344863279,0.9909626778851345,0.6794169906217742,1.35219102383445,62.274659983828585,48.90829606086952,77.86961932514029,14.004521665851016,12.047175974196382,16.676588131220413,0.9798194744044119,0.9667117308949389,0.9905002351116434
coupled,0.525,72,0.28456066382331474,0.09701899141910952,0.3931803786181504,0.33667892895293144,0.1119552544108479,0.531868121341798,1.0167984024533494,0.7032797168631749,1.4146558857913083,62.01103933350241,46.22054745620849,76.99985123173771,14.281906471612327,12.294599111620508,16.601694383495392,0.978409024160058,0.9661231293745965,0.987822720286548
