path_family,subset,metric,n_biological_pairs_total,n_pairs_with_marker,median,q25,q75
coupled,all_pairs,wt_exit_p_isi,72,72,0.3108643283079359,0.004613888329524661,0.4685626582458561
coupled,all_pairs,wt_exit_p_active,72,72,0.31288470188655615,0.10622042711234272,0.49008682520564933
coupled,all_pairs,wt_exit_dual_consensus_p,72,71,0.3216467498281349,0.04473905807656769,0.4933595766854313
coupled,all_pairs,balance_p_isi,72,72,0.6359328006752079,0.3929640384974965,0.7075013937056028
coupled,all_pairs,balance_p_active,72,72,0.5444814531218866,0.3034408605244039,0.7346134443609181
coupled,all_pairs,balance_dual_consensus_p,72,72,0.6019063659384841,0.33496865251695856,0.7201174987914571
coupled,all_pairs,sca3_entry_p_isi,72,69,0.753580690953632,0.36392785602225963,0.8542529199263682
coupled,all_pairs,sca3_entry_p_active,72,69,0.5663345373267616,0.27859681368477146,0.8045954331563592
coupled,all_pairs,sca3_entry_dual_consensus_p,72,64,0.7212507163556026,0.09225224626453493,0.8480032088551995
coupled,core_secure_pairs,wt_exit_p_isi,32,32,0.3982858972674093,0.10519720914647361,0.48958858952520523
coupled,core_secure_pairs,wt_exit_p_active,32,32,0.40859129431508595,0.16724081061123727,0.5211564529390091
coupled,core_secure_pairs,wt_exit_dual_consensus_p,32,31,0.4307921626620354,0.13882133787395,0.5141468703823939
coupled,core_secure_pairs,balance_p_isi,32,32,0.6763803430395323,0.590151756920445,0.7070063506652713
coupled,core_secure_pairs,balance_p_active,32,32,0.6832167033480605,0.45755080743803717,0.752826936273265
coupled,core_secure_pairs,balance_dual_consensus_p,32,32,0.6640552875125981,0.4927962652900874,0.7452778182006228
coupled,core_secure_pairs,sca3_entry_p_isi,32,32,0.837016803115893,0.7732528897329746,0.8690466332889683
coupled,core_secure_pairs,sca3_entry_p_active,32,32,0.7741486333704406,0.5816646675224735,0.8362507501562284
coupled,core_secure_pairs,sca3_entry_dual_consensus_p,32,30,0.8164858571084828,0.7400640074117144,0.8598637749193216
drive_early,all_pairs,wt_exit_p_isi,72,72,0.2048603538239997,0.041999834745183,0.35572086587826723
drive_early,all_pairs,wt_exit_p_active,72,72,0.24935429683514568,0.0823093013046982,0.3803797529486139
drive_early,all_pairs,wt_exit_dual_consensus_p,72,72,0.2124339052673545,0.05173541193467013,0.36100586540836654
drive_early,all_pairs,balance_p_isi,72,72,0.49217219015982344,0.3483474828981346,0.6294418792220287
drive_early,all_pairs,balance_p_active,72,72,0.41668051636933395,0.28532297829710135,0.5711159782057234
drive_early,all_pairs,balance_dual_consensus_p,72,71,0.4624093993049999,0.3367285972879107,0.5960710345897153
drive_early,all_pairs,sca3_entry_p_isi,72,69,0.6438158613225509,0.4000143393929263,0.7492092890146163
drive_early,all_pairs,sca3_entry_p_active,72,69,0.46182783585153225,0.3301712239825136,0.6332758336780048
drive_early,all_pairs,sca3_entry_dual_consensus_p,72,62,0.42504935982223785,0.2086687762653287,0.679754731230089
drive_early,core_secure_pairs,wt_exit_p_isi,32,32,0.23354378612782345,0.14849092595686278,0.35572086587826723
drive_early,core_secure_pairs,wt_exit_p_active,32,32,0.2760824512242673,0.15938088258990968,0.36486052738046815
drive_early,core_secure_pairs,wt_exit_dual_consensus_p,32,32,0.23932892929475796,0.11256560898371124,0.36174638340881216
drive_early,core_secure_pairs,balance_p_isi,32,32,0.5225688807708302,0.40339964623156777,0.5987291825353644
drive_early,core_secure_pairs,balance_p_active,32,32,0.47551816344579156,0.3519339447852695,0.5847771734771139
drive_early,core_secure_pairs,balance_dual_consensus_p,32,32,0.5186449201291297,0.38263080884529277,0.5988675386904507
drive_early,core_secure_pairs,sca3_entry_p_isi,32,32,0.7168672705161009,0.6168049354000141,0.829806829138684
drive_early,core_secure_pairs,sca3_entry_p_active,32,32,0.606349559731111,0.4274085664931731,0.6545528947174307
drive_early,core_secure_pairs,sca3_entry_dual_consensus_p,32,29,0.6603648457192608,0.4451289309124699,0.7432879868214338
drive_late,all_pairs,wt_exit_p_isi,72,72,0.38588637019883343,0.02655636551735375,0.6257527017924859
drive_late,all_pairs,wt_exit_p_active,72,72,0.38221117720698916,0.02221186745850499,0.6662660820404531
drive_late,all_pairs,wt_exit_dual_consensus_p,72,72,0.3856669404336816,0.022957524572643044,0.665807212567607
drive_late,all_pairs,balance_p_isi,72,72,0.7319411758632168,0.4949424010369868,0.8286927884735321
drive_late,all_pairs,balance_p_active,72,72,0.5515787213004227,0.11107480808046775,0.811661820043133
drive_late,all_pairs,balance_dual_consensus_p,72,72,0.8049926725201391,0.5078934579681494,0.8538184043264678
drive_late,all_pairs,sca3_entry_p_isi,72,70,0.7254679366911501,0.4205784630818218,0.9156006224663198
drive_late,all_pairs,sca3_entry_p_active,72,71,0.45493867611527267,0.10168065770595411,0.8458939331740254
drive_late,all_pairs,sca3_entry_dual_consensus_p,72,61,0.8799985280366684,0.08136796655992769,0.9269732191955994
drive_late,core_secure_pairs,wt_exit_p_isi,32,32,0.40094549812943325,0.08124486602912474,0.6555088061554976
drive_late,core_secure_pairs,wt_exit_p_active,32,32,0.4260974326949528,0.08660406110418756,0.6897144448447998
drive_late,core_secure_pairs,wt_exit_dual_consensus_p,32,32,0.4261949294611509,0.07262380690829441,0.6785866486987682
drive_late,core_secure_pairs,balance_p_isi,32,32,0.7932635818327602,0.7098244011880814,0.8300397237118108
drive_late,core_secure_pairs,balance_p_active,32,32,0.7750911819931703,0.3951570773956208,0.8502342003805579
drive_late,core_secure_pairs,balance_dual_consensus_p,32,32,0.8106071075979793,0.7332628596246515,0.8483186190912284
