path_family,subset,stage,n_pairs,median_occupancy,q25,q75
coupled,all_pairs,wt_exit,72,0.9908406246999222,0.9800501071862798,0.9933982771655956
coupled,all_pairs,balance,72,0.981983112554851,0.9695754134567551,0.9868239519012088
coupled,all_pairs,sca3_entry,69,0.9770067082924405,0.9263510943101059,0.983535365814158
coupled,core_secure_pairs,wt_exit,32,0.988987589367814,0.9800501071862798,0.992311102681914
coupled,core_secure_pairs,balance,32,0.9849745312768685,0.9725377247249335,0.9911496707217948
coupled,core_secure_pairs,sca3_entry,32,0.9805927621408199,0.9271398270012492,0.9871154832062697
drive_early,all_pairs,wt_exit,72,0.9907554084121726,0.9829331100167517,0.9933652736625189
drive_early,all_pairs,balance,72,0.9842537271482371,0.9754473806410338,0.9876634988614712
drive_early,all_pairs,sca3_entry,69,0.9703403392417902,0.9035620816713776,0.9814797217736773
drive_early,core_secure_pairs,wt_exit,32,0.9902831731421302,0.9786239398982461,0.9923209799018146
drive_early,core_secure_pairs,balance,32,0.9846210021885708,0.9773658670032893,0.9884272431142881
drive_early,core_secure_pairs,sca3_entry,32,0.9767181326819394,0.9602417515760107,0.9819234283994851
drive_late,all_pairs,wt_exit,72,0.9893434400530355,0.9835643916350206,0.991830162861661
drive_late,all_pairs,balance,72,0.9790890135890866,0.9406815196513831,0.9881085997808113
drive_late,all_pairs,sca3_entry,70,0.9655891721307225,0.8418113040355145,0.9848450281980176
drive_late,core_secure_pairs,wt_exit,32,0.9894052351809056,0.9851119931264714,0.991015827530564
drive_late,core_secure_pairs,balance,32,0.9844524162263493,0.9581499484689779,0.9891504267361547
drive_late,core_secure_pairs,sca3_entry,32,0.9819890001873477,0.9212835271688583,0.9866568457714892
