analysis_version,adjustment_mode,burden_curve_AUC_expected_difference,burden_curve_exact_p_expected,burden_maxT_exact_p_expected,n_WT_exit_by_600,n_SCA3_exit_by_600,I_exit_restricted_mean_difference_WT_minus_SCA3_pA,I_exit_exact_p_expected
v0.6.1,unadjusted_predictive_information,1.4027733385562895,1.2899896800825591e-05,0.0003611971104231,0,2,50.0,0.0013028895768833
v0.7.0,activity_technical,1.2805825650691987,0.0003869969040247678,0.029772961816305468,0,2,42.85714285714289,0.0012254901960784314
v0.7.0,activity_only,1.326701420545578,0.00011609907120743033,0.061158410732714136,0,0,0.0,0.9849458204334365
v0.7.0,technical_only,1.3753113389015197,0.00029669762641898863,0.0015995872033023736,0,1,28.571428571428555,0.0006707946336429308
