adjustment_mode,n,crossfit_MAE_log_PI,crossfit_RMSE_log_PI,crossfit_R2_log_PI,spearman_observed_vs_prediction,residual_median
activity_technical,220,0.01670177462630239,0.027177537088071513,0.017852822094387655,0.39728281388233044,0.0017314064382471517
activity_only,220,0.016296745778413106,0.02629320720430636,0.08072911225613622,0.32459385900159465,0.002237588164764548
technical_only,220,0.01810525735279288,0.029220104235557497,-0.13532421425094743,0.10510247206459938,0.0011006602290820067
