subset,stage,A_threshold,n_biological_pairs,median_drive_dominance_fraction_median,median_drive_dominance_fraction_q25,median_drive_dominance_fraction_q75,median_abs_dA_ddrive_median,median_abs_dA_ddrive_q25,median_abs_dA_ddrive_q75,median_abs_dA_dintrinsic_median,median_abs_dA_dintrinsic_q25,median_abs_dA_dintrinsic_q75,median_gradient_magnitude_median,median_gradient_magnitude_q25,median_gradient_magnitude_q75,scenario_support_with_boundary_band_median,scenario_support_with_boundary_band_q25,scenario_support_with_boundary_band_q75
all_pairs,SCA3_entry,0.7978563373093712,72,0.5090286055493396,0.42218093149828,0.64065842756047,1.2215305703000356,0.9977312661106005,1.5046401947693187,0.9845087747073757,0.7750870951189179,1.291023497490757,1.92886577303211,1.6828762419453347,2.3384334857563136,1.0,0.8333333333333334,1.0
all_pairs,WT_exit,0.1358293233470019,72,0.3704458695829775,0.25889248750834803,0.5445703689252128,0.806526582801687,0.5892069910787266,1.1671563892357326,0.9953988007700113,0.6060329021483452,1.5030026981603928,1.5725241479614012,1.2354233664722332,1.9245883333805278,1.0,1.0,1.0
all_pairs,balance,0.5,72,0.45007992709702066,0.33093218267728924,0.5724383716804973,1.0309816944835553,0.7782682645232971,1.2376379282868775,0.980684316791598,0.7453140406792996,1.357558667899311,1.6992114200837038,1.5054324771219811,2.0008894131250434,1.0,1.0,1.0
core_secure_pairs,SCA3_entry,0.7978563373093712,32,0.5179687872873071,0.41966541697749127,0.6467044854890233,1.3034290727462352,1.1101988252037605,1.536792787979646,0.9893305152289315,0.6474418868669718,1.3290397389126452,1.9306134420171217,1.740350439376937,2.540362966096204,1.0,1.0,1.0
core_secure_pairs,WT_exit,0.1358293233470019,32,0.3388755690698721,0.25553443679320353,0.5847947569533827,0.7691956058668775,0.5901615905564408,0.9959888489492156,0.8161338232150019,0.4608637060602828,1.6190243516094398,1.4769017098641801,1.2004086589238279,1.847558412637297,1.0,1.0,1.0
core_secure_pairs,balance,0.5,32,0.40284454601481134,0.31527824906992585,0.6124579212064712,0.9993738199800285,0.7745548244484829,1.3969183238355918,0.9342027789834226,0.6392311743173315,1.466348668772728,1.6746835958640354,1.4363569531670057,1.9786132981178204,1.0,1.0,1.0
