marker,n_pairs,median,q25,q75
fisher_interior_peak_p_median,32,0.5166666666666666,0.26666666666666666,0.7041666666666666
entropy_peak_p_median,32,0.3,0.09999999999999992,0.7666666666666666
epr_peak_p_median,32,0.5333333333333334,0.2583333333333333,0.9
kl_balance_p_median,32,0.30755792614177274,0.23377708188134513,0.47684807821326924
epr_onset_p_median,32,0.24166666666666667,0.16666666666666666,0.3333333333333333
wt_exit_p_isi_weighted_median,32,0.39828589726740926,0.10519720914647354,0.4895885895252052
balance_p_isi_weighted_median,32,0.6763803430395323,0.5901517569204451,0.7070063506652713
sca3_entry_p_isi_weighted_median,32,0.8370168031158931,0.7732528897329746,0.8690466332889684
