marker,n_scenarios,median_shift_p,median_abs_shift_p,max_abs_shift_p
fisher_interior_peak_p,8,-0.016666666666666705,0.033333333333333354,0.19999999999999996
entropy_peak_p,12,0.0,0.016666666666666607,0.09999999999999998
kl_balance_p,12,0.015742777392405094,0.021215430298923255,0.2959902341974306
epr_onset_p,3,0.0,0.033333333333333326,0.03333333333333341
epr_peak_p,12,0.0,0.016666666666666607,0.1
