rho_floor_relative,marker,n_pairs,median,q25,q75,median_pair_support_weight
1e-05,epr_onset_p,32,0.24166666666666667,0.16666666666666666,0.3333333333333333,0.5
1e-05,epr_peak_p,32,0.5333333333333334,0.2583333333333333,0.9,1.0
0.0001,epr_onset_p,32,0.24166666666666667,0.16666666666666666,0.3333333333333333,0.5
0.0001,epr_peak_p,32,0.5333333333333334,0.2583333333333333,0.9,1.0
0.001,epr_onset_p,32,0.23333333333333334,0.16666666666666669,0.3333333333333333,0.5
0.001,epr_peak_p,32,0.6166666666666667,0.26666666666666666,0.9,1.0
