subset,mode,p_intrinsic,projection,stage,A_threshold,n_biological_pairs_total,n_pairs_with_marker,pair_marker_fraction,n_pairs_support_ge_0_5,pair_majority_support_fraction,median_pair_crossing_support_weight,median,q25,q75,median_majority_support
all_pairs,J_only,0.1666666666666666,isi,SCA3_entry,0.7978563373093712,72,38,0.5277777777777778,7,0.09722222222222222,0.047619047619047616,0.0,0.0,0.07916666666666668,0.0333333333333333
all_pairs,J_only,0.1666666666666666,isi,WT_exit,0.1358293233470019,72,62,0.8611111111111112,53,0.7361111111111112,0.7886904761904763,0.0,0.0,0.0,0.0
all_pairs,J_only,0.1666666666666666,isi,balance,0.5,72,46,0.6388888888888888,15,0.20833333333333334,0.14999999999999997,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2,active,SCA3_entry,0.6832817402871161,72,57,0.7916666666666666,22,0.3055555555555556,0.33333333333333337,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2,active,WT_exit,0.1483293470542087,72,69,0.9583333333333334,64,0.8888888888888888,0.9107142857142858,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2,active,balance,0.5,72,60,0.8333333333333334,36,0.5,0.5,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2,isi,SCA3_entry,0.7978563373093712,72,41,0.5694444444444444,8,0.1111111111111111,0.07857142857142857,0.0,0.0,0.09309164875835906,0.0
all_pairs,J_only,0.2,isi,WT_exit,0.1358293233470019,72,69,0.9583333333333334,58,0.8055555555555556,0.8333333333333334,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2,isi,balance,0.5,72,51,0.7083333333333334,17,0.2361111111111111,0.2678571428571429,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2333333333333333,active,SCA3_entry,0.6832817402871161,72,59,0.8194444444444444,34,0.4722222222222222,0.42857142857142855,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2333333333333333,active,WT_exit,0.1483293470542087,72,70,0.9722222222222222,67,0.9305555555555556,0.9553571428571429,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2333333333333333,active,balance,0.5,72,64,0.8888888888888888,42,0.5833333333333334,0.5773809523809524,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2333333333333333,isi,SCA3_entry,0.7978563373093712,72,41,0.5694444444444444,12,0.16666666666666666,0.09047619047619049,0.017264596670692012,0.0,0.10900400689796859,0.01666666666666665
all_pairs,J_only,0.2333333333333333,isi,WT_exit,0.1358293233470019,72,70,0.9722222222222222,65,0.9027777777777778,0.884920634920635,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2333333333333333,isi,balance,0.5,72,55,0.7638888888888888,26,0.3611111111111111,0.34523809523809523,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2666666666666666,active,SCA3_entry,0.6832817402871161,72,65,0.9027777777777778,37,0.5138888888888888,0.5,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2666666666666666,active,WT_exit,0.1483293470542087,72,70,0.9722222222222222,68,0.9444444444444444,0.9861111111111112,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2666666666666666,active,balance,0.5,72,67,0.9305555555555556,45,0.625,0.6666666666666666,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2666666666666666,isi,SCA3_entry,0.7978563373093712,72,48,0.6666666666666666,13,0.18055555555555555,0.14285714285714285,0.0,0.0,0.09352624748842904,0.02656047114669001
all_pairs,J_only,0.2666666666666666,isi,WT_exit,0.1358293233470019,72,70,0.9722222222222222,66,0.9166666666666666,0.8964285714285715,0.0,0.0,0.0,0.0
all_pairs,J_only,0.2666666666666666,isi,balance,0.5,72,58,0.8055555555555556,31,0.4305555555555556,0.42261904761904767,0.0,0.0,0.01666666666666666,0.0
all_pairs,J_only,0.3,active,SCA3_entry,0.6832817402871161,72,66,0.9166666666666666,44,0.6111111111111112,0.5892857142857144,0.0,0.0,0.0,0.0
all_pairs,J_only,0.3,active,WT_exit,0.1483293470542087,72,70,0.9722222222222222,69,0.9583333333333334,0.9861111111111112,0.0,0.0,0.0,0.0
all_pairs,J_only,0.3,active,balance,0.5,72,69,0.9583333333333334,59,0.8194444444444444,0.75,0.0,0.0,0.0,0.0
all_pairs,J_only,0.3,isi,SCA3_entry,0.7978563373093712,72,52,0.7222222222222222,15,0.20833333333333334,0.16666666666666666,5.551115123125776e-18,0.0,0.096135246728553,0.016666666666666653
all_pairs,J_only,0.3,isi,WT_exit,0.1358293233470019,72,70,0.9722222222222222,68,0.9444444444444444,0.9226190476190477,0.0,0.0,0.0,0.0
all_pairs,J_only,0.3,isi,balance,0.5,72,62,0.8611111111111112,38,0.5277777777777778,0.5208333333333335,0.0,0.0,0.029166666666666632,0.0
all_pairs,J_only,0.3333333333333333,active,SCA3_entry,0.6832817402871161,72,68,0.9444444444444444,53,0.7361111111111112,0.6845238095238095,0.0,0.0,0.0,0.0
all_pairs,J_only,0.3333333333333333,active,WT_exit,0.1483293470542087,72,70,0.9722222222222222,70,0.9722222222222222,0.9861111111111112,0.0,0.0,0.0,0.0
all_pairs,J_only,0.3333333333333333,active,balance,0.5,72,70,0.9722222222222222,61,0.8472222222222222,0.8333333333333333,0.0,0.0,0.0,0.0
all_pairs,J_only,0.3333333333333333,isi,SCA3_entry,0.7978563373093712,72,56,0.7777777777777778,21,0.2916666666666667,0.17261904761904762,0.0,0.0,0.10000000000000002,0.009494606128343772
all_pairs,J_only,0.3333333333333333,isi,WT_exit,0.1358293233470019,72,71,0.9861111111111112,70,0.9722222222222222,0.9388888888888889,0.0,0.0,0.008333333333333248,0.0
all_pairs,J_only,0.3333333333333333,isi,balance,0.5,72,69,0.9583333333333334,48,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0333333333333333,0.0
all_pairs,J_only,0.3666666666666666,active,SCA3_entry,0.6832817402871161,72,70,0.9722222222222222,57,0.7916666666666666,0.75,0.0,0.0,0.0,0.0
all_pairs,J_only,0.3666666666666666,active,WT_exit,0.1483293470542087,72,70,0.9722222222222222,70,0.9722222222222222,0.9861111111111112,0.0,0.0,0.0,0.0
all_pairs,J_only,0.3666666666666666,active,balance,0.5,72,70,0.9722222222222222,64,0.8888888888888888,0.873015873015873,0.0,0.0,0.0,0.0
all_pairs,J_only,0.3666666666666666,isi,SCA3_entry,0.7978563373093712,72,58,0.8055555555555556,22,0.3055555555555556,0.25,0.0,0.0,0.09814315101076099,1.322969894795434e-17
all_pairs,J_only,0.3666666666666666,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,0.9484126984126984,0.0,0.0,0.0333333333333333,0.0
all_pairs,J_only,0.3666666666666666,isi,balance,0.5,72,69,0.9583333333333334,56,0.7777777777777778,0.7071428571428572,0.0,0.0,0.0333333333333333,0.0
all_pairs,J_only,0.4,active,SCA3_entry,0.6832817402871161,72,70,0.9722222222222222,62,0.8611111111111112,0.8333333333333334,0.0,0.0,0.0,0.0
all_pairs,J_only,0.4,active,WT_exit,0.1483293470542087,72,71,0.9861111111111112,71,0.9861111111111112,1.0,0.0,0.0,0.0,0.0
all_pairs,J_only,0.4,active,balance,0.5,72,70,0.9722222222222222,68,0.9444444444444444,0.9226190476190477,0.0,0.0,0.0,0.0
all_pairs,J_only,0.4,isi,SCA3_entry,0.7978563373093712,72,60,0.8333333333333334,24,0.3333333333333333,0.30952380952380953,0.02203795684571206,0.0,0.11675887543975375,0.039707902610766704
all_pairs,J_only,0.4,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,0.9484126984126984,0.0,0.0,0.0333333333333333,0.0
