subset,projection,p_intrinsic,n_biological_pairs,dA_dcombined_median,dA_dcombined_q25,dA_dcombined_q75,dA_dkappa_median,dA_dkappa_q25,dA_dkappa_q75,dA_dJ_median,dA_dJ_q25,dA_dJ_q75,interaction_gradient_residual_median,interaction_gradient_residual_q25,interaction_gradient_residual_q75
all_pairs,active,0.0,72,,,,1.3353983272857486,0.3388872968684208,2.0623267552923172,-2.780950379329727,-4.172152244827307,-2.208684760372565,,,
all_pairs,active,0.0333333333333333,72,,,,1.2339361137013405,0.6168785037841005,2.128687898293004,-2.9600026004493554,-4.250296498398807,-2.1184053318019402,,,
all_pairs,active,0.0666666666666666,72,,,,1.2419785540829995,0.7022274178204897,1.9924021047412666,-2.7459318421458434,-3.7869091559547816,-2.084389131575267,,,
all_pairs,active,0.1,72,,,,1.3901010422027322,0.6573636130927947,2.034972126777662,-2.5835181230082735,-3.3428979948577755,-1.9254864755558194,,,
all_pairs,active,0.1333333333333333,72,,,,1.3510305834583658,0.782096706967847,2.0853437948278772,-2.3681602578068732,-2.9823319044343917,-1.8181635372824394,,,
all_pairs,active,0.1666666666666666,72,,,,1.5115368700901985,0.6534100541354261,2.1690868929306713,-2.2273754112311854,-2.8096637144823484,-1.6939173982271802,,,
all_pairs,active,0.2,72,,,,1.4341966726755138,0.6991400015590615,2.18074631220735,-2.129425729213323,-2.706441126413464,-1.6222399665503118,,,
all_pairs,active,0.2333333333333333,72,,,,1.4404294793235102,0.5848413429586506,2.157862519520311,-2.0804526452213112,-2.5457500801447663,-1.5295822030603317,,,
all_pairs,active,0.2666666666666666,72,,,,1.4777158137464363,0.559772974027835,2.2232720267510917,-1.9373030225937011,-2.2628294469183254,-1.486691463741112,,,
all_pairs,active,0.3,72,,,,1.4851006899622972,0.43916223162288553,2.2717985128507667,-1.8257039268208266,-2.149730310500592,-1.4229291952582732,,,
all_pairs,active,0.3333333333333333,72,,,,1.478293630364977,0.7007243030180257,2.210705379346722,-1.727814535349098,-2.0985716668916017,-1.3567600625155654,,,
all_pairs,active,0.3666666666666666,72,,,,1.4981027930994313,0.5648326333631274,2.251638328784689,-1.6356911203620814,-1.924280721557041,-1.234430358609213,,,
all_pairs,active,0.4,72,,,,1.5613979009020498,0.6188793578779797,2.2746637669086827,-1.5285107968034501,-1.8640973548468918,-1.2142902079327298,,,
all_pairs,active,0.4333333333333333,72,,,,1.529013946774742,0.609390488971294,2.340802076647292,-1.4694457883353558,-1.7785742239723745,-1.190631666120713,,,
all_pairs,active,0.4666666666666667,72,,,,1.513950392644308,0.6586970622968049,2.341380419706107,-1.3753901862118099,-1.6802718541097892,-1.1434959407645606,,,
all_pairs,active,0.5,72,0.21810202084993352,-0.20403626449075707,0.8839814825377417,1.5827748234701304,0.557969226896923,2.3693160070775763,-1.3097937245475566,-1.708600389663128,-1.0280364650866118,-1.6098233857064766e-15,-0.007251978686233538,9.020562075079397e-16
all_pairs,active,0.5333333333333333,72,0.23744365647385254,-0.23778695787756274,0.8874343294624806,1.464359342821874,0.5646099719910193,2.3771557937748016,-1.2923033640835402,-1.578289494966761,-1.03397880609788,-1.0824674490095268e-15,-0.005178132876640292,5.551115123125757e-16
