feature,family,n_WT,n_SCA3,median_WT,median_SCA3,median_difference_SCA3_minus_WT,difference_ci95_low,difference_ci95_high,cliffs_delta_SCA3_vs_WT,permutation_mode,valid_labelings,permutation_p,fdr_q_global,fdr_q_family,fdr_q
external_work_signed_fJ__auc_mean_0_600pA,electrical_work,13,7,22741.089299519874,23119.552033742268,378.4627342223939,-70.43004989622932,1489.5458475748565,0.40659340659340665,exact,77520,0.10820433436532507,0.1298452012383901,0.10820433436532507,0.1298452012383901
external_work_positive_fJ__auc_mean_0_600pA,electrical_work,13,7,24640.14451980591,23589.08768971761,-1051.0568300882987,-2134.759101867665,-49.04492696126181,-0.6923076923076923,exact,77520,0.08668730650154799,0.1298452012383901,0.10820433436532507,0.1298452012383901
mean_power_signed_fW__auc_mean_0_600pA,electrical_work,13,7,22741.44190577774,23120.69111520196,379.24920942421886,-9.596431988542463,1489.695962904665,0.40659340659340665,exact,77520,0.10820433436532507,0.1298452012383901,0.10820433436532507,0.1298452012383901
firing_rate_hz__auc_mean_0_600pA,electrophysiology,13,7,20.958333333333332,6.583333333333333,-14.375,-21.5,-2.708333333333333,-0.5824175824175823,exact,77520,0.04370485036119711,0.1298452012383901,0.06555727554179566,0.1298452012383901
sustained_rate_hz__auc_mean_0_600pA,electrophysiology,13,7,21.170033670033668,6.355218855218856,-14.814814814814811,-21.675084175084177,-2.904040404040403,-0.5824175824175823,exact,77520,0.04370485036119711,0.1298452012383901,0.06555727554179566,0.1298452012383901
baseline_voltage_mV__auc_mean_0_600pA,electrophysiology,13,7,-95.71075439453125,-96.73436482747395,-1.0236104329427036,-8.646011352539062,2.333323160807282,-0.23076923076923078,exact,77520,0.544891640866873,0.544891640866873,0.544891640866873,0.544891640866873
