cell_id,parameter,side,loss,near_optimal,b,r,s,kappa_I
SCA3_01,b,LOW,1.1731128671261257,False,1.6227700608851299,0.000426942954075543,7.3829251254614965,0.36294041946466277
SCA3_01,b,HIGH,1.127658676817443,False,4.94259614101439,0.0003899476637262014,11.290114610538811,0.19913311925810329
SCA3_01,r,LOW,1.1206176016459726,False,4.630761027314771,0.0005357340460559525,10.471651726002408,0.20247801496366996
SCA3_01,r,HIGH,0.8162435645311663,True,4.180844445717766,0.09823892969067202,1.4104174994872096,0.09285349415825934
SCA3_01,s,HIGH,1.144713851305568,False,2.13381298385114,0.029945447315204696,8.094744102393266,0.10409431861332354
SCA3_01,kappa_I,LOW,1.1947156536298138,False,1.905448803196175,0.000588601763678312,9.284518744289171,0.015546252808125587
SCA3_01,kappa_I,HIGH,1.1227511714733065,False,4.6178641867354315,0.0008225880301697844,8.313257859280718,0.20780985139689648
SCA3_02,b,LOW,0.7362883476087133,True,1.7012055089318403,0.08309777704748979,13.865757715128549,1.1494434320736062
SCA3_02,b,HIGH,0.6559585050527506,True,5.32081129056834,0.00013796757819111246,2.726334423918427,0.11380506736523592
SCA3_02,r,LOW,0.6629104962264583,True,5.058325048081602,0.00013435358293501976,2.5718417626155823,0.11907636639270348
SCA3_02,r,HIGH,0.7032005999160474,True,1.7153229597754271,0.09129551238196974,12.4124105689581,1.203258733619204
SCA3_02,s,HIGH,0.8300339783125935,False,1.4122857929340205,0.046486293955277105,7.829051016595945,0.5346039491876025
SCA3_02,kappa_I,LOW,0.7029053524658972,True,4.208008871756549,0.015413856260050785,0.8770914021572215,0.04377827591912792
SCA3_02,kappa_I,HIGH,0.6961611184391442,True,1.6938770214244712,0.08015518023272869,14.38556558178567,1.0929624914074123
SCA3_04,b,LOW,0.7680737345988164,True,1.874040756842884,0.09138962042254577,12.973660656527498,0.7182226987175595
SCA3_04,b,HIGH,0.7146643199169594,True,4.030928926785516,0.0018911628599607734,4.857666419592209,0.27097079268530183
SCA3_04,r,LOW,0.7642801403843821,True,4.587716029893826,0.0049504499800163745,3.025643669356378,0.2619783809564031
