group,cell_id,solution,source,q,supported_by_observed_current_range,firing_rate_hz,active_rate_hz,spike_count,train_duration_ms,mean_isi_ms,median_isi_ms,cv_isi,early_isi_ms,late_isi_ms,adaptation_index,cycle_period_ms,x_range,y_range,z_range,mean_speed,peak_speed,mean_divergence,min_divergence,max_divergence,fraction_positive_divergence,cycle_arc_length,z_peak_phase,speed_peak_phase
SCA3,SCA3_01,best,best,0.25,True,16.256157635467837,42.13399361461769,16.499999999999854,394.96035769068635,23.8760748670321,24.552068405595776,0.22295082467542116,18.197090057761322,24.552135299063536,0.15338345317708482,24.55206840559577,2.1622783238165977,4.737213045599599,0.0933729493634766,0.5417849552484223,6.745592512794884,-6.209057484280882,-8.183526980078229,1.6035397244156708,0.0594059405940594,11.193412461324572,0.5450000000000049,0.06500000000000017
SCA3,SCA3_01,alternative,r_HIGH,0.25,True,14.778325123152559,,14.999999999999847,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_01,best,best,0.5,True,29.55665024630542,38.88156930232033,30.0,745.8546689438631,25.719126515305625,27.071113592432994,0.15572416918411836,14.36115689676395,27.071247379368515,0.306766906354173,27.071113592432994,2.3134391225470563,5.1260236908561225,0.09703202179367043,0.45368899137460533,7.340866824374894,-6.436686708673577,-8.153364089952843,1.7124829760299272,0.0594059405940594,12.019193256373596,0.09,0.05
SCA3,SCA3_01,alternative,r_HIGH,0.5,True,28.571428571428573,37.82224607855273,29.0,740.3050559675123,26.439466284554012,26.67591296983801,0.02400377299165841,24.87134297230881,26.76574536038955,0.03668685530592047,26.675912969838038,4.244198264395234,15.036802198850602,0.9473476650759638,1.176177741123164,26.639941303914625,-8.438418121010058,-20.128940537380846,4.578549884287307,0.10891089108910891,32.44853053046058,0.16,0.14
SCA3,SCA3_01,best,best,0.75,True,38.46565240305796,44.19297439719659,39.0,847.6328098483689,22.95967975502382,23.982805827965535,0.13546800234603143,13.055888489563383,23.982907366826453,0.2934339168122969,23.982807834253606,2.336098917443991,5.156850799944389,0.09206038656704502,0.5180427559384261,7.496495969561283,-6.204829163267413,-8.118664616973614,1.7167705936741466,0.07425742574257425,12.006270088528202,0.1,0.060000000000000005
SCA3,SCA3_01,alternative,r_HIGH,0.75,True,36.98606959562348,41.94569459339887,37.5,858.5488488602599,24.072984717310423,24.203899466825646,0.015134272364490413,23.112615094302633,24.24881654823571,0.022730032282947833,24.20389946682566,4.306314379287099,15.482822758988533,0.8701247497911084,1.3923749730097108,29.83264946568607,-8.840051589711798,-20.464486623190012,4.479365645761027,0.09405940594059406,33.499551360124755,0.14,0.12000000000000001
SCA3,SCA3_02,best,best,0.25,True,42.16439586523102,,1.7910156250000064,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_02,alternative,b_LOW,0.25,True,42.16439586523102,,1.7910156250000064,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_02,alternative,b_HIGH,0.25,True,42.16439586523102,,1.7910156250000064,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_02,alternative,r_LOW,0.25,True,42.16439586523102,,1.7910156250000064,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_02,alternative,r_HIGH,0.25,True,42.16439586523102,,1.7910156250000064,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_02,alternative,kappa_I_LOW,0.25,True,42.16439586523102,,1.7910156250000064,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_02,alternative,kappa_I_HIGH,0.25,True,42.16439586523102,,1.7910156250000064,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_02,best,best,0.5,True,43.05344108673368,42.43956504411907,35.96484375000013,812.3926674450415,23.75333417998796,25.795690824729412,0.15475755812996628,14.25167970665993,25.865275062309273,0.28827654727834207,25.795690824729412,3.1376138018629525,8.802089885558852,0.06049474621281742,0.7919520176862289,14.567418380138843,-8.352914713796112,-12.82758167102573,2.7631894517557862,0.06462716584158423,19.710442058120954,0.08527343750000008,0.05527343750000008
SCA3,SCA3_02,alternative,b_LOW,0.5,True,53.145244721207426,52.893168586501766,43.910156250000114,810.6885046636655,18.906357153470516,19.112772867536812,0.0804662777371343,16.84615770560888,19.112795095295148,0.06993477947691333,19.112800132888008,3.26184538259821,17.486755212814586,6.305996437864649,2.303935968181411,5.085353859695476,-12.64607317775433,-20.114279902945515,-0.13568944853331522,0.0,43.38570576259374,0.1952734375000001,0.04
SCA3,SCA3_02,alternative,b_HIGH,0.5,True,59.10182307134178,58.722764572167506,49.01953125000014,812.7807901328662,17.053469624385627,16.973613334991253,0.05042657070794695,15.788434485713953,18.585584610503748,0.08161080825289513,16.942398616582057,6.272349198986976,31.392121019041355,0.0035772844505550148,3.995741135010136,85.90477006356296,-11.17422746811081,-31.970495284110157,8.177989429043306,0.07452815594059414,66.71563460205321,1.0,0.09
SCA3,SCA3_02,alternative,r_LOW,0.5,True,59.10182307134178,59.12480644036313,49.01953125000014,807.0427770657437,16.940328953938522,16.89242898180929,0.041143862252514506,15.889449423965097,18.14951000864444,0.06661150178204678,16.87804275099794,6.0582650746916356,28.087692392102955,0.0030808359032120656,3.5247946483866333,77.1799489667391,-10.880975804755609,-29.34526276428961,6.532637073849928,0.07452815594059414,59.518717082219545,1.0,0.09
SCA3,SCA3_02,alternative,r_HIGH,0.5,True,53.70081125091666,53.083667575795985,44.43750000000012,815.1629104749676,18.848834175895306,18.782524221290647,0.02045845025237874,19.736909418928413,18.782539354601223,-0.0248815533198756,18.782514755190213,3.125165690514362,15.602390853332212,5.813383285816808,2.1245918488403093,4.89471877463675,-11.74859394153135,-18.623328005959607,-0.12495605705939755,0.0,39.31595040778462,0.1952734375000001,0.04
SCA3,SCA3_02,alternative,kappa_I_LOW,0.5,True,39.58640422413093,39.16460650226319,32.8554687500001,808.2708563326883,25.56944179003713,25.174626830390274,0.037080882030529366,28.13381378786491,25.157220617492264,-0.055778749622097,25.174626830390274,4.475548460831089,16.55471006465076,0.07933580718226577,1.507179775995193,35.155791412450206,-9.323364966399913,-20.9678526058554,4.846363090078448,0.0594059405940594,36.34957570274484,0.09527343750000007,0.07
SCA3,SCA3_02,alternative,kappa_I_HIGH,0.5,True,52.58967819149819,52.08507045729613,43.38281250000011,813.4438026962933,19.19944481391917,19.410161455827055,0.07828656044017052,17.072944662186142,19.4102211926795,0.07086024624842632,19.410140798393325,3.3266279435917716,18.527935297933,6.545090494833784,2.3838742504952086,5.121435263423084,-13.132851541049394,-20.91320303144807,-0.15278935315036687,0.0,45.60330897119957,0.1952734375000001,0.04
SCA3,SCA3_02,best,best,0.75,True,67.31850798908881,67.62949912820208,42.35351562499963,635.8768756730914,14.937216242447343,15.814088824095741,0.12560206936031013,10.147771534132032,16.23665234130422,0.23017154368382894,15.772470843458686,3.3135277657387796,9.399771725138967,0.04663002524748066,1.3660335011075144,17.125638823489325,-7.666506993346564,-13.060328152087736,2.7779420631635396,0.0917195235148516,21.08937827764501,0.12791015625000038,0.08527343750000026
SCA3,SCA3_02,alternative,b_LOW,0.75,True,57.7661170297224,57.88746144606312,37.35351562499963,631.5402126213448,17.279031476502315,17.006133231552475,0.0496891844005083,19.720083045317438,16.999211809114076,-0.07415787440446112,17.00613153080657,2.935390802425667,11.86864611435781,5.017988965821355,1.8918705041215038,4.811459324578157,-9.76236839529182,-15.551437631415375,-0.1282453483305217,0.0,31.642549662371625,0.21,0.04263671875000013
SCA3,SCA3_02,alternative,b_HIGH,0.75,True,73.88365494489051,74.06577188781188,47.50781249999954,637.5488682726645,13.524081145940546,13.509419205116632,0.02459876535054955,12.99802897088297,14.099037507452987,0.0399605352107388,13.497384381541169,6.383267968852957,31.880432585239955,0.0028028225533974016,5.0016784568273644,83.46644423157156,-12.07252575363242,-31.919629494595004,7.703738500988944,0.08181853341584171,67.34418608932872,1.0,0.09263671875000012
SCA3,SCA3_02,alternative,r_LOW,0.75,True,73.88365494489051,74.59867648890923,47.50781249999954,632.7578139628502,13.42646256546206,13.416970913333124,0.021163739525505397,12.972915464164767,13.911744776858715,0.03436632831846679,13.414801192765164,6.007067566498738,28.222206890528895,0.002435899856196126,4.4778124720724035,73.44352831152476,-11.59265798802224,-29.272882811240176,6.796559646068737,0.08181853341584171,59.87711591883319,1.0,0.09263671875000012
SCA3,SCA3_02,alternative,r_HIGH,0.75,True,60.579751439351696,61.55602393912077,39.56249999999959,627.8913932309221,16.245979687545663,15.88290343644628,0.06774283130024186,18.591496100088442,15.762067261728996,-0.08257805042415392,15.88290343644628,2.6705595862321116,8.994611057171284,4.153078226656867,1.6044494842111237,4.435776002924235,-8.281337585893192,-13.047450806760688,-0.13593431685388294,0.0,25.34221090083194,0.21636718750000128,0.05
SCA3,SCA3_02,alternative,kappa_I_LOW,0.75,True,46.407413634843955,45.88546130458238,29.935546874999705,633.5103999936163,21.796954923132134,21.512689167042105,0.0309487701994664,23.4779503735342,21.43306513294262,-0.045482634920489734,21.512689167042105,4.676862055546694,17.124395389885777,0.07317288049149338,1.7559238764409606,37.6634035049091,-9.508554122645965,-20.941295931878635,4.773945809213182,0.07191754331683181,37.29622306979001,0.1,0.08
SCA3,SCA3_02,alternative,kappa_I_HIGH,0.75,True,56.79351697439222,56.711128495652844,37.089843749999616,635.7948630584702,17.6333359059596,17.651766845903456,0.0989412978840953,15.468628520037823,17.651188536773976,0.07199765190256643,17.651767920796136,3.0436334485679937,13.38191847147424,5.413614221999091,2.0166564335201884,5.104597487535866,-10.492365114172564,-16.803074314042643,-0.15241958667654398,0.0,34.97826977788981,0.22,0.04
SCA3,SCA3_04,best,best,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_04,alternative,b_LOW,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_04,alternative,b_HIGH,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_04,alternative,r_LOW,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_04,alternative,s_HIGH,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_04,alternative,kappa_I_LOW,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_04,best,best,0.5,True,29.263775017193314,29.41519573794183,29.527343749999947,969.3475801100626,34.48258730304293,34.9874763607291,0.0773208733264332,30.222597407373147,34.9874999346591,0.07491859287697834,34.98748379294478,2.650308271976868,6.1608816600361775,0.6605678881135442,0.5202666214730743,8.452331665520305,-8.951836519322377,-12.080305025696946,2.232579225021713,0.049582301980197876,17.358463868013647,0.07007812499999985,0.04503906249999993
SCA3,SCA3_04,alternative,b_LOW,0.5,True,44.607977248617566,44.81649377708941,45.007812499999986,981.8665017411605,22.3200883514771,21.78341220551367,0.15768841987766566,29.651450128665918,21.783435586960984,-0.15299816808026526,21.783410198318418,2.83055579983549,23.791406027196057,7.7571038794873575,2.48435619372525,4.499413704383817,-15.105100593315981,-24.555854306104052,0.05373872348773021,0.024868502475247304,53.869891713623716,0.14,0.21503906249999993
SCA3,SCA3_04,alternative,b_HIGH,0.5,True,4.962931825815014,43.44502182146637,5.007812499999986,91.19857713318125,23.100366992644034,21.808616856428323,0.20432359960028498,21.291649240759334,24.660460809787978,0.07841363539345875,24.400211637312026,3.968801046174143,13.88386605957581,0.12428995234674961,1.362041884016312,26.50265042024552,-9.128558399494988,-18.918899284424477,3.75166455843112,0.05449412128712864,30.54015549160897,1.0,0.06503906249999993
SCA3,SCA3_04,alternative,r_LOW,0.5,True,4.471019332012329,44.315611981003094,4.511718749999978,79.30735636243006,22.5654909666741,21.635732660709248,0.17207266789103554,20.57811031116091,24.242952186865676,0.08217093507590341,22.542797227612482,5.127172755143324,20.317144751643106,0.11594341719991469,2.0742506107777743,46.122396772064015,-9.561839420998632,-24.313697854234192,5.428769309579155,0.06431775990099017,44.366296254094344,1.0,0.08
SCA3,SCA3_04,alternative,s_HIGH,0.5,True,5.954057961385077,32.77012374534752,6.007812499999986,151.80657011859662,30.568889578114693,24.0737914577355,0.5244181074680245,20.905208859637682,38.41060881215281,0.2962937558976913,26.68220596120006,3.0779713776618483,8.101275723379404,0.09828115596711486,0.7171342955631622,11.553043796656254,-8.400480223714498,-13.37675283247401,2.6568260072876932,0.04950495049504951,18.513531902750557,1.0,0.07
SCA3,SCA3_04,alternative,kappa_I_LOW,0.5,True,46.09101587799031,46.06950207962349,46.50390624999999,987.9983575671389,21.71789143995962,21.55663391233864,0.03316104876495414,22.983016500655808,22.531750852553927,-0.010754107899392283,21.556629091501854,5.176909018621334,20.220765844172107,0.30829474446427685,2.135428837261536,51.562863179833535,-9.6788238550805,-24.263507563571164,5.070807958365699,0.06930693069306931,44.150827124514606,0.11,0.09
SCA3,SCA3_04,best,best,0.75,True,46.69813086308048,47.79180335016275,6.748046874999995,122.42357993430561,21.144482766787423,23.618006224886813,0.2021254869504826,18.805616147217297,23.687524488099264,0.11548543741449876,23.621737775196348,2.757849950697474,6.562582234340234,0.5078421516749292,0.7074852462022025,10.435965598044387,-7.969269723086419,-11.162234831845636,2.194929773651136,0.07429610148514862,16.230869227532505,0.0950390625000001,0.06251953125000005
SCA3,SCA3_04,alternative,b_LOW,0.75,True,48.97574362219249,47.34033748070845,7.244140624999985,131.9908104274416,21.123863897608135,20.642081418889497,0.053892348956498796,21.592170927418596,20.625506142379,-0.022919170617588275,20.61265211421605,2.957653287812446,21.537303504725898,7.279955377713195,2.4356537978958808,4.065714169305287,-14.476321435670075,-23.190959157375907,0.06291932276490982,0.017307394801980146,49.88331242444741,0.14251953125000005,0.23251953125000005
SCA3,SCA3_04,alternative,b_HIGH,0.75,True,53.70725770669962,56.637446015988516,7.748046874999995,121.75625800194861,17.91405849789699,16.864059103183408,0.20872197807063786,14.530083537415166,21.629486497012618,0.19011643242587645,17.646008337487935,4.24278333082672,14.600550705720147,0.09108591613934815,1.896548598062679,31.18243619779736,-9.331327546181715,-18.951541530261448,4.201703592892267,0.06688969678217836,32.14110338272705,1.0,0.08251953125000006
SCA3,SCA3_04,alternative,r_LOW,0.75,True,53.70725770669962,56.27528221127613,7.748046874999995,121.9811878071236,17.96343517103672,17.256533931684103,0.17029688025645495,15.124445455642395,21.02725963359834,0.1587973681456147,17.915287718422334,5.1226156517720955,21.076337536481443,0.08072436054745152,2.6160707210361256,50.79182910917862,-10.149528747064114,-24.452105088242316,5.5537603939002596,0.06439511138613871,45.6222797778401,1.0,0.08251953125000006
SCA3,SCA3_04,alternative,s_HIGH,0.75,True,53.70725770669962,56.51359008717112,7.748046874999995,122.48981743234991,18.009809837171396,16.613023905025013,0.24087994004001637,14.194253879232276,22.267822420090337,0.21336826035698864,16.613023905025006,3.3317612121361777,9.284312755106026,0.06879083909018231,1.3074499331484652,17.444226429219643,-7.919314560130311,-13.627018443344898,2.845060598377718,0.07429610148514862,21.20918593951905,1.0,0.08251953125000006
SCA3,SCA3_04,alternative,kappa_I_LOW,0.75,True,48.97574362219249,48.06019038883448,7.244140624999985,130.13603450017564,20.808444864998354,20.36454918695688,0.04378439879505791,21.366320956820626,20.295097867414285,-0.025667385909568546,20.30915709155825,5.1889139300022205,20.65899805587148,0.2983448765414573,2.2368484079608506,51.90077710239251,-9.848855012997724,-24.384690080066562,5.127314484184779,0.06930693069306931,44.488925738990325,0.11251953125000005,0.09
SCA3,SCA3_05,best,best,0.25,True,31.031329516539415,,10.140624999999723,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_05,alternative,b_LOW,0.25,True,7.772741730280579,,1.9140624999999722,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_05,alternative,r_LOW,0.25,True,15.52560432570019,,4.656249999999889,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_05,alternative,r_HIGH,0.25,True,33.61561704834595,,11.054687499999694,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_05,alternative,s_HIGH,0.25,True,15.52560432570019,,4.656249999999889,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_05,alternative,kappa_I_LOW,0.25,True,46.53705470737864,,15.624999999999556,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_05,alternative,kappa_I_HIGH,0.25,True,5.188454198474044,,1.0,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_05,best,best,0.5,True,45.665585728167784,46.24867145467424,25.874999999999975,534.4865067127666,21.72511477500794,21.97198553462402,0.023844736674851638,20.48435516358346,21.990715781759683,0.03503232035147522,21.97198553462403,5.262973647538512,21.31435556014591,0.21088513902606332,2.101126100384545,50.23684805806508,-9.699761052790386,-24.647060138444996,5.465340486077148,0.06930693069306931,45.87233762422419,0.11,0.09
SCA3,SCA3_05,alternative,b_LOW,0.5,True,6.378831328564693,34.66687867473496,3.609374999999997,74.75623908417938,29.494435333614227,27.434460568690405,0.3328510223540023,29.494435333614227,29.494435333614227,0.0,31.98426866736781,3.156260583085259,12.190155580445252,0.2776692570508262,1.06541852662815,16.70968679226067,-8.598896484830988,-17.190791823499648,2.8854757397253357,0.03573638613861383,26.464580240133127,1.0,0.06390625000000003
SCA3,SCA3_05,alternative,r_LOW,0.5,True,23.966148237122134,43.93226423214069,13.656249999999982,285.1601094555359,22.83687403972869,20.737716255442376,0.26750406606705235,17.534454412403683,31.914179434814425,0.2917923033475752,21.31390129281068,5.634574432309141,25.18321306935987,0.03430064129380099,2.56318684864668,58.91379585963817,-9.974674115894375,-27.71224146858015,6.7181085940305305,0.0594059405940594,54.06605742870166,1.0,0.08609374999999997
SCA3,SCA3_05,alternative,r_HIGH,0.5,True,48.46770712316597,48.47613002734799,27.48437499999997,542.4467766108105,20.75570591896345,20.96476254214275,0.03364300467484906,19.260597166338446,20.96484093848324,0.04228241071138036,20.964761019194775,4.24602110952472,14.575897544003576,0.5226765101716436,1.537034382170491,27.705964793923854,-9.352690076536298,-19.15187596320706,4.25617711628018,0.08137376237623757,31.87687630661106,0.11,0.09
SCA3,SCA3_05,alternative,s_HIGH,0.5,True,23.966148237122134,43.672646367351895,13.656249999999982,287.03933423752454,22.96024003007814,20.77887822304343,0.2763841810654546,17.49218704958997,32.42925744690277,0.299936736063814,21.369100322962208,5.50422714191,24.15619553058504,0.035604309668947,2.4852114280200577,56.21489035945148,-9.944190882992098,-26.993035088753494,6.697345269631134,0.053372524752475274,51.895419275172344,1.0,0.08609374999999997
SCA3,SCA3_05,alternative,kappa_I_LOW,0.5,True,50.79147273887093,50.66934815628429,28.656249999999982,545.0244520542869,19.74093753341327,19.535384824240673,0.03723101468291995,21.311028280438858,19.535274374521475,-0.04344502957936583,19.53538535627327,5.404826108680135,24.421956902538184,0.24101645687664056,2.6188953640022006,58.7499796092221,-10.166618703115732,-26.991169069113955,6.4413873243134905,0.06930693069306931,51.85834317579818,0.12,0.09
SCA3,SCA3_05,alternative,kappa_I_HIGH,0.5,True,1.7883549667832528,,1.0,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_05,best,best,0.75,True,55.68202762634273,55.41309714308251,32.9140625,575.8299925350367,18.194461714537585,18.31254594523992,0.015279257154156735,17.413086814431175,18.31424185500285,0.02488894079753982,18.312428040261608,5.299778925169242,21.577478949826116,0.18799612060584903,2.5613530172113803,53.414270504500145,-10.128858451065643,-24.650366300540227,5.704762309365032,0.0757657797029703,46.25455496314267,0.1165234375,0.09
SCA3,SCA3_05,alternative,b_LOW,0.75,True,10.095345385524741,41.05498511973389,5.957031249999999,119.43481593102649,24.403545568980828,19.516599362896418,0.49694236377640544,18.462599754033185,30.344491383928474,0.2515267292913117,23.131568013317665,3.657073029463032,12.547455949657303,0.19228103669450827,1.2570436581675017,22.55396567990894,-8.927144809791205,-17.5012495359173,3.330809880804788,0.052521658415841575,27.250037397047688,1.0,0.073046875
SCA3,SCA3_05,alternative,r_LOW,0.75,True,43.71647228852024,51.968486369569185,25.785156249999993,468.14681907127147,19.390638432568053,17.50744440629878,0.28791459314512435,14.245512000734598,31.154070213819335,0.3742355090816769,17.770251969484043,5.7735163477207365,25.238492335547136,0.026654547847506493,3.114203089159792,66.43554493228766,-10.603122050564489,-27.603596630914737,6.664208467487518,0.07232363861386137,54.26594899997731,1.0,0.09
SCA3,SCA3_05,alternative,r_HIGH,0.75,True,60.17385186136822,60.24135040312065,35.56640625,574.4609158874963,16.80412272266076,16.93143206046794,0.02829048445085943,15.560214320606816,16.9315405212084,0.04227586453369764,16.931429890297423,4.312072133549385,14.931154498605757,0.45307978887919337,1.9753805727855602,31.818630450887785,-9.467080357838611,-19.260528861925632,4.272934021625359,0.0891089108910891,32.80171775137258,0.123046875,0.09
SCA3,SCA3_05,alternative,s_HIGH,0.75,True,43.71647228852024,51.155518719836465,25.785156249999993,475.86746736665987,19.684550452311278,17.5706122844398,0.3156257530477603,14.185789545734126,32.959901586145826,0.3997298822179122,17.72433091097989,5.642423806550118,24.29449898410906,0.02758849554346727,3.0358982684688858,62.07224051680258,-10.55212116529452,-26.86717020010536,6.606091109376063,0.062422648514851485,52.31309508457511,1.0,0.09
SCA3,SCA3_05,alternative,kappa_I_LOW,0.75,True,53.50367036852569,53.20970810532693,31.65234375,576.2241887864685,18.806395587455036,18.648901561972522,0.03131441913193397,20.174288259309474,18.648866523267234,-0.0392344929679399,18.648899924175332,5.451425831642972,24.451933666814828,0.23472817976141483,2.769210653379554,60.03305340359904,-10.304708109297124,-26.98202925494352,6.287618608573453,0.06930693069306931,51.98897435683615,0.12,0.09
SCA3,SCA3_05,alternative,kappa_I_HIGH,0.75,True,22.812305053777223,,13.394531249999993,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_06,best,best,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_06,best,best,0.5,False,,,,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_06,best,best,0.75,True,29.749076354679765,31.609133783233617,30.19531249999996,922.8303720670586,31.86810380047486,31.17176336379174,0.12952444411099476,26.399310296010636,39.39937850287193,0.19648352087383186,31.39010321818321,2.9775795945825836,7.589384021418368,0.0031711223569704655,0.5998135984488968,12.624827003601261,-8.364130129203275,-12.01016893266525,2.4378376770858994,0.052134900990098924,17.344638201038805,1.0,0.051328124999999954
SCA3,SCA3_09,best,best,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_09,alternative,b_LOW,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_09,alternative,kappa_I_HIGH,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_09,best,best,0.5,True,19.612068965517278,26.31538644366504,19.906250000000036,717.8588365033165,38.470507822650156,38.47096831976735,0.015617402167473782,37.59884616441646,39.341126403057764,0.02273088334095624,38.52765863286249,3.4087948012601315,9.346146687133327,0.0008395741952627934,0.6281251093817204,15.145482273445557,-8.996224116570298,-14.32743114334797,2.8373487928154226,0.047339108910891166,21.33405488269575,0.06562500000000016,0.04781250000000008
SCA3,SCA3_09,alternative,b_LOW,0.5,True,17.149014778325277,,17.406250000000153,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_09,alternative,kappa_I_HIGH,0.5,True,18.688423645320363,,18.968750000000167,,,,,,,,,,,,,,,,,,,,
SCA3,SCA3_09,best,best,0.75,True,30.280172413793146,35.94322112969503,30.734375000000043,824.9105969711868,27.98144502491703,27.981442609472033,0.016785283331184744,27.251949640752436,28.71091713617269,0.026116243022070884,28.000814423335072,3.422349139494336,9.947386257247917,0.0007877267061332723,0.8474831943851721,17.64251296527784,-8.728920116526924,-14.484024272097674,3.1058530049711157,0.0594059405940594,22.56345801477169,0.08390625000000006,0.05390625000000006
SCA3,SCA3_09,alternative,b_LOW,0.75,True,31.48091133004929,37.541370692369554,31.953125000000032,823.2500139480564,26.67357644246917,26.773085679783055,0.08268298798242013,25.41725143515091,26.77307414731442,0.03615837973682743,26.77307125345723,2.7497106989531552,17.871481168887346,4.717483499385661,1.5298707776608453,2.8373363564454865,-13.612599025895697,-21.56772907408482,0.7490565850268569,0.04950495049504951,40.75270347480556,0.14,0.15531249999999916
SCA3,SCA3_09,alternative,kappa_I_HIGH,0.75,True,29.895320197044374,35.447449099565034,30.343750000000036,825.9095165314584,28.315370626424784,28.105342319712054,0.23349403750427647,30.16803536859975,28.1053462411083,-0.03517747503315495,28.105342319712054,2.1812407444153075,9.001071927120618,2.2499903431941517,0.7715701211166553,2.3766230288180235,-9.630579435592402,-14.833559793650478,1.6683763392522801,0.0632735148514852,21.55855735536801,0.12218749999999988,0.08390625000000006
WT,WT_03,best,best,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
WT,WT_03,alternative,r_LOW,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
WT,WT_03,alternative,s_HIGH,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
WT,WT_03,alternative,kappa_I_HIGH,0.25,False,,,,,,,,,,,,,,,,,,,,,,,
