group,cell_id,mean_sustained_rate_hz,maximum_sustained_rate_hz,mean_total_rate_hz,block_fraction,recruitment_current_pA,cohort
SCA3,SCA3_01,6.837606837606837,47.474747474747474,6.9930069930069925,0.0,500.0,fixed_qc_all
SCA3,SCA3_02,14.452214452214454,37.37373737373738,14.60761460761461,0.46153846153846156,200.0,fixed_qc_all
SCA3,SCA3_03,6.371406371406371,39.39393939393939,6.371406371406371,0.0,500.0,fixed_qc_all
SCA3,SCA3_04,8.003108003108004,35.35353535353536,8.158508158508159,0.23076923076923078,350.0,fixed_qc_all
SCA3,SCA3_05,8.547008547008547,31.313131313131315,8.624708624708624,0.38461538461538464,350.0,fixed_qc_all
SCA3,SCA3_06,7.226107226107226,39.39393939393939,7.226107226107226,0.0,450.0,fixed_qc_all
SCA3,SCA3_07,2.097902097902098,18.181818181818183,2.1756021756021755,0.07692307692307693,550.0,fixed_qc_all
SCA3,SCA3_08,5.516705516705516,22.22222222222222,5.516705516705516,0.0,400.0,fixed_qc_all
SCA3,SCA3_09,12.043512043512045,41.41414141414141,12.121212121212121,0.0,300.0,fixed_qc_all
WT,WT_01,16.317016317016318,25.252525252525253,16.317016317016318,0.0,150.0,fixed_qc_all
WT,WT_02,12.82051282051282,27.272727272727273,12.82051282051282,0.15384615384615385,200.0,fixed_qc_all
WT,WT_03,25.563325563325563,94.94949494949495,25.563325563325563,0.0,400.0,fixed_qc_all
WT,WT_04,26.651126651126653,74.74747474747475,26.651126651126653,0.07692307692307693,250.0,fixed_qc_all
WT,WT_05,1.554001554001554,4.040404040404041,1.6317016317016315,0.3076923076923077,300.0,fixed_qc_all
WT,WT_06,35.742035742035746,92.92929292929293,35.742035742035746,0.15384615384615385,250.0,fixed_qc_all
WT,WT_07,0.0,0.0,0.2331002331002331,0.0,,fixed_qc_all
WT,WT_08,15.229215229215232,69.6969696969697,15.229215229215232,0.38461538461538464,300.0,fixed_qc_all
WT,WT_09,28.904428904428904,88.88888888888889,28.904428904428904,0.15384615384615385,300.0,fixed_qc_all
WT,WT_10,28.360528360528363,94.94949494949495,28.43822843822844,0.07692307692307693,350.0,fixed_qc_all
WT,WT_11,13.675213675213675,56.56565656565657,13.675213675213675,0.15384615384615385,400.0,fixed_qc_all
WT,WT_12,8.78010878010878,38.38383838383839,8.78010878010878,0.07692307692307693,400.0,fixed_qc_all
WT,WT_13,15.306915306915307,63.63636363636364,15.306915306915307,0.15384615384615385,450.0,fixed_qc_all
WT,WT_14,9.712509712509712,30.303030303030305,9.79020979020979,0.46153846153846156,300.0,fixed_qc_all
WT,WT_15,48.873348873348874,116.16161616161617,48.873348873348874,0.0,200.0,fixed_qc_all
WT,WT_16,37.45143745143745,92.92929292929293,37.45143745143745,0.0,200.0,fixed_qc_all
SCA3,SCA3_01,6.837606837606837,47.474747474747474,6.9930069930069925,0.0,500.0,conservative
SCA3,SCA3_02,14.452214452214454,37.37373737373738,14.60761460761461,0.46153846153846156,200.0,conservative
SCA3,SCA3_03,6.371406371406371,39.39393939393939,6.371406371406371,0.0,500.0,conservative
SCA3,SCA3_04,8.003108003108004,35.35353535353536,8.158508158508159,0.23076923076923078,350.0,conservative
SCA3,SCA3_05,8.547008547008547,31.313131313131315,8.624708624708624,0.38461538461538464,350.0,conservative
SCA3,SCA3_06,7.226107226107226,39.39393939393939,7.226107226107226,0.0,450.0,conservative
SCA3,SCA3_07,2.097902097902098,18.181818181818183,2.1756021756021755,0.07692307692307693,550.0,conservative
SCA3,SCA3_08,5.516705516705516,22.22222222222222,5.516705516705516,0.0,400.0,conservative
SCA3,SCA3_09,12.043512043512045,41.41414141414141,12.121212121212121,0.0,300.0,conservative
WT,WT_03,25.563325563325563,94.94949494949495,25.563325563325563,0.0,400.0,conservative
WT,WT_04,26.651126651126653,74.74747474747475,26.651126651126653,0.07692307692307693,250.0,conservative
WT,WT_06,35.742035742035746,92.92929292929293,35.742035742035746,0.15384615384615385,250.0,conservative
WT,WT_08,16.767676767676768,69.6969696969697,16.767676767676768,0.2,300.0,conservative
WT,WT_09,28.904428904428904,88.88888888888889,28.904428904428904,0.15384615384615385,300.0,conservative
WT,WT_10,28.360528360528363,94.94949494949495,28.43822843822844,0.07692307692307693,350.0,conservative
WT,WT_11,13.675213675213675,56.56565656565657,13.675213675213675,0.15384615384615385,400.0,conservative
WT,WT_12,8.78010878010878,38.38383838383839,8.78010878010878,0.07692307692307693,400.0,conservative
WT,WT_13,15.306915306915307,63.63636363636364,15.306915306915307,0.15384615384615385,450.0,conservative
WT,WT_14,8.999081726354454,30.303030303030305,9.090909090909092,0.36363636363636365,300.0,conservative
WT,WT_15,48.873348873348874,116.16161616161617,48.873348873348874,0.0,200.0,conservative
WT,WT_16,37.45143745143745,92.92929292929293,37.45143745143745,0.0,200.0,conservative
SCA3,SCA3_01,6.837606837606837,47.474747474747474,6.9930069930069925,0.0,500.0,exclude_low_amplitude_cell
SCA3,SCA3_03,6.371406371406371,39.39393939393939,6.371406371406371,0.0,500.0,exclude_low_amplitude_cell
SCA3,SCA3_04,8.003108003108004,35.35353535353536,8.158508158508159,0.23076923076923078,350.0,exclude_low_amplitude_cell
SCA3,SCA3_05,8.547008547008547,31.313131313131315,8.624708624708624,0.38461538461538464,350.0,exclude_low_amplitude_cell
SCA3,SCA3_06,7.226107226107226,39.39393939393939,7.226107226107226,0.0,450.0,exclude_low_amplitude_cell
SCA3,SCA3_07,2.097902097902098,18.181818181818183,2.1756021756021755,0.07692307692307693,550.0,exclude_low_amplitude_cell
SCA3,SCA3_08,5.516705516705516,22.22222222222222,5.516705516705516,0.0,400.0,exclude_low_amplitude_cell
SCA3,SCA3_09,12.043512043512045,41.41414141414141,12.121212121212121,0.0,300.0,exclude_low_amplitude_cell
WT,WT_03,25.563325563325563,94.94949494949495,25.563325563325563,0.0,400.0,exclude_low_amplitude_cell
WT,WT_04,26.651126651126653,74.74747474747475,26.651126651126653,0.07692307692307693,250.0,exclude_low_amplitude_cell
WT,WT_06,35.742035742035746,92.92929292929293,35.742035742035746,0.15384615384615385,250.0,exclude_low_amplitude_cell
WT,WT_08,16.767676767676768,69.6969696969697,16.767676767676768,0.2,300.0,exclude_low_amplitude_cell
WT,WT_09,28.904428904428904,88.88888888888889,28.904428904428904,0.15384615384615385,300.0,exclude_low_amplitude_cell
