group,n_cells,centroid_z_log10_rheobase_J,centroid_z_log10_firing_rate_q75,euclidean_centroid_distance
SCA3,6,1.203262812276465,-1.291285277203271,
WT,12,-0.25635814863281703,-0.18633413155907083,
SCA3_minus_WT,18,1.459620960909282,-1.1049511456442003,1.8306857687178777
