fingerprint,n_features,n_domains,n_complete_cells,median_difference_SCA3_minus_WT,difference_ci95_low,difference_ci95_high,auc_in_sample_WT_referenced,permutation_mode,valid_labelings,permutation_p_one_sided,permutation_p_two_sided,current_min_pA,current_max_pA,WT_exit_WT_cells,WT_exit_SCA3_cells
window_300_600,5,5,16,2.459426661118408,1.520156056915136,2.90475492218884,1.0,exact,77520,0.0002063983488132095,0.0002063983488132095,300,600,0,3
window_350_600,5,5,16,2.4359264914222765,1.5906986297298213,2.9419284831326284,1.0,exact,77520,0.00034829721362229104,0.00034829721362229104,350,600,0,3
window_400_600,5,5,16,2.467460939274966,1.6539248280091832,2.919427955957416,1.0,exact,77520,0.0001934984520123839,0.0001934984520123839,400,600,0,4
window_450_600,5,5,16,2.698189207449696,1.4488650743665465,3.2072842667529584,1.0,exact,77520,0.00011609907120743033,0.00011609907120743033,450,600,0,4
window_500_600,5,5,13,2.626182874435541,1.2009711919255628,3.0966821142063363,0.9560439560439561,exact,77520,0.0001805985552115583,0.0001805985552115583,500,600,0,4
