feature,role,predeclared_SCA3_direction,n_WT,n_SCA3,median_WT_raw,median_SCA3_raw,median_difference_SCA3_minus_WT_raw,raw_difference_ci95_low,raw_difference_ci95_high,oriented_transformed_median_difference,oriented_cliffs_delta,valid_labelings,permutation_p_one_sided,permutation_p_two_sided,fdr_q_two_sided_all_features,fdr_q_two_sided_within_role
capacitance_20ms_pF,core,lower,13,7,393.4013351851852,83.50152006172839,-309.8998151234568,-421.77189264957275,-212.3857867929725,1.549965463889368,1.0,77520,0.00108359133126935,0.00108359133126935,0.00975232198142415,0.005417956656346749
rheobase_midpoint_pA_per_20ms_pF,derived_diagnostic,higher,13,7,0.6484892607997588,2.426377517627081,1.7778882568273224,1.413476725842847,4.682273252644309,1.3195092470417906,0.9340659340659341,77520,0.00108359133126935,0.004695562435500516,0.010565015479876162,0.009391124871001032
rheobase_midpoint_pA,core,higher,13,7,275.0,275.0,0.0,-100.0,250.0,0.0,0.26373626373626374,77520,0.9086945304437565,1.0,1.0,1.0
firing_rate_high_current_hz,core,lower,13,7,53.0,13.0,-40.0,-71.0,-4.0,1.3499267169490157,0.6813186813186813,77520,0.030882352941176472,0.07530959752321982,0.0847232972136223,0.09413699690402477
mean_isi_high_current_ms,core,higher,11,5,12.489743589743592,26.303571428571427,13.813827838827835,4.918099547511318,20.35470016916525,0.7447969310446303,1.0,77520,0.0021671826625387,0.0021671826625387,0.00975232198142415,0.005417956656346749
work_per_spike_high_current_fJ,derived_diagnostic,higher,11,5,703.8126822608358,2207.2109724493585,1503.3982901885227,582.8672774084682,5321.125328908598,1.1429727496788802,0.7818181818181819,77520,0.04585913312693499,0.07316821465428276,0.0847232972136223,0.07316821465428276
predictive_information_high_current_nats,core,lower,13,7,1.882519891171071,1.8201185949661964,-0.06240129620487456,-0.12003071023289413,-0.010159201453054711,0.0337095859601354,0.8021978021978022,77520,0.003611971104231166,0.003611971104231166,0.010565015479876162,0.006019951840385277
external_work_positive_high_current_fJ,diagnostic,none_diagnostic,13,7,53578.60336303704,49135.25314331056,-4443.350219726475,-5574.687194824306,510.77651977541245,-0.0865730335938526,-0.6923076923076923,77520,,0.010474716202270381,0.018854489164086684,0.020949432404540762
spike_count_high_current,diagnostic,lower,13,7,53.0,13.0,-40.0,-71.025,-4.0,1.3499267169490157,0.6813186813186813,77520,0.030882352941176472,0.07530959752321982,0.0847232972136223,0.07530959752321982
