group,animal_id,experiment_day_code,all_matched_cells,n_all_matched_cells,accepted_cells,n_accepted_cells
SCA3,SCA3_AN01,20,SCA3_01;SCA3_02;SCA3_03;SCA3_04;SCA3_05,5,SCA3_01;SCA3_02;SCA3_04;SCA3_05,4
SCA3,SCA3_AN02,24,SCA3_06;SCA3_07;SCA3_08;SCA3_09,4,SCA3_06;SCA3_07;SCA3_09,3
WT,WT_AN01,09,WT_08;WT_09;WT_10;WT_11,4,WT_08;WT_09;WT_10;WT_11,4
WT,WT_AN02,10,WT_12;WT_13;WT_14;WT_15;WT_16,5,WT_13;WT_14;WT_15;WT_16,4
