pair,wt_cell,sca3_cell,wt_J_q75,sca3_J_q75,det_all_spiking,det_min_rate_Hz,det_max_rate_Hz,stationarity_z_pass_fraction,stationarity_z_max_mean_abs,stationarity_z_max_logvar_abs,stationarity_z_max_acf_abs,holdout_TV_median,holdout_TV_max,HS_exact_forward,HS_exact_reverse,raw_log_HS_forward,raw_log_HS_reverse,cal_log_HS_forward,cal_log_HS_reverse,raw_both_abs_log_le_0p1,cal_both_abs_log_le_0p1,test_sum_logA_forward,test_sum_logA_reverse,coarse_KL_balance_p,forward_meanY,reverse_meanY,forward_peak_abs_meanY_p,reverse_peak_abs_meanY_p,min_r
WT_03__SCA3_01,WT_03,SCA3_01,2.8949017104544605,8.468813418437104,True,43.0,99.0,0.3870967741935484,0.2456678905682645,0.3278916256226087,0.3509351951919647,0.0333040560810342,0.1016975977150642,1.000000000000001,1.000000000000001,0.0012824094026923066,0.0013123718151315303,0.0061025047121371,-0.0035077234943134,True,True,0.2042516302394015,0.121439714035157,0.6218191800007685,0.3950331740185498,0.3888050425017732,0.8166666666666667,0.8166666666666667,0.0367840866590933
WT_03__SCA3_04,WT_03,SCA3_04,2.8949017104544605,6.138782334394186,True,43.0,97.0,0.5806451612903226,0.1629462946594959,0.1110656112504294,0.294489227766558,0.0252922063543766,0.0786334821013504,1.0000000000000009,1.0000000000000009,0.002457842270023273,-0.0007001611715857206,-0.0109976156233275,0.0127552967217653,True,True,0.0566311614804097,0.0778526306586856,0.3759205326012531,0.400232807243557,0.3983425698255021,0.15,0.2166666666666666,0.0685272827706698
WT_03__SCA3_06,WT_03,SCA3_06,2.8949017104544605,6.83625257651551,True,30.0,97.0,0.0967741935483871,3.594987195422777,1.843693037006377,0.7365638828366976,0.0992531390218771,0.4404279375016716,0.9999999999999988,0.9999999999999994,0.00872489875045934,0.1675976709806326,-0.2780478505013273,0.4543704202324195,False,False,0.740727078184966,1.3526589431460394,0.2887240889265195,1.337875886270154,0.7042585759676399,0.95,0.9166666666666669,0.000172535267681
WT_03__SCA3_09,WT_03,SCA3_09,2.8949017104544605,4.22069670379549,True,35.0,97.0,0.064516129032258,3.6606553600101694,1.3763391304067705,0.5842268622005667,0.1000079558796308,0.5049476271147044,1.0,0.9999999999999998,-0.0052388263491038745,0.22787002014622054,-0.5521443845510143,0.7747755783481313,False,False,0.0388862323765546,1.3753134519124317,0.4004852760824784,1.8471026802215764,0.5258850994335267,0.9833333333333334,0.95,0.0001570401851009
WT_04__SCA3_01,WT_04,SCA3_01,1.021582582877788,8.468813418437104,True,43.0,104.0,0.1612903225806451,0.2764991610119819,0.2772072624963057,0.277033417655086,0.0422437904934936,0.0947109874734182,0.9999999999999984,0.9999999999999988,-0.01641219024500284,-0.0018297814257318865,-0.0436492200676622,0.0254072483969262,True,True,0.2014271286893665,0.1361418769620903,0.3665396256701866,0.635221627225275,0.5948863536425468,0.8500000000000001,0.0166666666666666,0.0366751221750693
WT_04__SCA3_04,WT_04,SCA3_04,1.021582582877788,6.138782334394186,True,43.0,82.0,0.3870967741935484,0.2655520907970521,0.3217175560724513,0.2371551608579542,0.0219545146835812,0.064460054512452,1.000000000000001,1.000000000000001,-0.0028791367429551943,0.0007652018081789957,-0.0561203188989384,0.054006383964162,True,True,-0.1235649842801499,0.2464194143192867,0.3490663081374473,0.8630594185296367,0.7804931375030674,0.3166666666666666,0.3166666666666666,0.0366751221750693
WT_04__SCA3_06,WT_04,SCA3_06,1.021582582877788,6.83625257651551,True,30.0,74.0,0.0,2.3139942599955567,1.3967296513707594,0.5289308125876635,0.1251306682002241,0.4732142494669856,0.9999999999999992,1.0000000000000004,-0.016520188431066618,0.8836596544368627,0.4809302258085149,0.3862092401972821,False,False,2.736703064712697,2.48798063337308,0.1443930611881438,1.461202621273902,1.802453112603972,0.7166666666666666,0.8833333333333333,0.000172535267681
WT_04__SCA3_09,WT_04,SCA3_09,1.021582582877788,4.22069670379549,True,35.0,67.0,0.0,2.968825171840931,1.978939087446508,1.0114092420919585,0.1209230022360708,0.9670233797587616,1.0000000000000002,0.9999999999999998,0.005846585885011695,4.049879642892938,2.322127111433886,1.7335991173440628,False,False,7.108346710837773,3.7218964630099807,0.5114238200204592,1.3374047095000123,3.337447459749455,0.95,0.9166666666666669,0.0001570401851009
WT_08__SCA3_01,WT_08,SCA3_01,0.8338938988676052,8.468813418437104,True,43.0,136.0,0.0967741935483871,0.8784878612770928,0.6030830580990846,0.4439428131255618,0.0794802889209843,0.1748454217065292,0.999999999999998,0.9999999999999984,0.08204771810710904,0.021351998577306006,0.3371123839881718,-0.2337126673037576,True,False,1.1551598851200855,0.8666214779932722,0.2991144790460366,0.6123926428038977,1.2651428231742106,0.0166666666666666,0.0166666666666666,0.0051280442452668
WT_08__SCA3_04,WT_08,SCA3_04,0.8338938988676052,6.138782334394186,True,43.0,112.0,0.2258064516129032,1.1773437184955624,0.5639973848400908,0.4538408738925811,0.0245677708938042,0.0998750372669627,1.0000000000000016,1.0000000000000009,0.015889437496797394,0.0013479446815881388,-0.0594177826106329,0.0766551647890185,True,True,0.1865233406084842,0.4542638643630356,0.3822079922378134,1.1787334976554638,1.0861363650367215,0.35,0.35,0.0051280442452668
