sca3_cell,r_sca3,n_pairs,median_abs_raw_log_HS_forward,median_abs_raw_log_HS_reverse,median_stationarity_z_pass_fraction,median_test_train_TV,pairs_both_abs_log_le_0p1
SCA3_01,0.0367840866590933,8,0.036696615076412975,0.00641927376180757,0.0967741935483871,0.05226678672360005,6
SCA3_04,0.0685272827706698,8,0.009513792597365915,0.0016044883389177192,0.27419354838709675,0.02589398853244205,6
SCA3_06,0.000172535267681,8,0.01262254359076298,0.8672236214593306,0.0161290322580645,0.15124719383352625,0
SCA3_09,0.0001570401851009,8,0.03950272073493869,0.23852180903511105,0.0,0.17355156722105686,1
