TAB NAME: preflight_WT04_SCA304_q075.csv>
index,p,b,r,s,kappa_I,J,kappaJ,n_spikes,rate_Hz,mean_ISI_ms,x_min,x_max
0,0.0,3.07526787577599,0.0366751221750692,0.519708187871091,0.61900642338991,0.9508790471690816,0.5886002380645388,60,60.0,16.520897213251892,-1.4847378698036853,1.9152853322497316
1,0.0333333333333333,3.0788980786400773,0.0374473681811265,0.5570861847583799,0.5986319750150491,1.093869582012733,0.6548253082891687,63,63.0,15.703455020000828,-1.479435516761331,1.9374405622504012
2,0.0666666666666666,3.0825282815041644,0.038235874907217,0.5944641816456689,0.578928146735383,1.236860116856385,0.7160531352225762,66,66.0,15.132065136327066,-1.474455686093617,1.9535188616486676
3,0.1,3.0861584843682515,0.0390409847455498,0.6318421785329579,0.5598728652508738,1.3798506517000368,0.7725409379855851,67,67.0,14.728327793483896,-1.4697808495568738,1.97144050414368
4,0.1333333333333333,3.089788687232338,0.039863047297881,0.6692201754202468,0.5414447837988756,1.5228411865436886,0.8245344170081707,69,69.0,14.459740024134122,-1.4653943277994332,1.986017559789116
5,0.1666666666666666,3.093418890096425,0.0407024195273207,0.7065981723075359,0.5236232582403287,1.6658317213873404,0.8722682336329347,70,70.0,14.292070008207872,-1.4612802709879065,2.0002680747442083
6,0.2,3.0970490929605123,0.0415594659133368,0.7439761691948248,0.5063883239330738,1.808822256230992,0.915966470625653,70,70.0,14.20740068611331,-1.457423634418861,2.0120061112654035
7,0.2333333333333333,3.100679295824599,0.0424345586100222,0.7813541660821137,0.4897206733663721,1.951812791074644,0.9558430743301728,70,70.0,14.196660017482298,-1.453810150565801,2.023609139687181
8,0.2666666666666666,3.1043094986886866,0.043328077607695,0.8187321629694028,0.473601634531584,2.094803325918296,0.9921022791771034,70,70.0,14.251599099116982,-1.450426298748093,2.0321018200881817
9,0.3,3.107939701552773,0.0442404108979008,0.8561101598566916,0.4580131500047678,2.237793860761947,1.0249390152289102,69,69.0,14.36352038693528,-1.4472592733754708,2.038436751770856
10,0.3333333333333333,3.1115699044168603,0.0451719546418904,0.8934881567439806,0.4429377567177719,2.3807843956055987,1.0545392994182203,69,69.0,14.535532967512946,-1.4442969515200457,2.042199166533418
11,0.3666666666666666,3.1152001072809465,0.0461231133426435,0.9308661536312696,0.4283585663951565,2.5237749304492505,1.081080611111277,68,68.0,14.759204920249632,-1.4415278603979051,2.04929686334663
12,0.4,3.118830310145034,0.0470943000205163,0.9682441505185586,0.4142592466350285,2.6667654652929027,1.104732252604549,66,66.0,15.03360204126261,-1.438941145202739,2.056059569965099
13,0.4333333333333333,3.1224605130091208,0.0480859363925862,1.0056221474058475,0.4006240026125967,2.8097560001365545,1.1256556951394665,65,65.0,15.36644918662236,-1.4365265376209917,2.055766099887208
14,0.4666666666666667,3.126090715873208,0.0490984530557739,1.0430001442931365,0.3874375593859503,2.952746534980206,1.1440049109980526,63,63.0,15.75157602871648,-1.4342743252674277,2.060283364772787
15,0.5,3.129720918737295,0.0501322896738203,1.0803781411804256,0.3746851447842381,3.095737069823857,1.1599266922208853,62,62.0,16.199344867429765,-1.4321753222077414,2.0605512026265047
16,0.5333333333333333,3.133351121601382,0.0511878951682018,1.1177561380677146,0.3623524728590793,3.2387276046675093,1.1735609564682348,60,60.0,16.704214860711893,-1.4302208406774124,2.0626067401598345
17,0.5666666666666667,3.136981324465469,0.0522657279130643,1.1551341349550035,0.3504257278806671,3.381718139511161,1.185041040525454,58,58.0,17.273950112013782,-1.428402664061103,2.0612549326131187
18,0.6,3.140611527329556,0.0533662559342628,1.1925121318422924,0.3388915488606371,3.524708674354813,1.1944939819346254,56,56.0,17.912801287208026,-1.426713021162041,2.060802523302515
19,0.6333333333333333,3.1442417301936434,0.0544899571125913,1.2298901287295814,0.3277370145843612,3.6676992091984646,1.2020407892161271,54,54.0,18.62544289985034,-1.4251445617646352,2.0611242000375265
20,0.6666666666666666,3.14787193305773,0.0556373193912925,1.2672681256168703,0.3169496291359004,3.810689744042116,1.207796701126128,52,52.0,19.41684264830213,-1.4236903334739752,2.0585479244550027
21,0.7,3.1515021359218167,0.0568088409879367,1.3046461225041592,0.3065173078994001,3.953680278885768,1.211871435379015,49,49.0,20.284666799959165,-1.4223437598016937,2.052874529414551
22,0.7333333333333333,3.155132338785904,0.0580050306107623,1.3420241193914482,0.296428364021246,4.096670813729419,1.2143694272473984,47,47.0,21.247567585116503,-1.4210986194577848,2.049502073440312
23,0.7666666666666666,3.158762541649991,0.0592264076795712,1.379402116278737,0.2866714953178157,4.239661348573072,1.2153900584365895,45,45.0,22.302726006323187,-1.4199490268010884,2.0427455200508784
24,0.8,3.1623927445140776,0.0604735025512758,1.4167801131660265,0.2772357716141573,4.382651883416723,1.215027876615275,43,43.0,23.45273990670386,-1.4188894133971213,2.039883958566286
25,0.8333333333333334,3.1660229473781647,0.0617468567501955,1.4541581100533154,0.2681106224994131,4.525642418260375,1.2133728059695383,41,41.0,24.698285686156183,-1.4179145106293396,2.0312236893516964
26,0.8666666666666667,3.169653150242252,0.0630470232032018,1.491536106940604,0.2592858254852709,4.668632953104027,1.210510349133316,39,39.0,26.037586957804013,-1.4170193333094356,2.0240776632910933
27,0.9,3.173283353106339,0.0643745664798148,1.5289141038278933,0.2507514945541761,4.811623487947679,1.2065217808348585,37,37.0,27.46606204130029,-1.4161991642321377,2.0107299269630468
28,0.9333333333333332,3.1769135559704256,0.0657300630373559,1.5662921007151822,0.2424980690844776,4.95461402279133,1.201484333585774,35,35.0,28.976633392057945,-1.4154495396213147,2.000317149550937
29,0.9666666666666668,3.1805437588345127,0.0671141014712619,1.6036700976024711,0.2345163031400991,5.097604557634981,1.1954713757266764,33,33.0,30.561599641656755,-1.4147662354156876,1.9901107698939084
30,1.0,3.1841739616986,0.0685272827706697,1.64104809448976,0.2267972551127389,5.2405950924786335,1.1885525821314444,31,31.0,32.21635725472318,-1.4141452543443822,1.974130112190373
