TAB NAME: convergence_two_replicates.csv>
index,dwell_ms,direction,N,logmean,meanexp,meanY,medianY,ess,ess_fraction,top1,top10,top100,replicate
0,50.0,forward,100,-0.3527727162913745,0.7027368958755486,2.259248546976721,2.1026650207310453,7.214549988915532,0.0721454998891553,0.3487472931084858,0.6874970082855076,1.0,A
1,50.0,forward,300,-0.0167002839856138,0.9834383927037952,2.176826903673037,2.33487466978954,18.94514659885475,0.0631504886628491,0.1759149688690866,0.5423578425236953,0.9514664003974064,A
2,50.0,forward,1000,-0.1040879733513495,0.9011460170987986,2.107847903586763,2.2025717005494663,65.83839111605576,0.0658383911160557,0.0616057940330117,0.3137533899196224,0.7613407528894512,A
3,50.0,forward,3000,0.0522583880927385,1.0536479574294415,2.035221538416088,2.041202343595284,91.71148210211972,0.0305704940340399,0.0688920775071039,0.2443870034955957,0.5992157144251423,A
4,50.0,forward,5000,-0.0010156506419018,0.9989848649566404,2.02616289032455,2.035610964008108,177.9007074521101,0.035580141490422,0.0435970549473227,0.1763126932375424,0.4695847056290994,A
5,50.0,reverse,100,-0.6406596271440752,0.5269447223366337,2.257912686793913,2.198161776186056,11.685153395556249,0.1168515339555624,0.2125101004113431,0.7066511034900023,1.0,A
6,50.0,reverse,300,-0.544580875414221,0.5800848602232967,2.227474250875809,2.216507926469283,37.94494771239645,0.1264831590413214,0.0749279696618828,0.4450057183013541,0.9228256460774678,A
7,50.0,reverse,1000,0.0422827183713607,1.0431893658623346,2.210721027628496,2.2190966239278493,16.078177948175586,0.0160781779481755,0.2119469420707083,0.5091808585135306,0.8160042347245569,A
8,50.0,reverse,3000,-0.0178736109885999,0.9822851745651564,2.19215429089633,2.218706872258671,67.15576435009156,0.0223852547833638,0.0750293980540771,0.2892461415646019,0.6031397144738295,A
9,50.0,reverse,5000,0.0135703649452221,1.0136628602724649,2.1758436843703386,2.170518945514067,112.04044730447352,0.0224080894608947,0.0436241288421621,0.2417813052854455,0.542259486571321,A
10,50.0,forward,100,-0.304215429744703,0.737701926393328,1.847755366741304,1.7588198208095878,16.368460190706696,0.1636846019070669,0.1515144392723875,0.6417633406371723,0.9999999999999994,B
11,50.0,forward,300,-0.3868609383182466,0.6791855370428486,1.992696389979164,1.8131799321879567,26.840825057319577,0.0894694168577319,0.1522077111017155,0.4316590629916484,0.9035696703852923,B
12,50.0,forward,1000,-0.1716114652712654,0.8423063748786447,1.986170084228838,1.85086691490308,79.76506583841882,0.0797650658384188,0.05005187335501,0.2891497917089938,0.7011001068812437,B
13,50.0,forward,3000,-0.0593945467548371,0.942334900625151,1.953566518037094,1.921675615432272,172.2012160396724,0.0574004053465574,0.0354200641278895,0.1767114406745937,0.5217923761400308,B
14,50.0,forward,5000,-0.048067319799502,0.9530696244617914,2.008767919664296,1.9956904818834784,222.8453440202772,0.0445690688040554,0.0314525752360728,0.154043906527191,0.4559676298860031,B
15,50.0,reverse,100,-0.3022917121498958,0.7391224224474126,2.380210830512401,2.389719758868933,5.472007762054678,0.0547200776205467,0.4072461293354472,0.741970473380945,1.0,B
16,50.0,reverse,300,-0.0286250144665496,0.9717807998937232,2.2280834337193345,2.322739344590066,8.56968888845872,0.0285656296281957,0.3112541851306507,0.6248653633234893,0.9519749410308592,B
17,50.0,reverse,1000,0.1364350311152664,1.146180409293831,2.1206104046536662,2.1731426385965023,32.79880241049912,0.0327988024104991,0.0879021632268569,0.4716746445591059,0.8086538125665251,B
18,50.0,reverse,3000,-0.0645496023609526,0.9374896114106392,2.1891792367659475,2.2407223938937766,129.5149655321835,0.0431716551773945,0.0358232369364858,0.220172723034949,0.5882599349382335,B
19,50.0,reverse,5000,-0.111511194638405,0.8944813779516333,2.2289076752788066,2.2636628125953164,192.66153591429813,0.0385323071828596,0.0248557202873041,0.1786998095038904,0.503225534115146,B
