group,cell_id,best_rheobase_J,J_max_observed,J_q75,support_end_q75_ms,exp_latency_q75_ms,active_support_q75_ms,q75_supported
SCA3,SCA3_01,7.364185581249652,8.83702269749959,8.468813418437104,1014.1,141.7,872.4000000000001,True
SCA3,SCA3_02,0.9278531747632068,10.5569072328614,8.149643718336852,649.5726562499934,7.436718750000146,642.1359374999932,True
SCA3,SCA3_04,2.998635531603484,7.18549793532442,6.138782334394186,147.34335937499972,5.824414062500009,141.5189453124997,True
SCA3,SCA3_05,2.302301394566596,5.29391458391363,4.546011286576872,591.771484375,9.187109375000027,582.584375,True
SCA3,SCA3_06,5.238728290213989,7.36876067194935,6.83625257651551,1015.0,74.18593750000012,940.8140624999999,True
SCA3,SCA3_09,2.2595007918063086,4.87442867445855,4.22069670379549,1015.0,179.60312499999972,835.3968750000003,True
WT,WT_03,1.6558117865631434,3.3079316850849,2.8949017104544605,1009.6173828125001,15.99765625000005,993.6197265625,True
WT,WT_04,0.3807969954705221,1.23517777868021,1.021582582877788,1011.6187499999995,29.98593750000039,981.6328124999991,True
WT,WT_06,0.6344904113823149,2.16064340401865,1.779105155859566,1010.6896484375001,12.305859375000026,998.3837890625,True
WT,WT_07,1.2731089460957787,2.40267568664737,2.1202840015094724,950.3378906249849,23.697656249999998,926.6402343749849,True
WT,WT_08,0.4738492234861163,0.953908790661435,0.8338938988676052,145.3685546875003,52.40957031250006,92.95898437500026,True
WT,WT_09,0.674460655746496,1.52573132139414,1.312913654982229,938.7577148437509,41.17128906250003,897.5864257812509,True
WT,WT_10,0.6489912667881883,1.43431738962109,1.2379858589128645,1011.4052734375001,38.0839843750001,973.3212890625,True
WT,WT_11,1.79414297517395,2.83518889904032,2.5749274180737274,998.4882812500001,34.241406250000125,964.246875,True
WT,WT_13,0.6139190612350652,0.915514250540836,0.8401154532143933,676.435546875,178.5988281250005,497.8367187499995,True
WT,WT_14,0.8923298902068751,1.94138627671071,1.6791221800847513,229.21523437500161,12.346484375000113,216.8687500000015,True
WT,WT_15,0.4820998968182255,1.8420533370965,1.5020649770269314,1009.3976562499998,13.23710937500007,996.1605468749998,True
WT,WT_16,0.3414059790542729,1.36207684111003,1.1069091255960906,1012.6689453125001,30.15488281250026,982.5140624999999,True
